#    92---1                                                            page 1
#    beryllium

#    be     100 percent




#    v0 = .5402 cc/g                         c0 = 8.137 km/sec
#    v0i = .540 cc/g                         cb = 7.934 km/sec

#     in the table below, density is given in g/cc, velocities in mm/microsec
#     and pressure in kilobars.

#                                    table

#              ---------beryllium---------------      aluminum standard

#              rho0     Us     Up    P     v/v0       rho0    Us

               1.851   9.174  .931  158.1  .8985      2.784  6.566
                       9.137  .932  157.6  .8980      2.784  6.566
                      10.146 1.818  341.4  .8208      2.784  7.670
                      10.128 1.819  341.0  .8204      2.784  7.670
                      10.111 1.821  340.8  .8199      2.784  7.670
                      10.758 2.336  465.2  .7829      2.788  8.306
                      11.143 2.689  554.6  .7587      2.788  8.735
                      11.120 2.691  553.9  .7580      2.788  8.735
                      11.530 3.001  640.5  .7397      2.788  9.117
                      11.451 3.009  637.8  .7372      2.788  9.117
                      12.165 3.620  815.1  .7024      2.784  9.858
                      12.160 3.621  815.0  .7022      2.784  9.858
                      12.445 3.799  875.1  .6947      2.783 10.08
                      12.491 3.816  882.3  .6945      2.780 10.11
                      12.535 3.951  916.7  .6848      2.788 10.25

#         Us = 8.056 + 1.145 up,  sig.Us = 0.038 km/sec.



#    comments:

#    1) source: mcqueen, r.g. and marsh, s.p.
#               report no. gmx-6-566, pp. 51-62 (1964)
#               los alamos scientific laboratory, gmx-6, los alamos, n. mex.
#    2) experimental technique b
#       data reduction technique b
#       standard material 2024 aluminum
#    3) the hugoniot elastic limit is highly dependent on crystal orientation
#       pope,l.e. and johnson j.n.   j. appl. phys.  v.46 p.720 (1975)



#    92---2                                                            page 1
#    beryllium

#    be   99.8 per cent or greater



#    v0 = 0.5420 cc/g.   cl = 12.89 km/sec.  c0 = 7.81 km/sec.
#    v0i = 0.5412 cc/g.  cs = 8.880 km/sec

#    in the table below, velocities are given in mm/microsec.,
#    pressure in kilobars, and density in g/cc.

#                                      table

#                      rho0   Us     ufs    Up      P     v/v0

                      1.845  9.044  1.697  0.847  141.3  0.9063
                        -    8.934  1.739  0.865  142.6  0.9032
                        -    9.112  2.358  1.189  199.9  0.8695
                        -    9.332  2.364  1.221  210.2  0.8692
                        -    9.851  3.422  1.730  314.4  0.8244
                        -    9.832  3.235  1.609  291.9  0.8364
                        -    9.633  3.189  1.592  282.9  0.8347

#              Us = 8.069 + 1.023 up km/sec   sigma Us = 1.2 percent



#    comments:

#    1) source: walsh, j. m., rice, m. h., mcqueen, r. g. and yarger, f. l.
#               phys. rev., vol. 108, p. 169 ff. (1957)
#               los alamos scientific laboratory, gmx-6, los alamos, n. mex.
#    2) experimental technique b
#       data reduction technique b
#       standard material 24st aluminum
#    3) impurities were measured by spectrochemical analysis.
#    4) cl and cs were obtained from d. gray, american institute of physics
#       handbook, 1957, 2nd. ed., p. 33-82
#    5) the probable error per data point is 0.7 per cent in shock velocity
#       for a given free-surface velocity and approximately 1 percent in
#       compression at a given pressure.
#    6) v0i was taken from the a. i. p. handbook (mcgraw hill book co.)
#       2nd ed.



#    92---3
#    beryllium porous                                                  page 1

#    be



#    vo  = 0.772  cc/g
#    voi = 0.5420 cc/g

#    in the table below, density is given in g/cc, velocities in km/sec
#    and pressure in kilobars.

#                               table

#                          sample                     al base plate

#        rho0     Us     ufs    Up       P     v/v0      pressure

         1.274    3.93   1.57   1.40     70   0.644       165
         1.31     4.96   2.43   1.68    109   0.661       224
         1.295    5.43   3.08   2.11    148   0.612       296
         1.31     6.17   3.57   2.24    182   0.637       335

#    Us = 0.79 + 2.33 up  km/sec
#    sigma Us = 0.302  km/sec



#    comments:

#    1) source: compiler
#               l.r.l. equation of state file
#               lawrence radiation laboratory, livermore, california.
#    2) experimental technique b.   standard material 2024 al alloy.
#       data reduction technique b.
#    3) the value of v0i was obtained from a. taylor and brenda j. kagle,
#       crystallographic data on metal and alloy structures
#       (dover publications, inc.,  new york,  n. y.,  1963).



#    92---4
#    beryllium

#    type     s-200         i-400
#    be       98.18         95.77    wt. percent
#    be-o      2.00          3.96    -      -
#    c         0.126         0.18    -      -
#    fe        0.163         0.16    -      -
#    al        0.054         0.04    -      -
#    mg        0.035         0.02    -      -
