#porous data commented out for now

#rho0(g/cc) D(km/s) up(km/s) rho(g/cc) p(GPa)
9.80 3.17 0.99 14.21 30.76
9.80 3.37 1.03 14.11 34.02
9.80 3.91 1.39 15.19 53.26
9.80 4.67 1.93 16.66 88.33
9.80 4.77 1.98 16.76 92.56
9.80 4.81 2.03 16.95 95.69
9.80 4.92 2.06 16.86 99.32
9.80 5.40 2.38 17.54 125.9
9.80 5.42 2.39 17.54 126.9
9.80 5.82 2.65 18.03 151.1
9.80 6.17 2.92 18.62 176.6
9.80 6.80 3.60 20.87 239.9
9.80 7.25 3.93 21.36 279.2
9.80 7.60 4.20 21.95 312.8
9.80 7.99 4.37 21.66 342.2
9.80 7.80 4.40 22.44 336.3
9.80 8.42 4.67 22.05 385.3
9.80 8.40 4.90 23.52 403.4
9.80 8.70 5.00 23.03 426.3
9.80 9.60 5.80 24.79 545.7
9.80 10.04 6.20 25.58 610.0
9.80 10.60 6.50 25.38 675.2


#6.62 2.66 1.19 11.96 20.96
#6.62 3.50 1.71 12.94 39.63
#6.62 4.39 2.24 13.52 65.12
#6.62 4.67 2.42 13.72 74.84
#6.62 5.27 2.89 14.67 100.9
#6.62 5.46 2.99 14.60 108.1
#6.62 5.64 3.24 15.58 121.0
#
#
#5.10 2.44 1.29 10.78 16.07
#5.10 3.22 1.87 12.15 30.73
#5.10 4.22 2.44 12.05 52.55
#5.10 4.64 2.72 12.54 64.89
#5.10 5.35 3.26 13.13 89.02
#5.10 5.80 3.63 13.62 107.5
#
#
#5.00 4.18 2.46 12.15 51.41
#5.00 5.36 3.30 13.03 88.44
#
#
#4.00 4.06 2.00 7.84 32.48
#4.00 5.23 3.51 12.15 73.43
#
#
#3.44 4.00 2.70 10.58 37.14
#3.44 5.19 3.64 11.47 64.97
