#22---0 page 1
#bismuth, summary
#
#bi
#
#
#
#v0 = 0.1016-0.1021 cc/g cl = 2.18 km/sec c0 = 1.771 km/sec
#v0i= 0.10197 cc/g cs = 1.10 km/sec cb = 1.86 km/sec
#
#the table lists points calculated from the us vs. up fits given below.
#density is in g/cc, velocities in km/sec, pressure in kbar and e-e0 is
#internal energy change in kbar cc/g. tp = transition point.
#
#table i
#
#rho0 us up p v/v0 e-e0 comments
9.807 2.30 0.009 2.0 0.9962 0.00040 1st wave

9.807 1.79 0.009 2.0 0.9962 0.00040 2nd -
9.807 1.86 .040 7.6 0.9795 0.00520 - -
9.807 1.95 .080 15.5 0.9597 0.0256 - -
9.807 2.05 0.126 25.5 0.9391 0.0688 - - tp

9.807 1.755 0.30 55.0 0.8388 0.220 3rd -
9.807 2.183 0.50 107. 0.771 1.205 2nd -
9.807 2.718 0.75 200. 0.724 2.81 1st -
9.807 3.253 1.00 319. 0.693 5.00 - -

9.807 3.66 1.2 431. 0.672 7.20 - -
9.807 4.73 2.0 928. 0.577 20.0 - -
9.807 6.07 3.0 1787 0.506 45.0 - -
9.807 7.41 4.0 2908 0.460 80.0 - -
9.807 8.08 4.5 3567 0.443 101.2 - -
#
#us = 1.771 + 2.21*up +or- 0.02 km/sec fit 1
#for up between .009 and .126 km/sec.
#us = 1.113 + 2.14*up, sig.us = .03 km/sec fit 2
#for up between .3 and 1.1 km/sec.
#us = 2.05 + 1.341*up, sig.us = 0.07 km/sec fit 3
#- for up between 1.1 and 4.5 km/sec.
#
#
#table ii lists corrected data for the transition wave of 22---6.
#p in kbars, and v/v0 are calculated assuming a 2 kbar elastic wave
#with particle velocity = 0.009 km/sec.
#
#
#


#table ii
#
#rho0 t0 t us up p v/v0
9.804 19 40 2.050 0.126 25.5 0.9391
9.813 -48 -29 2.088 0.143 29.4 0.9528
9.804 62 85 2.033 0.118 23.7 0.9425
9.813 208 233 1.990 0.086 17.0 0.9584
#
#us =
#
#
#
#comments:
#
#1) source: compiler
#2) the data of 22---1,2,3,4,6,7 were used in this summary.
#3) the first wave pressure of cast bismuth from 22---7 is given here.
#the maximum pressure of this ramp-shaped precursor was used with its
#average velocity to calculate v/v0 and up for the first wave using
#a single step approximation.
#this summary should not be expected to yield an accurate description
#of this highly anisotropic material near the 2 kbar region.
#4) fit 1: the transition pressure of 22---7 was combined with the us
#value of 22---6 to give a straight us-up line to the intercept c0,0.
#5) the adoption of the 22---7 phase point corrects the up1 values
#of 22---6 by 6.6 percent to those of table ii.
#6) the second shock parameters of 22---6 have not been used in the 2nd
#fit.
#7) a number of gruneisen gammas have been estimated for this- and other
#v,v1 elements: d.b. sirdeshmukh and b. kamaswara rao
#j. appl. phys., v. 44, p. 894 (1973)
#
#
#
#


#22---1 page 1
#bismuth
#
#bi 99.8 per cent or greater
#
#
#
#v0 = 0.1021 cc/g cl = 2.18 km/sec. c0 = 1.77 km/sec.
#v0i = 0.1014 cc/g cs = 1.10 km/sec.
#
#in the table below, velocities are given in mm/microsec.
#pressure in kilobars and density in g/cc.
#
#table
#
#rho0 us ufs up p v/v0
#
9.79 2.696 1.401 0.718 189.5 0.7337
9.79 2.585 1.318 0.676 171.1 0.7385
9.79 3.075 1.793 0.914 275.2 0.7028
9.79 3.084 1.800 0.922 278.4 0.7010
9.79 3.682 2.476 1.212 436.9 0.6708
9.79 3.659 2.564 1.222 437.7 0.6660
#
#us = 1.259 + 1.982 up km/sec sigma us = 0.6 percent
#
#
#
#comments:
#
#1) source: walsh, j.m., rice, m.h., mcqueen, r.g. and yarger, f.l.
#phys. rev., vol. 108, p. 169 ff. (1957)
#los alamos scientific laboratory, gmx-6, los alamos, n. mex.
#2) experimental technique b
#data reduction technique b
#standard material 24st aluminum
#3) impurities were measured by spectrochemical analysis
#4) cl and cs values were obtained from l. bergman, der ultraschall,
#s. hirzel verlag, stuttgart, 1954, 6th ed., p. 650
#5) the probable error per data point is 0.7 per cent in shock velocity
