# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
9.8 1.0 0.0 -8.581681456040758E-4  0.008733807400090346 0.008733807400090346 0.008733807400090346 0.0 0.0 0.0 293.0 NaN 3.28477899451529 1.226008636011053E-4 -0.008733807400090346 1.0459176448629819 3.9834446641940875E-6 9.8 293.0
9.8 1.0 0.0 -8.581681456040758E-4  0.0 0.0 0.0 0.0 0.0 0.0 293.0 NaN 3.28477899451529 1.226008636011053E-4 -0.008733807400090346 1.0459176448629819 3.9834446641940875E-6 9.8 293.0
9.803268845836675 0.9996665555246848 6.044875337051033E-4 -8.582614338289376E-4  -0.0021351102523212945 -0.0021351102523212945 -0.0021351102523212945 0.0 0.0 0.0 293.1022031983585 NaN 3.2859388626173778 1.2260087094871292E-4 0.0021351102523212945 1.045569376944869 3.979385550302566E-6 9.803268845836675 293.1022031983585
9.806537691673372 0.99933333334568 0.0012093429555352646 -8.579944620976479E-4  -0.013021443822169637 -0.013021443822169637 -0.013021443822169637 0.0 0.0 0.0 293.20437392054316 NaN 3.2971727199173055 1.2260087050604303E-4 0.013021443822169637 1.0452208244626071 3.9631837434024055E-6 9.806537691673372 293.20437392054316
9.809806537510086 0.999000333240764 0.0018145659367645463 -8.574086375950655E-4  -0.023923209113083137 -0.023923209113083137 -0.023923209113083137 0.0 0.0 0.0 293.30651208345824 NaN 3.2983329536808865 1.2260086315843543E-4 0.023923209113083137 1.044872046407227 3.959147682836976E-6 9.809806537510086 293.30651208345824
9.813075383346824 0.9986675549880099 0.0024201561456748868 -8.563506690879309E-4  -0.03484778626117988 -0.03484778626117988 -0.03484778626117988 0.0 0.0 0.0 293.4086178052344 NaN 3.3095860633353595 1.2259893284708546E-4 0.03484778626117988 1.0445248886040988 3.942999013628464E-6 9.813075383346824 293.4086178052344
9.81634422918358 0.9983349983657879 0.0030261132575528592 -8.550855286992832E-4  -0.045782457075166226 -0.045782457075166226 -0.045782457075166226 0.0 0.0 0.0 293.51069104015465 NaN 3.3107467285472945 1.2259892549959398E-4 0.045782457075166226 1.044177124053502 3.938992014324074E-6 9.81634422918358 293.51069104015465
9.819613075020355 0.9980026631527624 0.0036324369182587583 -8.532359603919762E-4  -0.05674535664153034 -0.05674535664153034 -0.05674535664153034 0.0 0.0 0.0 293.6127317953661 NaN 3.322018571870221 1.2259892443738113E-4 0.05674535664153034 1.0438295375232145 3.923013571971226E-6 9.819613075020355 293.6127317953661
9.822881920857151 0.9976705491278924 0.004239588708204427 -8.512784843428417E-4  -0.06771359168891988 -0.06771359168891988 -0.06771359168891988 0.0 0.0 0.0 293.714740076268 NaN 3.333306916721254 1.2259892443738113E-4 0.06771359168891988 1.0434821732908446 3.907126452154811E-6 9.822881920857151 293.714740076268
9.826150766693967 0.9973386560704315 0.004847106203656373 -8.486491986648048E-4  -0.07871429148611388 -0.07871429148611388 -0.07871429148611388 0.0 0.0 0.0 293.8167158922088 NaN 3.334469955698932 1.2259892443738113E-4 0.07871429148611388 1.0431350401723996 3.903165461868871E-6 9.826150766693967 293.8167158922088
