#rho T p e s c^2 cv gamma alpha
9.0 0.0 -2.5389151927742115 -0.022646571338517336 NaN 1.9351943577279132 1.225989274882135E-4 1.1389479835153862 8.01721374543899E-6
9.006006 0.0 -2.5253626927740553 -0.022834198938517337 NaN 1.9413981392400512 1.225989274882135E-4 1.138188432434265 7.980939110626006E-6
9.012012 0.0 -2.5117857927740554 -0.023020572738517337 NaN 1.94766617982069 1.225989274882135E-4 1.1374298937499845 7.944654673521075E-6
9.018018 0.0 -2.4981840927742116 -0.023205693938517336 NaN 1.954015183606718 1.225989274882135E-4 1.136672365439776 7.908296446235214E-6
9.024024 0.0 -2.4845570927742116 -0.023389563938517335 NaN 1.9604452169064397 1.225989274882135E-4 1.135915845485171 7.871869328059911E-6
9.03003 0.0 -2.4709042927742115 -0.023572184038517338 NaN 1.9669563457860244 1.225989274882135E-4 1.1351603318746977 7.835378177722894E-6
9.036036 0.0 -2.4572251927742115 -0.023753590638215638 NaN 1.9735323256183588 1.22599062487054E-4 1.1344045734610544 7.798892266213488E-6
9.042042 0.0 -2.4435193927742116 -0.023933679438517336 NaN 1.9860495958577769 1.225989274882135E-4 1.1336523156648106 7.739447184481761E-6
9.048048 0.0 -2.4297511930756737 -0.024112557138517336 NaN 1.9869259147743186 1.225989274882135E-4 1.1327781096575524 7.72493704570058E-6
9.0540541 0.0 -2.4159904930756735 -0.024290189638517336 NaN 1.9937833119740473 1.225989274882135E-4 1.1320266696364005 7.68815778340217E-6
9.0600601 0.0 -2.4022015930758296 -0.024466578138517336 NaN 1.9948065582021515 1.225989274882135E-4 1.1312762383922472 7.674029603154043E-6
9.0660661 0.0 -2.3884192927742114 -0.02464172363851703 NaN 2.007579738992486 1.2259892748821234E-4 1.1306482589663198 7.61592229121031E-6
9.0720721 0.0 -2.3745727927740554 -0.024815627138517336 NaN 2.0146102958487027 1.225989274882135E-4 1.129899733891399 7.579298911649362E-6
9.0780781 0.0 -2.3606967927742115 -0.02498828973851703 NaN 2.027566533260151 1.2259892748821234E-4 1.1291521992566436 7.520905412368601E-6
9.0840841 0.0 -2.3467556930756737 -0.025159712338517336 NaN 2.023074466441323 1.225989274882135E-4 1.1282844364607763 7.526832533450813E-6
9.0900901 0.0 -2.3328544927742114 -0.02532989583851703 NaN 2.041985798799851 1.2259892748821234E-4 1.127660093450402 7.44807390097421E-6
9.0960961 0.0 -2.3188521930757515 -0.025498841238517336 NaN 2.0434841492929547 1.225989274882135E-4 1.1267944618057895 7.431989053462523E-6
9.1021021 0.0 -2.3048537930757513 -0.025666549338517336 NaN 2.0508729523298577 1.225989274882135E-4 1.126050949212407 7.395443980618295E-6
9.1081081 0.0 -2.2908236930757515 -0.02583302093851734 NaN 2.058326956205978 1.225989274882135E-4 1.1253084171819656 7.35894742523682E-6
9.1141141 0.0 -2.2767614930757514 -0.025998292038215944 NaN 2.0658465196418 1.2259906248705517E-4 1.124565625469393 7.322500995730214E-6
9.1201201 0.0 -2.2626667930757516 -0.026162293138215942 NaN 2.0675869651527705 1.2259906248705517E-4 1.1238250495698971 7.306704002386281E-6
9.1261261 0.0 -2.2485742927741335 -0.026325024938517336 NaN 2.0810632671717406 1.225989274882135E-4 1.123207343325667 7.250615183911917E-6
9.1321321 0.0 -2.2344132927742115 -0.02648655853851703 NaN 2.0887954598178164 1.2259892748821234E-4 1.1224686348589474 7.214276532026135E-6
9.1381381 0.0 -2.2202184927741335 -0.026646859338517338 NaN 2.1024372154235618 1.225989274882135E-4 1.1217308974172793 7.158047910287719E-6
9.1441441 0.0 -2.2059543930756735 -0.026805928138517336 NaN 2.1044334275822743 1.225989274882135E-4 1.1208737086208864 7.141099762707194E-6
9.1501502 0.0 -2.1916908930756733 -0.026963765438517338 NaN 2.106540683965093 1.225989274882135E-4 1.1201379742958533 7.1245939440477985E-6
9.1561562 0.0 -2.1774275927741336 -0.027120371938517338 NaN 2.1262067083045624 1.225989274882135E-4 1.1195234799113662 7.050196156697845E-6
9.1621622 0.0 -2.1630585930757515 -0.027275748138517335 NaN 2.1225778023763504 1.225989274882135E-4 1.118669423854256 7.0522361197826265E-6
9.1681682 0.0 -2.148724192774133 -0.027429894638517336 NaN 2.1423756206044273 1.225989274882135E-4 1.1180566966077292 6.978664309175115E-6
9.1741742 0.0 -2.1342832930757516 -0.027582847138215943 NaN 2.1447220700804155 1.2259906248705517E-4 1.11720348884 6.9611570065792685E-6
9.1801802 0.0 -2.1198410930756735 -0.02773450063851734 NaN 2.1471179331679107 1.225989274882135E-4 1.1164738040251974 6.944294062048812E-6
9.1861862 0.0 -2.1053970927741332 -0.027884961038517335 NaN 2.161236380841864 1.225989274882135E-4 1.1158637141097827 6.890651926531421E-6
9.1921922 0.0 -2.0908806927741335 -0.028034193638517182 NaN 2.1754526648901478 1.2259892748821293E-4 1.1151346304134153 6.836679792326142E-6
9.1981982 0.0 -2.0762914930756735 -0.028182198838517337 NaN 2.1722005224257472 1.225989274882135E-4 1.1142867860284633 6.8372423521390835E-6
9.2042042 0.0 -2.0617345927741333 -0.028329012238215788 NaN 2.1865010084119616 1.225990624870546E-4 1.113678091187529 6.7843914493411285E-6
9.2102102 0.0 -2.0471041927742117 -0.028474528738517337 NaN 2.195054109040736 1.225989274882135E-4 1.112953084571129 6.749144960163968E-6
9.2162162 0.0 -2.0324349927741334 -0.028618854138517336 NaN 2.209500979825539 1.225989274882135E-4 1.1122277981755715 6.696279360363211E-6
9.2222222 0.0 -2.0176915930757513 -0.028761953538517335 NaN 2.2123394158911127 1.225989274882135E-4 1.1113840555189878 6.678262626962717E-6
9.2282282 0.0 -2.0029438930756736 -0.028903827338517336 NaN 2.2151967238535564 1.225989274882135E-4 1.1106607343683588 6.660969781561242E-6
9.2342342 0.0 -1.9881915927742115 -0.029044475738517338 NaN 2.2356558940239246 1.225989274882135E-4 1.1100575997561852 6.592138776219647E-6
9.2402402 0.0 -1.9733287930756735 -0.029183899038517338 NaN 2.2328146851691093 1.225989274882135E-4 1.1092169129467864 6.591241331467069E-6
9.2462462 0.0 -1.9584957927741335 -0.029322097438517335 NaN 2.2533320098604643 1.225989274882135E-4 1.1086154997296127 6.523444589329797E-6
9.2522523 0.0 -1.9435516930756735 -0.02945910633821564 NaN 2.256491972195208 1.22599062487054E-4 1.1077756086983888 6.5051555803456405E-6
9.2582583 0.0 -1.9286015930756735 -0.029594820438517338 NaN 2.2596468472283364 1.225989274882135E-4 1.1070581936054644 6.487647701354913E-6
9.2642643 0.0 -1.9136450927741335 -0.029729345338517336 NaN 2.274511131319182 1.225989274882135E-4 1.1064593495714528 6.437587287992293E-6
9.2702703 0.0 -1.8986116927741334 -0.029862646038517335 NaN 2.2836266495012736 1.225989274882135E-4 1.1057424994000478 6.403584919149273E-6
9.2762763 0.0 -1.8835360927742115 -0.029994722738517412 NaN 2.2927919274531 1.225989274882138E-4 1.1050265774897683 6.369730744349522E-6
9.2822823 0.0 -1.8684179927742115 -0.030125575438517335 NaN 2.3020069963325014 1.225989274882135E-4 1.1043115820382317 6.336025061723222E-6
9.2882883 0.0 -1.8532570927741334 -0.030255204338517337 NaN 2.317115992769432 1.225989274882135E-4 1.1035975112482277 6.286572400855775E-6
9.2942943 0.0 -1.8380179930756735 -0.030383609338517338 NaN 2.314770119487785 1.225989274882135E-4 1.1027658882644589 6.284137902933285E-6
9.3003003 0.0 -1.8228056927741334 -0.030510790638517336 NaN 2.335812013529442 1.225989274882135E-4 1.1021721364885424 6.220155457594974E-6
9.3063063 0.0 -1.8074793930757513 -0.03063674823851726 NaN 2.3394095958395744 1.225989274882132E-4 1.1013425068045812 6.2019100463107265E-6
9.3123123 0.0 -1.7921441930757513 -0.03076148213851726 NaN 2.3488905135969453 1.225989274882132E-4 1.1006321930948628 6.168912020166109E-6
9.3183183 0.0 -1.7767645930756735 -0.03088498871854751 NaN 2.3584047446733347 1.2259891398832946E-4 1.099922916148817 6.136107963971124E-6
9.3243243 0.0 -1.7613403930756735 -0.031007285628457 NaN 2.367985722378849 1.2259895448798162E-4 1.099214068768003 6.103410710280571E-6
9.3303303 0.0 -1.7458711930757516 -0.031128348198457 NaN 2.377600027197377 1.2259895448798162E-4 1.0985064968512215 6.070907014016835E-6
9.3363363 0.0 -1.7303567930757513 -0.031248186908457 NaN 2.381420290710327 1.2259895448798162E-4 1.0977998352863325 6.053372386797041E-6
9.3423423 0.0 -1.7148319927742115 -0.031366801678457 NaN 2.3969697528217484 1.2259895448798162E-4 1.097211948033689 6.007018443703873E-6
9.3483483 0.0 -1.6992261927741334 -0.03148418889848715 NaN 2.4066911688767396 1.225989409880975E-4 1.0965071469263659 5.975069155378455E-6
9.3543544 0.0 -1.6835742927741335 -0.03160035548848713 NaN 2.4165495439318705 1.225989409880974E-4 1.095803118482121 5.943054702830301E-6
9.3603604 0.0 -1.6678759927742115 -0.031715301318456984 NaN 2.426414728151833 1.2259895448798157E-4 1.0950998846348419 5.911298574455743E-6
9.3663664 0.0 -1.6521309927741334 -0.031829017810469054 NaN 2.4421741986171317 1.2259894908802794E-4 1.0943977213692606 5.8656229988309546E-6
9.3723724 0.0 -1.6363038930756733 -0.031941510778472064 NaN 2.4404429062814477 1.2259894773803952E-4 1.0935789338267368 5.86163389641246E-6
9.3783784 0.0 -1.6204998927741334 -0.032052778290481115 NaN 2.4562782560594885 1.225989436880743E-4 1.0929960447278557 5.817012583093754E-6
9.3843844 0.0 -1.6046131927741334 -0.03216282121848714 NaN 2.472171862984074 1.2259894098809744E-4 1.092296552015383 5.772219443780218E-6
9.3903904 0.0 -1.5886435930756733 -0.03227163969848715 NaN 2.4705740893764636 1.225989409880975E-4 1.0914806673983397 5.767946666140096E-6
9.3963964 0.0 -1.5726962927741335 -0.032379232818487154 NaN 2.4865444148022164 1.225989409880975E-4 1.0909002011565776 5.724191965461926E-6
9.4024024 0.0 -1.5566654927741335 -0.032485603858457 NaN 2.5025723988722297 1.2259895448798162E-4 1.0902032436069842 5.68026702471588E-6
9.4084084 0.0 -1.5405509930756733 -0.032590745538457 NaN 2.5011083613305245 1.2259895448798162E-4 1.0893902577948638 5.6757281335079335E-6
9.4144144 0.0 -1.5244579927741335 -0.032694661118457 NaN 2.5230579806939737 1.2259895448798162E-4 1.0888122360726007 5.619778746891343E-6
9.4204204 0.0 -1.5082455930756735 -0.03279734680848713 NaN 2.521677648048399 1.225989409880974E-4 1.0880012935434356 5.615084255200817E-6
9.4264264 0.0 -1.4920541927741335 -0.03289880934848713 NaN 2.5378512001397167 1.225989409880974E-4 1.0874248933728428 5.572790972500377E-6
9.4324324 0.0 -1.4757780927741335 -0.03299904143851733 NaN 2.5540979768077596 1.225989274882135E-4 1.0867326069186598 5.530292660097037E-6
9.4384384 0.0 -1.4594169930756733 -0.033098049738517335 NaN 2.552851735814374 1.225989274882135E-4 1.0859244162181316 5.52535937947977E-6
9.4444444 0.0 -1.4430760927741335 -0.033195830438517336 NaN 2.5690986250663 1.225989274882135E-4 1.0853504364572288 5.4840254961195465E-6
9.4504505 0.0 -1.4266497927741335 -0.03329238323851734 NaN 2.5855092031184266 1.225989274882135E-4 1.0846606573555442 5.442293496250861E-6
9.4564565 0.0 -1.4101377930756733 -0.03338770773851726 NaN 2.5843805720803226 1.225989274882132E-4 1.0838553225017027 5.437172214311636E-6
9.4624625 0.0 -1.3936452927741334 -0.03348183873821571 NaN 2.6007922238132175 1.225990624870543E-4 1.083282556137608 5.396585593252453E-6
9.4684685 0.0 -1.3770666927741335 -0.03357467043851726 NaN 2.6114313975977628 1.225989274882132E-4 1.0825966048929725 5.367783260368602E-6
9.4744745 0.0 -1.3604367927741334 -0.03366634303821572 NaN 2.6279489922416297 1.225990624870543E-4 1.0819091406448202 5.327284326664797E-6
9.4804805 0.0 -1.3437202930756733 -0.03375671553851726 NaN 2.628140548013857 1.225989274882132E-4 1.0811087802491468 5.319577364691389E-6
9.4864865 0.0 -1.3270153728344884 -0.03384589303851734 NaN 2.645310584957581 1.225989274882135E-4 1.0805171781160972 5.278813077188739E-6
