# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
9.8027 1.0 0.0 -8.673430022240611E-4  -8.302499825963238E-5 -8.302499825963238E-5 -8.302499825963238E-5 0.0 0.0 0.0 293.0 NaN 3.319806788313123 1.2260745107845917E-4 8.302499825963238E-5 1.0455956093135852 3.939327558887631E-6 9.8027 293.0
9.8027 1.0 0.0 -8.673430022240611E-4  0.0 0.0 0.0 0.0 0.0 0.0 293.0 NaN 3.319806788313123 1.2260745107845917E-4 8.302499825963238E-5 1.0455956093135852 3.939327558887631E-6 9.8027 293.0
9.80760380169655 0.9995000000208306 9.113650486437118E-4 -8.640150715216045E-4  -0.016555204408148196 -0.016555204408148196 -0.016555204408148196 0.0 0.0 0.0 293.1532197305388 NaN 3.321561966565724 1.2260744330206286E-4 0.016555204408148196 1.04507171376594 3.933305298662626E-6 9.80760380169655 293.1532197305388
9.8125076033932 0.9990004997917342 0.0018225149902969173 -8.606961303676501E-4  -0.033027291274239104 -0.033027291274239104 -0.033027291274239104 0.0 0.0 0.0 293.30636616075003 NaN 3.323313623486945 1.2260743552566656E-4 0.033027291274239104 1.044548341851854 3.927299466538578E-6 9.8125076033932 293.30636616075003
9.817411405089953 0.9985014985638347 0.002733449494557528 -8.573861748916206E-4  -0.04949928563649465 -0.04949928563649465 -0.04949928563649465 0.0 0.0 0.0 293.4594393221886 NaN 3.3250617670043465 1.2260742774927025E-4 0.04949928563649465 1.044025492786661 3.921309996329705E-6 9.817411405089953 293.4594393221886
9.822315206786808 0.9980029955897511 0.003644168233033048 -8.540852012190704E-4  -0.06597118753492247 -0.06597118753492247 -0.06597118753492247 0.0 0.0 0.0 293.612439246441 NaN 3.3268064050243775 1.2260741997287394E-4 0.06597118753492247 1.043503165787263 3.91533682220459E-6 9.822315206786808 293.612439246441
9.827219008483763 0.997504990123595 0.004554670879329795 -8.507932054716829E-4  -0.08244299700955195 -0.08244299700955195 -0.08244299700955195 0.0 0.0 0.0 293.7653659651252 NaN 3.328547545432427 1.226074121964776E-4 0.08244299700955195 1.0429813600721245 3.909379878683831E-6 9.827219008483763 293.7653659651252
9.83212281018082 0.997007481420965 0.0054649571090458 -8.475101837672985E-4  -0.09891471410047542 -0.09891471410047542 -0.09891471410047542 0.0 0.0 0.0 293.9182195098908 NaN 3.3302851960929036 1.2260740442008127E-4 0.09891471410047542 1.0424600748612682 3.903439100637672E-6 9.83212281018082 293.9182195098908
9.837026611877981 0.9965104687389447 0.0063750265997594615 -8.442361322199549E-4  -0.11538633884781223 -0.11538633884781223 -0.11538633884781223 0.0 0.0 0.0 294.0709999124181 NaN 3.332019364849289 1.2260739664368497E-4 0.11538633884781223 1.0419393093762737 3.897514423283691E-6 9.837026611877981 294.0709999124181
9.84193041357524 0.9960139513360988 0.007284879031019907 -8.409710469398896E-4  -0.1318578712917025 -0.1318578712917025 -0.1318578712917025 0.0 0.0 0.0 294.2237072044184 NaN 3.333750059524213 1.2260738886728866E-4 0.1318578712917025 1.041419062840271 3.8916057821844755E-6 9.84193041357524 294.2237072044184
