#rho T p e s c^2 cv gamma alpha
9.99999999999997E-11 0.0 -1.6512289695612032E-17 0.9696309788202788 0.9697302163041996 -4.09000337993042E-7 5.9699707186591796E-5 0.6666666666984493 -9.730995575274026E11
2.15443469003187E-10 0.0 -5.102046751208545E-17 0.9696308621760942 0.969730099660015 -6.091396848302156E-7 5.969970718725475E-5 0.6666666667038215 -3.0327088205063666E11
4.64158883361275E-10 0.0 -1.6325636489267003E-16 0.9696306752198034 0.9697299127037249 -9.2992131648292E-7 5.969970718634319E-5 0.6666666667445285 -9.220788747194217E10
9.99999999999989E-10 0.0 -5.359005674879464E-16 0.9696303755678447 0.9697296130517691 -1.4440673678632934E-6 5.969970719098389E-5 0.6666666667620675 -2.7560905872815804E10
2.15443469003185E-9 0.0 -1.790540561289417E-15 0.9696298952882608 0.96972913277219 -2.268136251396016E-6 5.969970719098389E-5 0.6666666669262826 -8.144763325835896E9
4.64158883361275E-9 0.0 -6.053703611377254E-15 0.9696291255002485 0.969728362984189 -3.588946785486689E-6 5.9699707200762515E-5 0.6666666672018701 -2.3891711221324997E9
9.999999999999802E-9 0.0 -2.062568583712773E-14 0.9696278916906084 0.9697271291745767 -5.7059305567078E-6 5.96997072139388E-5 0.6666666679578351 -6.975164610019253E8
2.15443469003186E-8 0.0 -7.062292271809448E-14 0.9696259141510766 0.9697251516351091 -9.099013905874016E-6 5.969970725504216E-5 0.666666669618617 -2.030267592059662E8
4.64158883361267E-8 0.0 -2.425763892642251E-13 0.9696227445676514 0.9697219820518345 -1.4537418572093156E-5 5.969970734636456E-5 0.666666673569335 -5.898301737026374E7
9.999999999999993E-8 0.0 -8.348586482365087E-13 0.9696176643865003 0.9697169018710358 -2.325404635831557E-5 5.969970755594201E-5 0.6666666828947416 -1.7115217451982826E7
2.15443469003187E-7 0.0 -2.8768598893627068E-12 0.9696095219157336 0.9697087594010976 -3.722498125988941E-5 5.96997080426357E-5 0.6666667048290421 -4962644.344458034
4.6415888336127E-7 0.0 -9.921188498050774E-12 0.9695964712335171 0.9696957087208242 -5.961747285852449E-5 5.969970919585031E-5 0.6666667561646668 -1438271.2044650556
9.999999999999631E-7 0.0 -3.4231104588356514E-11 0.9695755537123883 0.9696747912042543 -8.232060154710005E-5 5.9699711892761516E-5 0.6666668767077999 -483473.39207832026
1.25892541179417E-6 0.0 -4.963712981362064E-11 0.9695670981158203 0.9696663356100023 -9.482394709678244E-5 5.969971326384055E-5 0.6666669379504871 -333398.1102115825
1.5848931924611E-6 0.0 -7.197846839803122E-11 0.9695573570304179 0.9696565945275919 -1.0922815315028793E-4 5.9699715032279736E-5 0.6666670170741035 -229904.0578538469
1.99526231496887E-6 0.0 -1.0437762018204731E-10 0.9695461350256581 0.9696453725266965 -1.2582220417970175E-4 5.9699717319151715E-5 0.6666671192347939 -158534.5855200557
2.51188643150956E-6 0.0 -1.5136304750131931E-10 0.9695332069601307 0.9696324444661596 -1.4493901858591394E-4 5.969972028025149E-5 0.6666672510970458 -109319.11360893812
3.16227766016837E-6 0.0 -2.1950226470537075E-10 0.9695183134646043 0.9696175509770789 -1.6696212800256752E-4 5.969972409374891E-5 0.6666674215243473 -75381.29348633622
3.98107170553494E-6 0.0 -3.183200084944242E-10 0.969501155738407 0.9696003932592064 -1.9233337205774035E-4 5.969972901778304E-5 0.6666676416548198 -51978.900659990126
5.01187233627271E-6 0.0 -4.616298631760016E-10 0.9694813895547633 0.9695806270863149 -2.215617630806973E-4 5.969973538267249E-5 0.6666679259059822 -35841.580713484334
