# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
9.8078 1.0 0.0 3.696999069319111E-4  -6.947209502573869E-5 -6.947209502573869E-5 -6.947209502573869E-5 0.0 0.0 0.0 293.0 NaN 3.033493820695244 1.1863559056771252E-4 6.947209502573869E-5 1.9999996595607592 7.97499101595756E-6 9.8078 293.0
9.8078 1.0 0.0 3.696999069319111E-4  0.0 0.0 0.0 0.0 0.0 0.0 293.0 NaN 3.033493820695244 1.1863559056771252E-4 6.947209502573869E-5 1.9999996595607592 7.97499101595756E-6 9.8078 293.0
9.815159529074883 0.9992501875233833 0.0013683070646797013 3.900551604787397E-4  -0.026496062441953707 -0.026496062441953707 -0.026496062441953707 0.0 0.0 0.0 293.4398846142766 NaN 3.635391539571294 1.1863325257516463E-4 0.026496062441953707 1.9999991534594468 6.649480160406985E-6 9.815159529074883 293.4398846142766
9.822519058150284 0.9985014986417287 0.002797980917588608 4.339812032518822E-4  -0.05423701983864893 -0.05423701983864893 -0.05423701983864893 0.0 0.0 0.0 293.88009893023707 NaN 3.641137474934281 1.1863085139633646E-4 0.05423701983864893 1.9999980358848541 6.633874631058519E-6 9.822519058150284 293.88009893023707
9.829878587226197 0.9977539308313647 0.0042277108674602425 4.7794424548399186E-4  -0.08198024089820743 -0.08198024089820743 -0.08198024089820743 0.0 0.0 0.0 294.320642960748 NaN 3.6468754893454722 1.1862845021750813E-4 0.08198024089820743 1.9999969805558895 6.618340500984094E-6 9.829878587226197 294.320642960748
9.837238116302627 0.9970074815761711 0.005657494393839029 5.219442863420035E-4  -0.10972572733025251 -0.10972572733025251 -0.10972572733025251 0.0 0.0 0.0 294.76151671880865 NaN 3.652605601628237 1.1862604903867965E-4 0.10972572733025251 1.9999959873365254 6.602877280553942E-6 9.837238116302627 294.76151671880865
9.844597645379567 0.9962621483675529 0.00708732899133288 5.659813249951686E-4  -0.13747348084449829 -0.13747348084449829 -0.13747348084449829 0.0 0.0 0.0 295.20272021743875 NaN 3.6583278305482536 1.1862364785985098E-4 0.13747348084449829 1.9999950560911408 6.587484484605231E-6 9.844597645379567 295.20272021743875
9.851957174457022 0.9955179287044095 0.008517212169519945 6.100553606151475E-4  -0.1652235031508428 -0.1652235031508428 -0.1652235031508428 0.0 0.0 0.0 295.64425346967954 NaN 3.6640421948137405 1.1862124668102215E-4 0.1652235031508428 1.9999941866845203 6.5721616323912124E-6 9.851957174457022 295.64425346967954
9.859316703534985 0.9947748200931091 0.009947141452846472 6.541663923759454E-4  -0.19297579595927566 -0.19297579595927566 -0.19297579595927566 0.0 0.0 0.0 296.0861164885929 NaN 3.6697487130756596 1.1861884550219317E-4 0.19297579595927566 1.9999933789818531 6.556908247531128E-6 9.859316703534985 296.0861164885929
9.866676232613461 0.9940328200474593 0.011377114380535092 6.983144194539481E-4  -0.2207303609799704 -0.2207303609799704 -0.2207303609799704 0.0 0.0 0.0 296.528309287262 NaN 3.675447403927953 1.1861644432336401E-4 0.2207303609799704 1.9999926328487292 6.541723857960709E-6 9.866676232613461 296.528309287262
9.874035761692443 0.9932919260886807 0.012807128506484213 7.424994410278557E-4  -0.24848719992319185 -0.24848719992319185 -0.24848719992319185 0.0 0.0 0.0 296.9708318787905 NaN 3.6811382859077453 1.1861404314453467E-4 0.24848719992319185 1.9999919481511423 6.526607995883458E-6 9.874035761692443 296.9708318787905
9.881395290771936 0.9925521357453775 0.014237181399177469 7.867214562787825E-4  -0.2762463144993832 -0.2762463144993832 -0.2762463144993832 0.0 0.0 0.0 297.41368427630346 NaN 3.686821377495574 1.1861164196570518E-4 0.2762463144993832 1.9999913247554832 6.511560197722468E-6 9.881395290771936 297.41368427630346
9.88875481985193 0.9918134465535123 0.015667270641585296 8.309804643901206E-4  -0.3040077064190852 -0.3040077064190852 -0.3040077064190852 0.0 0.0 0.0 297.8568664929462 NaN 3.6924966971155913 1.1860924078687553E-4 0.3040077064190852 1.9999907625285427 6.496580004073006E-6 9.88875481985193 297.8568664929462
9.896114348932434 0.9910758560563763 0.017097393831075877 8.752764645476967E-4  -0.3317713773930241 -0.3317713773930241 -0.3317713773930241 0.0 0.0 0.0 298.3003785418858 NaN 3.6981642631358014 1.1860683960804571E-4 0.3317713773930241 1.999990261337506 6.481666959655623E-6 9.896114348932434 298.3003785418858
9.903473878013438 0.9903393618045642 0.018527548579317484 9.196094559395916E-4  -0.3595373291320171 -0.3595373291320171 -0.3595373291320171 0.0 0.0 0.0 298.7442204363091 NaN 3.703824093868244 1.1860443842921572E-4 0.3595373291320171 1.9999898210499554 6.466820613270025E-6 9.903473878013438 298.7442204363091
