#rho T p e s c^2 cv gamma alpha
0.1 0.0 -0.0038313080663005903 0.909168722787156 NaN -0.09536687077936826 6.0558139840073025E-5 0.7046623794215054 -0.004474619180047381
0.1301466 0.0 -0.005892403499935976 0.8981780331864506 NaN -0.11327026333364809 6.085022090042145E-5 0.7173858812549254 -0.0029611898167950113
0.1693814 0.0 -0.009062203721495342 0.8851897137188443 NaN -0.13476943239637043 6.12396623141593E-5 0.7342407115591525 -0.0019697637060104526
0.2204441 0.0 -0.013937989918197632 0.869838587762035 NaN -0.16066438171024208 6.175891753252447E-5 0.7566057793521908 -0.0013193233318169555
0.2869006 0.0 -0.021436048753982778 0.851698002071423 NaN -0.19201654156035328 6.247289345774057E-5 0.785465939599736 -8.907357403037043E-4
0.3733914 0.0 -0.03296784234040629 0.8302593034024057 NaN -0.23024035508944085 6.344649699217527E-5 0.8231730267494796 -6.07509428753659E-4
0.4859562 0.0 -0.05070354649289311 0.8049233151326837 NaN -0.27722683935231157 6.471218158692236E-5 0.872448825114402 -4.1907678374441604E-4
0.6324555 0.0 -0.0779813566192876 0.7749806307730549 NaN -0.3354117122405955 6.639976104653712E-5 0.935623107791243 -2.928594608493426E-4
0.8231194 0.0 -0.11993694484969002 0.7395924672120158 NaN -0.4080597568327067 6.86715026268127E-5 1.0156622989994708 -2.0765351087730235E-4
1.071262 0.0 -0.18447072962887642 0.697766764715763 NaN -0.4992574844438198 7.172212703463604E-5 1.114260711544827 -1.4942377170021245E-4
1.394211 0.0 -0.2837395684036487 0.6483300103058923 NaN -0.6143808404179397 7.58112618791537E-5 1.23369722845033 -1.0918831048676188E-4
1.814519 0.0 -0.4364407660007984 0.5898938611370979 NaN -0.7600283663376626 8.129589512297372E-5 1.3752455508243577 -8.106950927090188E-5
2.361534 0.0 -0.6712440633546498 0.5208208444971715 NaN -0.9418142039619692 8.863037508216563E-5 1.5376744932956135 -6.127559809899764E-5
3.073457 0.0 -1.030583309545869 0.43938928077041856 NaN -1.1740440670392298 8.590428518582053E-5 1.728240737627513 -4.1144096204846706E-5
4.0 0.0 -1.5814455941292116 0.3428697374226983 NaN -1.4299312134315008 1.1027682699713333E-4 1.9997057092407213 -3.855451200584668E-5
4.255996 0.0 -1.745110177328844 0.31791985422833874 NaN -1.474589430085379 1.0794017851454409E-4 1.9999374521860325 -3.43975267996231E-5
4.528376 0.0 -1.9233947996294036 0.29206487361308825 NaN -1.5150124703492311 1.0505182136249589E-4 1.9995424981270395 -3.061790970264168E-5
4.818187 0.0 -2.116328162361874 0.26531064882154876 NaN -1.5489813799738206 1.0154684863862104E-4 1.99985312879628 -2.7210386044367333E-5
5.126547 0.0 -2.323105434411228 0.23768050323141934 NaN -1.5718631442774307 9.745771379411238E-5 1.99934775780878 -2.418047817234548E-5
5.454641 0.0 -2.5415683171084447 0.20922661346500046 NaN -1.5785121612408504 9.27519633778131E-5 1.9994401339264225 -2.1538597083851345E-5
