# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
9.78 1.0 0.0 NaN  NaN NaN NaN 0.0 0.0 0.0 298.0 NaN NaN NaN NaN NaN NaN 9.78 298.0
9.78 1.0 0.0 NaN  0.0 0.0 0.0 0.0 0.0 0.0 298.0 NaN NaN NaN NaN NaN NaN 9.78 298.0
9.797607512013801 0.9982028763662749 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005640088013497404 NaN 0.5960033724489758 NaN 9.797607512013801 NaN
9.815215024044589 0.9964122004501865 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005640083373855486 NaN 0.5960043788252943 NaN 9.815215024044589 NaN
9.83282253609227 0.994627937614212 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005640078734213563 NaN 0.5960053833549477 NaN 9.83282253609227 NaN
9.85043004815676 0.9928500534684839 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005640074094571636 NaN 0.5960063860478427 NaN 9.85043004815676 NaN
9.868037560237964 0.991078513868583 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005640069454929704 NaN 0.596007386913816 NaN 9.868037560237964 NaN
9.885645072335793 0.9893132849133505 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005640064815287768 NaN 0.5960083859626337 NaN 9.885645072335793 NaN
9.903252584450158 0.9875543329427257 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005640060175645828 NaN 0.5960093832039923 NaN 9.903252584450158 NaN
9.920860096580975 0.9858016245356065 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.0056400555360038825 NaN 0.59601037864752 NaN 9.920860096580975 NaN
9.938467608728155 0.9840551265077337 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005640050896361933 NaN 0.5960113723027763 NaN 9.938467608728155 NaN
9.95607512089161 0.982314805909596 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.0056400462567199805 NaN 0.5960123641792532 NaN 9.95607512089161 NaN
9.973682633071254 0.9805806300243571 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.0056400416170780225 NaN 0.5960133542863759 NaN 9.973682633071254 NaN
9.991290145266998 0.9788525663658072 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005640036977436061 NaN 0.596014342633503 NaN 9.991290145266998 NaN
10.008897657478764 0.977130582676332 NaN NaN  NaN NaN NaN 0.0 0.0 0.0 NaN 0.0 NaN 0.005640032337794095 NaN 0.5960153292299271 NaN 10.008897657478764 NaN
