#rho T p e s c^2 cv gamma alpha
9.78E-4 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.00109733 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.00123123 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.00138146 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.00155003 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.00173916 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.00195137 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.00218947 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.00245662 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.00275638 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.00309271 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.00347007 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.00389349 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.00436857 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.00490161 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.0054997 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.00617076 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.00692371 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.00776853 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.00871643 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.00978 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.0109733 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.0123123 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.0138146 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.0155003 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.0173916 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.0195137 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.0218947 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.0245662 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.0275638 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.0309271 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.0347007 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.0389349 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.0436857 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.0490161 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.054997 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.0617076 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.0692371 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.0776853 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.0871643 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.0978 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.109733 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.123123 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.138146 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.155003 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.173916 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.195137 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.218947 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.245662 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.275638 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.309271 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.347007 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.389349 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.436857 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.490161 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.54997 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.617076 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.692371 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.776853 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.871643 0.0 NaN NaN 0.0 NaN NaN NaN NaN
0.978 0.0 NaN NaN 0.0 NaN NaN NaN NaN
1.09733 0.0 NaN NaN 0.0 NaN NaN NaN NaN
1.23123 0.0 NaN NaN 0.0 NaN NaN NaN NaN
1.38146 0.0 NaN NaN 0.0 NaN NaN NaN NaN
1.55003 0.0 NaN NaN 0.0 NaN NaN NaN NaN
1.73916 0.0 NaN NaN 0.0 NaN NaN NaN NaN
1.95137 0.0 NaN NaN 0.0 NaN NaN NaN NaN
2.18947 0.0 NaN NaN 0.0 NaN NaN NaN NaN
2.45662 0.0 NaN NaN 0.0 NaN NaN NaN NaN
2.75638 0.0 0.45511160534315515 -270982.54879178794 0.0 NaN -0.004899948792597675 -0.06728583516388227 NaN
3.09271 0.0 0.6802173519897573 -270982.5311558082 0.0 0.6934120214629548 -0.004571827252453787 -0.07884858853871489 1.6809437098998757E-4
3.47007 0.0 1.014885062589143 -270982.50500817073 0.0 0.865014147239523 -0.004320153665724465 -0.08308959769719189 1.1958711942654154E-4
3.89349 0.0 1.4796254483074913 -270982.4709791193 0.0 1.018490257251113 -0.003958121232708512 -0.09732925564750426 9.714860113385484E-5
4.36857 0.0 2.1337520682373783 -270982.42541839666 0.0 1.2288862606890645 -0.003640861273862549 -0.10600618970106071 7.189262947270921E-5
4.90161 0.0 3.067639607561105 -270982.3668510306 0.0 1.4673795883556393 -0.003225200165801853 -0.1475079099430651 6.614404584502309E-5
5.4997 0.0 4.386002202114564 -270982.2904145396 0.0 1.8239430143457112 -0.0028301414816724567 -0.16691094407416213 4.709151851263278E-5
6.17076 0.0 6.215962031017789 -270982.19115461217 0.0 1.918838338128531 -0.002476678860710356 -0.1958294972955333 4.096102008329308E-5
6.92371 0.0 8.64887227729841 -270982.0671895713 0.0 1.7045686315267818 -0.0020019208586124523 -0.26869640483701085 4.557801416838358E-5
