#state rho e tau(6) p c^2 T s cv gamma alphavol
12.258014665527064 1160.4 12.258014665527064 NaN  NaN NaN NaN 0.0 0.0 0.0 NaN NaN 1160.4 NaN NaN NaN NaN
15.079512345016951 2315.3 15.079512345016951 -270982.46214761777  -39.31126509624798 -39.31126509624798 -39.31126509624798 0.0 0.0 0.0 39.31126509624798 37.3766984007321 2315.3 5.129589175935617E-4 4.066530148824791E-5 9.727208777592269 7.018171884978303E-7
15.5003 2619.6661671473416 15.5003 -270982.4065288541  -46.12410914089443 -46.12410914089443 -46.12410914089443 0.0 0.0 0.0 46.12410914089443 52.20205603829635 2619.6661671473416 5.113484449458947E-4 2.9713587187953047E-5 12.523717070262055 4.598970467692337E-7
18.882845078921903 5815.78 18.882845078921903 -270981.2991977388  -117.28804421563518 -117.28804421563518 -117.28804421563518 0.0 0.0 0.0 117.28804421563518 29.846191762209784 5815.78 5.592482933587346E-4 1.4885729222906575E-4 1.705049088694492 4.5035049726061553E-7
19.5137 6584.575575182133 19.5137 -270981.03485361877  -133.19868524918567 -133.19868524918567 -133.19868524918567 0.0 0.0 0.0 133.19868524918567 36.71278846813589 6584.575575182133 5.70424781834573E-4 1.490072180979107E-4 1.6834457319854945 3.5014621145176467E-7
21.8947 9139.626234195306 21.8947 -270979.93385702255  -205.9856706212447 -205.9856706212447 -205.9856706212447 0.0 0.0 0.0 205.9856706212447 48.0399981008519 9139.626234195306 5.929937605980188E-4 1.4560869720521409E-4 1.560154912898776 2.159797622276716E-7
24.0059113316346 11604.0 24.0059113316346 -270978.777976445  -286.12226854819363 -286.12226854819363 -286.12226854819363 0.0 0.0 0.0 286.12226854819363 49.24791275538104 11604.0 6.083325500591933E-4 1.8742841906343031E-4 1.26784635813186 2.0099999333330332E-7
24.566200000000002 12519.335619992957 24.566200000000002 -270978.39991970634  -310.1310017238131 -310.1310017238131 -310.1310017238131 0.0 0.0 0.0 310.1310017238131 56.50900829748523 12519.335619992957 6.180220467392315E-4 1.8654720039151356E-4 1.163914596611296 1.5640627808420848E-7
27.5638 15752.003070848554 27.5638 -270976.37841907295  -452.9184663885507 -452.9184663885507 -452.9184663885507 0.0 0.0 0.0 452.9184663885507 81.80769458440604 15752.003070848554 6.455938844142811E-4 1.4038322307538773E-4 1.598325277666171 9.95055107093936E-8
30.927100000000003 19913.08002110369 30.927100000000003 -270973.6614201983  -665.978784237893 -665.978784237893 -665.978784237893 0.0 0.0 0.0 665.978784237893 77.47446683100067 19913.08002110369 6.749677178510405E-4 1.326290306803652E-4 0.5529757536161738 3.0608841324070893E-8
34.7007 28454.019817491127 34.7007 -270969.81416724966  -972.5367736510306 -972.5367736510306 -972.5367736510306 0.0 0.0 0.0 972.5367736510306 77.59593491110782 28454.019817491127 7.074017734560015E-4 2.7984821678405275E-4 0.2251944394605218 2.340469579811359E-8
38.9349 33390.838303371405 38.9349 -270965.1767836545  -1330.5735275526986 -1330.5735275526986 -1330.5735275526986 0.0 0.0 0.0 1330.5735275526986 122.36804529332903 33390.838303371405 7.451715528176144E-4 4.1791079347495996E-4 0.7865519946795024 6.899282664243691E-8
