#state rho e tau(6) p c^2 T s cv gamma alphavol
12.281310123417862 1460.86 12.281310123417862 NaN  NaN NaN NaN 0.0 0.0 0.0 NaN NaN 1460.86 NaN NaN NaN NaN
14.64637878540627 2914.79 14.64637878540627 -270982.47895256453  -37.80295230962473 -37.80295230962473 -37.80295230962473 0.0 0.0 0.0 37.80295230962473 19.68445028558353 2914.79 5.384792865842128E-4 1.248805369546331E-4 3.078720519331231 1.3335566545710418E-6
15.5003 4617.834553439151 15.5003 -270982.11519810295  -57.984110118744994 -57.984110118744994 -57.984110118744994 0.0 0.0 0.0 57.984110118744994 20.262708327833632 4617.834553439151 5.861422121168384E-4 2.3332719476717005E-4 1.9031842123138971 1.4138671015800515E-6
16.636504846369593 5815.78 16.636504846369593 -270981.7831727483  -77.8837339105896 -77.8837339105896 -77.8837339105896 0.0 0.0 0.0 77.8837339105896 24.919327131178893 5815.78 5.924469994321813E-4 1.4831016411069887E-4 2.2989874784003606 8.224492692877182E-7
17.3916 7065.261695049225 17.3916 -270981.4677222158  -94.25952438207756 -94.25952438207756 -94.25952438207756 0.0 0.0 0.0 94.25952438207756 29.008110470072403 7065.261695049225 6.09038727569869E-4 1.4850289027919103E-4 1.7620453551525268 5.186722468901899E-7
18.92057642052112 9217.38 18.92057642052112 -270980.83126592526  -133.74304265799958 -133.74304265799958 -133.74304265799958 0.0 0.0 0.0 133.74304265799958 30.5689817055552 9217.38 6.22755391548118E-4 1.864608746400434E-4 1.6120511496789205 5.196981843201244E-7
19.5137 10821.16920088665 19.5137 -270980.3995859603  -154.12349566121102 -154.12349566121102 -154.12349566121102 0.0 0.0 0.0 154.12349566121102 35.739474641339285 10821.16920088665 6.427735539762078E-4 1.9551041392519515E-4 1.4722051778386107 4.127151847288676E-7
21.8947 14330.731072197987 21.8947 -270979.03899094823  -233.41500132215887 -233.41500132215887 -233.41500132215887 0.0 0.0 0.0 233.41500132215887 50.459306605428075 14330.731072197987 6.694663507528914E-4 1.9074891963901107E-4 1.7002674201289534 2.935614626075343E-7
24.193071648646708 18391.1 24.193071648646708 -270977.4048597727  -322.57579373919924 -322.57579373919924 -322.57579373919924 0.0 0.0 0.0 322.57579373919924 48.79602669060389 18391.1 6.95341758999029E-4 1.9962369083962347E-4 1.3690695205397134 2.3150592530518515E-7
24.5662 19241.806480417505 24.5662 -270977.09518236294  -339.8050549833866 -339.8050549833866 -339.8050549833866 0.0 0.0 0.0 339.8050549833866 63.624959568687146 19241.806480417505 7.016509508822613E-4 1.920936236724563E-4 1.453058828539773 1.7857910584287837E-7
27.5638 25053.3111114204 27.5638 -270974.78622334887  -493.3691355005865 -493.3691355005865 -493.3691355005865 0.0 0.0 0.0 493.3691355005865 83.13594944953125 25053.3111114204 7.232236385114493E-4 2.6218712474000526E-4 1.3339148531711802 1.526200242870382E-7
