#⍴ e p
#g/cc MJ/kg GPa
58.8576 -8.86008 14530.9
53.6675 -30.0606 11564.2
49.07 -48.0782 9200.46
44.983 -63.1449 7324.35
41.3376 -75.9578 5827.88
38.0757 -86.7345 4645.23
35.1481 -95.8171 3711.67
32.5131 -103.462 2967
30.1351 -109.892 2375.65
27.9834 -115.326 1906.13
26.0318 -119.884 1531.93
24.2576 -123.809 1230.37
22.641 -127.063 991.383
21.1649 -129.801 799.519
19.8143 -132.198 644.236
18.5763 -134.542 516.695
17.4393 -136.16 417.418
16.3932 -137.64 337.049
15.4292 -138.784 274.536
14.5393 -139.747 219.86
13.7165 -140.575 176.046
12.9546 -141.278 139.934
12.2482 -141.804 109.789
11.5922 -142.264 85.6094
10.9822 -142.614 65.9314
10.4143 -142.9 51.0284
9.88482 -143.142 37.9113
9.39067 -143.305 27.1516
8.92892 -143.422 18.6506
8.49695 -143.502 11.3645
8.09241 -143.544 5.36813
7.71314 -143.549 0.529393
7.35721 -143.529 -3.36874
7.02284 -143.491 -5.92316
6.70843 -143.437 -8.28358
6.41251 -143.371 -9.50266
6.13375 -143.268 -10.8162
5.87091 -143.2 -11.3779
5.62288 -143.107 -12.4057
5.38862 -143.005 -13.204
