#a c/a ⍴ e p
#A - g/cc MJ/kg GPa
4.91167 0.534409 7.61434 -143.81 0.0343052
4.77695 0.542476 8.15381 -143.792 7.9697
4.69685 0.540634 8.60738 -143.712 16.079
4.6353 0.539552 8.97277 -143.621 24.0198
4.57745 0.53887 9.32903 -143.503 32.0678
4.53048 0.538558 9.6278 -143.384 39.9752
4.4901 0.537125 9.91633 -143.251 48.0777
4.45197 0.537769 10.1611 -143.126 55.5651
4.41341 0.537749 10.4301 -142.973 64.2241
4.38261 0.537468 10.6572 -142.835 72.0234
4.34968 0.538339 10.8834 -142.686 80.1492
4.29693 0.537959 11.2972 -142.39 96.1633
4.24782 0.538375 11.6845 -142.075 112.297
4.20518 0.538635 12.0377 -141.774 128.12
4.1663 0.538616 12.3783 -141.474 144.232
4.13028 0.538616 12.7051 -141.156 160.199
