#⍴ e p
#g/cc MJ/kg GPa
15.0676 -131.107 541.367
13.9917 -133.591 435.784
13.0159 -135.679 348.962
12.1288 -137.425 278.771
11.3205 -138.898 221.247
10.5824 -140.111 173.876
9.90716 -141.104 135.955
9.28815 -141.908 104.808
8.71965 -142.548 79.4099
8.19662 -143.049 59.0487
7.71459 -143.432 42.562
7.26963 -143.714 29.3486
6.85824 -143.909 18.7519
6.47732 -144.03 10.3694
6.12409 -144.09 3.81113
5.79608 -144.098 -1.29409
5.49109 -144.065 -5.1504
5.3466 -144.034 -6.70388
5.31831 -144.028 -6.98442
5.20713 -143.997 -8.03033
4.94241 -143.902 -10.1113
4.69534 -143.783 -11.5212
4.46446 -143.649 -12.4766
