#⍴ e p
#g/cc MJ/kg GPa
55.9669 -21.4611 12884.3
52.0637 -37.3254 10747.6
48.5152 -51.106 8971.11
45.2819 -63.1373 7489.48
42.3297 -73.6626 6254.84
39.6287 -82.8118 5225.33
37.1526 -90.9537 4362.06
34.8786 -97.8702 3648.85
32.7865 -104.122 3047.42
30.8584 -109.397 2548.63
29.0785 -114.012 2131.99
27.433 -118.054 1785.64
25.9093 -121.577 1492.35
24.4964 -124.603 1251.31
23.1843 -127.233 1048.67
21.9644 -129.633 878.383
20.8285 -131.557 737.185
19.7696 -133.358 618.388
18.7813 -134.864 518.874
17.8578 -136.109 436.005
16.9939 -137.246 367.248
16.1848 -138.299 307.062
14.7144 -139.877 214.271
13.4169 -141.082 148.044
12.2675 -141.944 103.025
11.2458 -142.569 69.226
10.3344 -143.004 44.6417
9.51892 -143.254 26.9761
8.78703 -143.437 14.0889
8.12829 -143.518 5.34603
7.53378 -143.544 -1.36465
6.99586 -143.503 -5.85117
6.50796 -143.422 -9.23382
