#a b/a c/a ⍴ e p
#A - - g/cc MJ/kg GPa
3.04128 1.56653 1.41761 7.71838 -143.604 -0.0119658
2.53799 1.64263 1.56382 11.4815 -141.871 80.1425
2.44034 1.60622 1.52891 13.51 -140.727 160.272
2.34209 1.61224 1.5502 15.0163 -139.41 240.35
2.27247 1.61429 1.56535 16.2594 -138.026 320.436
2.21635 1.61832 1.58089 17.3107 -136.636 400.614
2.17204 1.62956 1.58383 18.231 -135.371 480.727
2.13559 1.63572 1.5868 19.0724 -134.115 560.7
2.10419 1.64085 1.58926 19.8461 -132.887 641.01
2.04964 1.66742 1.63142 20.5847 -131.666 721.044
2.01392 1.67962 1.65212 21.2723 -130.521 801.192
1.94588 1.72509 1.68615 22.4975 -128.259 961.333
1.91403 1.73303 1.68004 23.6169 -126.17 1121.9
1.8962 1.71769 1.6712 24.6358 -124.041 1281.94
1.88199 1.7111 1.6528 25.5768 -122.004 1441.83
1.86856 1.69475 1.64856 26.4521 -119.977 1602.41
1.85157 1.70111 1.63686 27.279 -117.873 1762.39
1.82801 1.70749 1.6478 28.0537 -116.03 1922.45
1.79555 1.73753 1.6662 28.7699 -113.693 2082.73
1.8097 1.69734 1.62413 29.5109 -112.015 2242.78
1.79868 1.68954 1.62419 30.1941 -110.411 2402.93
1.78427 1.69781 1.61945 30.871 -108.585 2563.38
1.7604 1.71484 1.63747 31.475 -106.607 2722.72
1.74737 1.70344 1.65325 32.0905 -104.822 2882.79
1.7223 1.74576 1.65185 32.7273 -103.298 3043.17
1.73778 1.69348 1.62961 33.2925 -101.769 3204.45
