#rho(g/cc) p(GPa) e(MJ/kg) h(MJ/kg)
32.9345490833 4383.25 57.6006429718 190.691415023
30.8287595 3632.32 49.3224849657 167.145864888
28.9760696262 3048.58 42.4178293116 147.628925202
27.3334352937 2586.59 36.5913744348 131.223109125
25.86704928 2215.76 31.6253478406 117.285581007
24.5499897444 1909.19 27.3595571921 105.127616366
23.3605522568 1656.13 23.6690418475 94.5639008994
22.2810442967 1442.77 20.461267631 85.2150268325
21.2968992306 1261.87 17.6602081708 76.9120239855
19.5682548125 976.602 13.0448226582 62.9526816101
18.0991666134 764.834 9.45510638358 51.7134074166
16.8352583303 606.065 6.62837376482 42.6284022354
15.7363511286 484.809 4.37662799325 35.1850929964
14.7721139271 391.515 2.56713179085 29.0709950343
13.9192205133 318.228 1.10095496909 23.9636223953
13.1594377342 260.385 -0.0970661319557 19.6900295296
12.4783074167 214.231 -1.07866572146 16.0897435982
11.8642174847 176.942 -1.88687976467 13.0271586475
11.3077344883 146.593 -2.55666299753 10.4073976752
10.8011155596 121.732 -3.1100320812 8.16037413391
10.3379459387 101.257 -3.57148197008 6.22328761715
9.91286592475 84.255 -3.95609961042 4.54352754512
9.5213625312 69.906 -4.27524262574 3.06683168593
9.15960863564 58.038 -4.54064273486 1.79570415229
8.82433745571 48.272 -4.76038122025 0.70998762015
8.512743619 39.624 -4.94193374068 -0.287228485424
8.22240447783 32.429 -5.0916587465 -1.14764750133
7.95121699505 26.527 -5.21320709941 -1.87696194368
7.69734672063 21.218 -5.31134752087 -2.55479151692
7.45918624041 16.678 -5.39239740311 -3.1564790363
7.23532110714 12.848 -5.45378733816 -3.67804012193
7.02450172756 9.561 -5.50022539739 -4.13912168281
6.8256200252 6.738 -5.53385320822 -4.54668235656
6.63768995843 4.541 -5.55848448246 -4.87435554046
6.45983117069 2.146 -5.57220622344 -5.23999677929
6.29125520068 0.572 -5.57793884671 -5.48701827644
6.1312537968 -1.258 -5.57649285442 -5.78167273472
5.97918897049 -2.481 -5.56885279042 -5.9837952812
5.83448449395 -3.775 -5.55616736452 -6.20318764063
5.69661860326 -4.58 -5.53849280067 -6.34248485897
5.56511771214 -5.719 -5.51642204225 -6.54408136478
5.43955097676 -6.427 -5.49072966388 -6.67227032934
5.3195255801 -7.124 -5.46070120936 -6.79992894121
5.20468262716 -7.76 -5.43005189887 -6.92102872654
5.09469356065 -8.29 -5.3972254189 -7.0244214952
4.98925702173 -8.684 -5.36235652084 -7.10290996215
4.88809609266 -9.12 -5.32558890141 -7.19136071605
