#rho(g/cc) p(GPa) e(MJ/kg) h(MJ/kg)
32.9345490833 7764.9 100.318033314 336.087504802
30.8287595 6290.14 85.8100281184 289.846444234
28.9760696262 5160.7 73.9868515331 252.090395662
27.3334352937 4277.3 64.2381287383 220.725364361
25.86704928 3584.25 56.1138538515 194.679262888
24.5499897444 3034.69 49.2713594838 172.885013177
23.3605522568 2589.44 43.4570542838 154.304622907
22.2810442967 2229.85 38.4697704639 138.548902935
21.2968992306 1935.15 34.1592365825 125.025293604
19.5682548125 1489.52 27.1102547909 103.230060061
18.0991666134 1175.3 21.6183548714 86.5555585052
16.8352583303 946.719 17.2418044021 73.4765497737
15.7363511286 775.695 13.6886215269 62.9822036605
14.7721139271 643.151 10.7588173405 54.2973437032
13.9192205133 541.156 8.31393125902 47.1925643575
13.1594377342 456.623 6.2538465891 40.9533991066
12.4783074167 388.795 4.50557250721 35.6634894352
11.8642174847 332.946 3.01312009325 31.0763805583
11.3077344883 285.496 1.73425386882 26.9823043612
10.8011155596 245.334 0.635114109264 23.3490581698
10.3379459387 211.384 -0.312396274134 20.1351537661
9.91286592475 182.411 -1.12938680961 17.2721975364
9.5213625312 157.98 -1.8349522275 14.7573417067
9.15960863564 136.463 -2.44511523066 12.4533462129
8.82433745571 118.159 -2.97311283117 10.4171198464
8.512743619 102.537 -3.43037696654 8.61483585292
8.22240447783 88.694 -3.82643505772 6.96051900744
7.95121699505 76.779 -4.16951357257 5.4868202312
7.69734672063 66.499 -4.46640942183 4.17286938421
7.45918624041 57.546 -4.72304918812 2.99179421858
7.23532110714 49.41 -4.94454715752 1.88450560974
7.02450172756 42.522 -5.13530119936 0.918129629147
6.8256200252 36.299 -5.298968356 0.0191252539964
6.63768995843 30.945 -5.43881075304 -0.776760519526
6.45983117069 26.129 -5.5576229202 -1.51274847176
6.29125520068 22.326 -5.65793934812 -2.10917597065
6.1312537968 18.266 -5.74198021163 -2.76279444569
5.97918897049 15.03 -5.81165178179 -3.29791311337
5.83448449395 12.09 -5.86858830143 -3.79640945688
5.69661860326 9.564 -5.91425625867 -4.23535231859
5.56511771214 7.4 -5.94992961115 -4.62020780896
5.43955097676 5.636 -5.97674071322 -4.94061760903
5.3195255801 3.742 -5.99571213632 -5.29226039958
5.20468262716 2.169 -6.00781832926 -5.59107493502
5.09469356065 1.025 -6.01380363466 -5.81261232245
4.98925702173 -0.578 -6.01437844813 -6.13022827414
4.88809609266 -1.715 -6.01015207513 -6.3610071916
