#rho(g/cc) p(GPa) e(MJ/kg) h(MJ/kg)
32.9345490833 4353.05 57.6166873999 189.790482022
30.8287595 3622.31 49.3777649125 166.876445461
28.9760696262 3050.35 42.4807743506 147.752955612
27.3334352937 2594.75 36.643872984 131.5741455
25.86704928 2221.72 31.6622452802 117.552889226
24.5499897444 1914.96 27.3831938872 105.386285562
23.3605522568 1658.97 23.6820158232 94.6984483022
22.2810442967 1443.57 20.4715909997 85.2612554441
21.2968992306 1259.73 17.6757501855 76.8270810962
19.5682548125 970.478 13.081037236 62.6759378607
18.0991666134 759.171 9.51541022609 51.4608214572
16.8352583303 601.755 6.70984003659 42.4538561608
15.7363511286 481.829 4.47348563138 35.0925786845
14.7721139271 389.21 2.67465685367 29.022481619
13.9192205133 317.041 1.21545531082 23.9928443007
13.1594377342 259.979 0.0217605829849 19.7780036192
12.4783074167 214.444 -0.959554922716 16.2259241542
11.8642174847 177.435 -1.77161857863 13.1839736814
11.3077344883 148.336 -2.44502662144 10.673177549
10.8011155596 123.278 -3.00624890175 8.4072918056
10.3379459387 103.346 -3.47406885793 6.52277341236
9.91286592475 86.506 -3.86649373216 4.86021384268
9.5213625312 71.962 -4.19438390493 3.36362759074
9.15960863564 60.276 -4.46806241263 2.11261998459
8.82433745571 50.057 -4.69611687226 0.976535038656
8.512743619 41.733 -4.88661357323 0.0158398493854
8.22240447783 34.662 -5.04462687995 -0.829038431945
7.95121699505 28.519 -5.17591437752 -1.58913955955
7.69734672063 23.043 -5.2821820176 -2.2885294585
7.45918624041 18.348 -5.36774662993 -2.90794148577
7.23532110714 14.648 -5.43504147545 -3.41051273765
7.02450172756 10.943 -5.48788624722 -3.93004104812
6.8256200252 8.025 -5.52720692581 -4.35148028816
6.63768995843 5.468 -5.55506498962 -4.73127792623
6.45983117069 3.235 -5.57520543228 -5.0744144016
6.29125520068 1.459 -5.58527769388 -5.35336665888
6.1312537968 -0.307 -5.58796388286 -5.63803560245
5.97918897049 -1.794 -5.58396144202 -5.88400450064
5.83448449395 -3.154 -5.57507437598 -6.11565767422
5.69661860326 -4.209 -5.55999379648 -6.29885898717
5.56511771214 -5.214 -5.54056028693 -6.47747508108
5.43955097676 -6.022 -5.51758948008 -6.62467488345
5.3195255801 -6.76 -5.49161627438 -6.76241631192
5.20468262716 -7.222 -5.46269377023 -6.85030132814
5.09469356065 -8.108 -5.4299153531 -7.02138770371
4.98925702173 -8.569 -5.39543350975 -7.11293724519
4.88809609266 -8.939 -5.35942181669 -7.18816460737
