#rho(g/cc) p(GPa) e(MJ/kg) h(MJ/kg)
32.9345490833 4942.42 64.838086782 214.907212111
30.8287595 4030.75 55.5800954426 186.327548481
28.9760696262 3341.32 47.9670277772 163.281022791
27.3334352937 2808.45 41.6087956083 144.357393295
25.86704928 2388.63 36.2363692981 128.579674867
24.5499897444 2053.93 31.6446551321 115.308486274
23.3605522568 1778.75 27.6799946476 103.823914834
22.2810442967 1553.45 24.2330211749 93.9542707374
21.2968992306 1364.85 21.2121600937 85.2994597479
19.5682548125 1074.5 16.1843920916 71.0951893701
18.0991666134 857.619 12.1986318749 59.5834524682
16.8352583303 691.5 9.00343628542 50.0782709771
15.7363511286 562.719 6.41639866396 42.1758598499
14.7721139271 459.096 4.30657291062 35.3853760207
13.9192205133 377.51 2.57829376035 29.6999976332
13.1594377342 311.591 1.15550654317 24.8338325768
12.4783074167 257.867 -0.0225019283415 20.6428835948
11.8642174847 214.665 -0.999387531675 17.0942366828
11.3077344883 179.029 -1.81590474921 14.016657639
10.8011155596 150.192 -2.49668353931 11.408656472
10.3379459387 125.669 -3.07060468343 9.08558105443
9.91286592475 105.087 -3.54830847788 7.05284657397
9.5213625312 88.378 -3.94627454811 5.33587352955
9.15960863564 74.71 -4.28253907235 3.8739872714
8.82433745571 61.855 -4.5639324764 2.44571420538
8.512743619 51.465 -4.79847778513 1.24721184645
8.22240447783 42.667 -4.99357058806 0.195585038011
7.95121699505 35.338 -5.15510859153 -0.710722444835
7.69734672063 28.669 -5.28776626547 -1.56320673691
7.45918624041 23.171 -5.39309173568 -2.28669621598
7.23532110714 18.584 -5.47987898633 -2.91134798802
7.02450172756 14.521 -5.54837327613 -3.48116408888
6.8256200252 10.984 -5.60108053184 -3.99183674517
6.63768995843 7.859 -5.64309872394 -4.45909314032
6.45983117069 5.244 -5.67078148333 -4.85898916033
6.29125520068 3.168 -5.68827001634 -5.18470993483
6.1312537968 1.178 -5.69690505819 -5.504773183
5.97918897049 -0.607 -5.69780355148 -5.79932313709
5.83448449395 -1.971 -5.68972349187 -6.02754520424
5.69661860326 -3.392 -5.67844064752 -6.2738862942
5.56511771214 -4.584 -5.66209221129 -6.4858009601
5.43955097676 -5.64 -5.64138143447 -6.67823989927
5.3195255801 -6.09 -5.61686365818 -6.76171162097
5.20468262716 -7.118 -5.58908917267 -6.95671456692
5.09469356065 -7.857 -5.5610014812 -7.10320649585
4.98925702173 -8.231 -5.5279578545 -7.17771549791
4.88809609266 -8.785 -5.49288507483 -7.29012250812
