#shot method rho0 rhoflyer us up - - - ⍴ p e
#- - g/cc g/cc km/s km/s - - - g/cc GPa MJ/kg
8a-964 0_1 5.311 2.785 4.116 1.087 6.875 1.000 1.000 7.217 23.762 0.591
8a-987 0_1 5.311 2.785 4.297 1.466 7.384 1.000 1.000 8.061 33.456 1.075
8a-923 0_1 5.311 2.785 4.178 1.464 7.358 1.000 1.000 8.176 32.485 1.072
8a-945 0_1 5.311 2.785 4.249 0.755 6.456 1.000 1.000 6.459 17.038 0.285
8a1213 0_1 5.311 2.785 4.179 1.498 7.399 1.000 1.000 8.279 33.248 1.122
graph 0_1 5.330 2.785 4.219 0.750 6.447 1.000 1.000 6.482 16.865 0.281
graph 0_1 5.330 2.785 4.249 0.602 6.245 1.000 1.000 6.21 13.634 0.181
graph 0_1 5.330 2.785 4.189 1.047 6.837 1.000 1.000 7.106 23.377 0.548
graph 0_1 5.330 2.785 4.160 1.067 6.858 1.000 1.000 7.169 23.658 0.569
graph 0_1 5.330 2.785 4.169 1.226 7.062 1.000 1.000 7.55 27.243 0.752
graph 0_1 5.330 2.785 4.486 1.613 7.606 1.000 1.000 8.322 38.567 1.301
graph 0_1 5.330 2.785 4.575 1.593 7.600 1.000 1.000 8.177 38.845 1.269
graph 0_1 5.330 2.785 4.822 1.753 7.849 1.000 1.000 8.374 45.054 1.537
graph 0_1 5.330 2.785 4.911 1.792 7.917 1.000 1.000 8.392 46.907 1.606
graph 0_1 5.330 2.785 5.217 1.962 8.194 1.000 1.000 8.543 54.557 1.925
graph 0_1 5.330 2.785 5.681 2.162 8.546 1.000 1.000 8.605 65.465 2.337
graph 0_1 5.330 2.785 5.721 2.162 8.555 1.000 1.000 8.568 65.926 2.337
graph 0_1 5.330 2.785 5.770 2.152 8.553 1.000 1.000 8.5 66.183 2.316
graph 0_1 5.330 2.785 5.731 2.192 8.595 1.000 1.000 8.631 66.957 2.402
graph 0_1 5.330 2.785 5.652 2.271 8.676 1.000 1.000 8.91 68.414 2.579
graph 0_1 5.330 2.785 6.067 2.401 8.933 1.000 1.000 8.821 77.641 2.882
graph 0_1 5.330 2.785 6.116 2.411 8.956 1.000 1.000 8.798 78.594 2.906
graph 0_1 5.330 2.785 6.057 2.559 9.127 1.000 1.000 9.229 82.614 3.274
graph 0_1 5.330 2.785 6.195 2.570 9.174 1.000 1.000 9.109 84.86 3.302
graph 0_1 5.330 2.785 6.393 2.610 9.270 1.000 1.000 9.007 88.935 3.406
graph 0_1 5.330 2.785 6.363 2.660 9.325 1.000 1.000 9.159 90.213 3.538
graph 0_1 5.330 2.785 6.521 2.740 9.461 1.000 1.000 9.193 95.234 3.754
graph 0_1 5.330 2.785 6.916 3.009 9.891 1.000 1.000 9.435 110.919 4.527
graph 0_1 5.330 2.785 6.956 3.039 9.938 1.000 1.000 9.465 112.672 4.618
8c-747 3_1 5.330 2.785 5.218 1.946 8.174 1.002 1.005 8.5 54.122 1.893
8c-748 3_1 5.330 2.787 6.714 3.121 9.977 1.012 1.004 9.96 111.687 4.87
8c-749 3_1 5.330 2.785 6.373 2.597 9.248 1.006 1.010 8.996 88.215 3.372
8c-750 3_1 5.330 2.785 5.725 2.242 8.657 1.007 1.007 8.761 68.413 2.513
8c-751 3_1 5.330 2.785 5.385 2.107 8.412 1.006 1.004 8.756 60.475 2.22
8c-751 3_1 5.330 2.785 5.449 2.095 8.412 1.035 1.004 8.659 60.845 2.195
8c-755 3_1 5.330 2.784 6.318 2.708 9.374 1.027 1.003 9.328 91.192 3.667
8c-757 3_1 5.330 2.785 4.087 1.075 6.857 1.041 1.009 7.232 23.417 0.578
8c-785 3_1 5.330 2.783 4.554 1.599 7.603 1.003 1.004 8.214 38.812 1.278
8c-786 3_1 5.330 2.787 6.200 2.564 9.167 1.002 1.000 9.089 84.73 3.287
8c-845 3_1 5.330 2.788 6.906 3.188 10.107 1.003 1.000 9.9 117.347 5.082
8c-850 3_1 5.330 2.784 6.562 2.938 9.716 1.005 1.001 9.651 102.758 4.316
8c-862 3_1 5.330 2.788 6.162 2.481 9.053 1.006 1.000 8.922 81.485 3.078
8c-863 3_1 5.330 2.788 6.100 2.578 9.159 1.025 1.000 9.231 83.819 3.323
8c-864 3_1 5.330 2.788 5.912 2.474 8.986 1.035 1.001 9.165 77.958 3.06
8c-864 3_1 5.330 2.788 5.970 2.463 8.986 1.013 1.001 9.073 78.373 3.033
8c-865 3_1 5.330 2.788 5.503 2.246 8.610 1.000 1.010 9.006 65.877 2.522
8c-865 3_1 5.330 2.788 5.394 2.267 8.610 1.016 1.010 9.194 65.176 2.57
8c-868 3_1 5.330 2.788 5.138 1.971 8.187 1.015 1.001 8.647 53.977 1.942
