# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
5.326541538140366 1.0 0.0 0.0010122817447844065  -1.0129078999405279E-4 -1.0129078999405279E-4 -1.0129078999405279E-4 0.0 0.0 0.0 293.0000004459542 -0.1209390339856008 10.944210764090345 3.273624121876185E-4 1.0129078999405279E-4 0.9908410580117173 5.5642039508748226E-6 5.326541538140366 293.0000004459542
5.326541538140366 1.0 0.0 0.0010122817447844065  0.0 0.0 0.0 0.0 0.0 0.0 293.0000004459542 -0.1209390339856008 10.944210764090345 3.273624121876185E-4 1.0129078999405279E-4 0.9908410580117173 5.5642039508748226E-6 5.326541538140366 293.0000004459542
5.336131225678691 0.998202876366275 0.006384414780262718 0.0016191123987867938  -0.13699022723099083 -0.13699022723099083 -0.13699022723099083 0.0 0.0 0.0 293.5226683232401 -0.12055617247048797 14.368346050803087 3.272771869065095E-4 0.13699022723099083 0.9908336788242533 4.229443359443272E-6 5.336131225678691 293.5226683232401
5.345720913226267 0.9964122004501866 0.013193453479163238 0.002290999946719972  -0.2754400213248496 -0.2754400213248496 -0.2754400213248496 0.0 0.0 0.0 294.0453232346001 -0.12010810115048241 14.39410589998957 3.271918239246857E-4 0.2754400213248496 0.9908258957970777 4.213168380527486E-6 5.345720913226267 294.0453232346001
5.355310600783044 0.994627937614212 0.01999636216438554 0.0029627941899533525  -0.4138925576892671 -0.4138925576892671 -0.4138925576892671 0.0 0.0 0.0 294.56796569002495 -0.1196594329441199 14.41977418449093 3.2710646094278E-4 0.4138925576892671 0.9908190626316105 4.197013364082194E-6 5.355310600783044 294.56796569002495
5.364900288348975 0.9928500534684841 0.02679313586786298 0.003634495298176057  -0.552347837109845 -0.552347837109845 -0.552347837109845 0.0 0.0 0.0 295.0905961986617 -0.11921016808501124 14.4453514686649 3.2702109796079284E-4 0.552347837109845 0.9908131749549728 4.1809769902405405E-6 5.364900288348975 295.0905961986617
5.37448997592401 0.9910785138685834 0.03358376985163337 0.0043061034404216205  -0.6908058603749301 -0.6908058603749301 -0.6908058603749301 0.0 0.0 0.0 295.6132152681847 -0.11876030680500117 14.470838312398755 3.269357349787246E-4 0.6908058603749301 0.9908082284262483 4.165057958406481E-6 5.37448997592401 295.6132152681847
5.384079663508099 0.9893132849133508 0.04036825960413084 0.004977618785071985  -0.8292666282757364 -0.8292666282757364 -0.8292666282757364 0.0 0.0 0.0 296.13582340480474 -0.1183098493341756 14.496235271153235 3.2685037199657585E-4 0.8292666282757364 0.9908042187361977 4.149254986904482E-6 5.384079663508099 296.13582340480474
5.393669351101195 0.9875543329427259 0.04714660083652909 0.005649041499860512  -0.967730141606289 -0.967730141606289 -0.967730141606289 0.0 0.0 0.0 296.6584211132765 -0.11785879590086926 14.521542896005867 3.2676500901434685E-4 0.967730141606289 0.9908011416069795 4.1335668126368544E-6 5.393669351101195 296.6584211132765
5.4032590387032515 0.9858016245356067 0.05391878947914689 0.006320371751875451  -1.106196401163433 -1.106196401163433 -1.106196401163433 0.0 0.0 0.0 297.1810088969075 -0.11740714673167335 14.5467617336938 3.266796460320381E-4 1.106196401163433 0.9907989927918714 4.117992190748513E-6 5.4032590387032515 297.1810088969075
5.412848726314219 0.9840551265077341 0.060684821677909104 0.006991609707562962  -1.2446654077467898 -1.2446654077467898 -1.2446654077467898 0.0 0.0 0.0 297.7035872575656 -0.11695490205144302 14.571892326656137 3.2659428304965005E-4 1.2446654077467898 0.9907977680749952 4.102529894298969E-6 5.412848726314219 297.7035872575656
5.42243841393405 0.9823148059095963 0.06744469379086918 0.007662755532730625  -1.383137162158803 -1.383137162158803 -1.383137162158803 0.0 0.0 0.0 298.22615669568745 -0.11650206208330462 14.596935213075824 3.265089200671831E-4 1.383137162158803 0.9907974632710466 4.087178713941353E-6 5.42243841393405 298.22615669568745
5.432028101562699 0.9805806300243574 0.07419840238478444 0.008333809392550622  -1.521611665204721 -1.521611665204721 -1.521611665204721 0.0 0.0 0.0 298.7487177102866 -0.1160486270486632 14.621890926920983 3.264235570846376E-4 1.521611665204721 0.9907980742250256 4.071937457608333E-6 5.432028101562699 298.7487177102866
5.441617789200117 0.9788525663658074 0.08094594423174395 0.009004771451562733  -1.6600889176925282 -1.6600889176925282 -1.6600889176925282 0.0 0.0 0.0 299.2712707989613 -0.11559459716721004 14.646759997985814 3.2633819410201416E-4 1.6600889176925282 0.9907995968119687 4.0568049502047315E-6 5.441617789200117 299.2712707989613
5.45120747684626 0.9771305826763323 0.08768731630586162 0.009675641873678214  -1.7985689204331083 -1.7985689204331083 -1.7985689204331083 0.0 0.0 0.0 299.7938164579029 -0.11513997265692937 14.671542951931032 3.2625283111931293E-4 1.7985689204331083 0.99080202693669 4.0417800333066715E-6 5.45120747684626 299.7938164579029
5.460797164501082 0.9754146469249086 0.09442251578000423 0.010346420822182087  -1.9370516742400326 -1.9370516742400326 -1.9370516742400326 0.0 0.0 0.0 300.3163551819031 -0.11468475373410628 14.696240310323791 3.261674681365345E-4 1.9370516742400326 0.9908053605335153 4.0268615648671104E-6 5.460797164501082 300.3163551819031
5.470386852164537 0.9737047273051167 0.10115154002258733 0.011017108459736816  -2.0755371799296713 -2.0755371799296713 -2.0755371799296713 0.0 0.0 0.0 300.83888746436224 -0.11422894061333355 14.72085259067721 3.260821051536792E-4 2.0755371799296713 0.9908095935660285 4.012048418927579E-6 5.470386852164537 300.83888746436224
5.479976539836579 0.9720007922331747 0.10787438659441662 0.011687704948385443  -2.2140254383211904 -2.2140254383211904 -2.2140254383211904 0.0 0.0 0.0 301.3614137972972 -0.11377253350751876 14.7453803064894 3.259967421707475E-4 2.2140254383211904 0.990814722026815 3.997339485335998E-6 5.479976539836579 301.3614137972972
5.489566227517163 0.9703028103459951 0.11459105324557783 0.012358210449554563  -2.352516450236506 -2.352516450236506 -2.352516450236506 0.0 0.0 0.0 301.88393467134887 -0.11331553262789161 14.769823967282077 3.2591137918773976E-4 2.352516450236506 0.990820741937209 3.9827336694704074E-6 5.489566227517163 301.88393467134887
5.499155915206246 0.9686107504992598 0.12130153791237917 0.013028625124057527  -2.491010216500308 -2.491010216500308 -2.491010216500308 0.0 0.0 0.0 302.40645057579013 -0.11285793818401081 14.794184078638704 3.258260162046563E-4 2.491010216500308 0.9908276493470454 3.968229891968467E-6 5.499155915206246 302.40645057579013
5.508745602903782 0.9669245817655162 0.12800583871434046 0.01369894913209747  -2.629506737940042 -2.629506737940042 -2.629506737940042 0.0 0.0 0.0 302.9289619985334 -0.11239975038377113 14.81846114224221 3.257406532214977E-4 2.629506737940042 0.9908354403344104 3.953827088462594E-6 5.508745602903782 302.9289619985334
5.518335290609729 0.9652442734322925 0.1347039539512312 0.014369182633270427  -2.7680060153859176 -2.7680060153859176 -2.7680060153859176 0.0 0.0 0.0 303.45146942613826 -0.11194096943341039 14.842655655912322 3.2565529023826414E-4 2.7680060153859176 0.9908441110053994 3.939524209320588E-6 5.518335290609729 303.45146942613826
5.52792497832404 0.9635697950002335 0.14139588210015314 0.015039325786568228  -2.906508049670866 -2.906508049670866 -2.906508049670866 0.0 0.0 0.0 303.97397334381907 -0.11148159553751644 14.866768113642376 3.2556992725495614E-4 2.906508049670866 0.9908536574938728 3.925320219391642E-6 5.52792497832404 303.97397334381907
5.5375146660466745 0.961901116181255 0.14808162181267445 0.015709378750381864  -3.0450128416306113 -3.0450128416306113 -3.0450128416306113 0.0 0.0 0.0 304.49647423545264 -0.11102162889903384 14.890799005635822 3.2548456427157414E-4 3.0450128416306113 0.9908640759612183 3.911214097757558E-6 5.5375146660466745 304.49647423545264
5.547104353777589 0.9602382068967174 0.15476117191200173 0.016379341682504146  -3.1835203921035897 -3.1835203921035897 -3.1835203921035897 0.0 0.0 0.0 305.0189725835855 -0.11056106971927093 14.914748818342243 3.253992012881183E-4 3.1835203921035897 0.9908753625961135 3.8972048374890914E-6 5.547104353777589 305.0189725835855
5.556694041516739 0.9585810372756188 0.16143453139020147 0.017049214740132813  -3.322030701930973 -3.322030701930973 -3.322030701930973 0.0 0.0 0.0 305.5414688694414 -0.11009991819790647 14.938618034492974 3.2531383830458925E-4 3.322030701930973 0.9908875136142903 3.883291445407289E-6 5.556694041516739 305.5414688694414
5.566283729264082 0.9569295776528063 0.1681016994054647 0.017718998079873552  -3.460543771956676 -3.460543771956676 -3.460543771956676 0.0 0.0 0.0 306.0639635729289 -0.10963817453299647 14.962407133136365 3.2522847532098727E-4 3.460543771956676 0.9909005252583047 3.869472941849675E-6 5.566283729264082 306.0639635729289
5.575873417019578 0.9552837985672055 0.17476267527941386 0.01838869185774296  -3.599059603027349 -3.599059603027349 -3.599059603027349 0.0 0.0 0.0 306.58645717264847 -0.10917583892098068 14.986116589672594 3.2514311233731264E-4 3.599059603027349 0.9909143937973056 3.855748360441203E-6 5.575873417019578 306.58645717264847
