#rho T p e s c^2 cv gamma alpha
1.0E-10 0.0 -9.734519573698538E-15 5.057268755974487 5.057531052156945 -2.2073136830204226E-4 1.7184896402421487E-4 0.6667369038298652 -5.190836584816061E9
1.77827941003892E-10 0.0 -2.1862271253943898E-14 5.0572057079340045 5.057468012247506 -2.787927259962178E-4 1.7185424261407695E-4 0.666757378649365 -2.3112485424635706E9
3.162277660168379E-10 0.0 -4.91022885705934E-14 5.057126059512486 5.057388374327637 -3.521428271883217E-4 1.7186106017186333E-4 0.666783821046729 -1.0290670991484896E9
5.623413251903491E-10 0.0 -1.1028806923067751E-13 5.057025439877003 5.057287768255552 -4.448080854985155E-4 1.7186986538513703E-4 0.6668179696165097 -4.5817813339817905E8
1.0E-9 0.0 -2.47725910425822E-13 5.0568983273677475 5.057160673264106 -5.618756689598688E-4 1.7188123774453977E-4 0.6668620690549131 -2.0399722601661515E8
1.77827941003892E-9 0.0 -5.564511840584397E-13 5.05673774648901 5.057000115010484 -7.097731863686034E-4 1.7189592573205978E-4 0.6669190169551934 -9.082786292836007E7
3.162277660168379E-9 0.0 -1.249950412676917E-12 5.056534885119214 5.056797282862151 -8.966222642028292E-4 1.7191489599806435E-4 0.6669925535940767 -4.0441287695092276E7
5.623413251903491E-9 0.0 -2.807801906664438E-12 5.056278610933537 5.056541046417443 -0.0011326856270309446 1.7193939701431367E-4 0.6670875058975044 -1.8007308974133648E7
1.0E-8 0.0 -6.307342896618458E-12 5.055954860502305 5.056217344730552 -0.0014309325579796605 1.7197104130579525E-4 0.6672101014278365 -8018604.040591077
1.77827941003892E-8 0.0 -1.4168745307882929E-11 5.055545867541584 5.055808414725564 -0.0018077543279254552 1.7201191148138604E-4 0.6673683728879258 -3570957.9262467967
3.162277660168379E-8 0.0 -3.182880052870341E-11 5.055029187964826 5.055291816459265 -0.0022838697609575565 1.720646973603387E-4 0.6675726770070708 -1590446.2400841012
5.623413251903491E-8 0.0 -7.150102193625028E-11 5.054376468234594 5.0546392017455215 -0.002885472107201738 1.7213287291361666E-4 0.667836360617659 -708462.7122390786
1.0E-7 0.0 -1.6062260548991652E-10 5.053551889425795 5.0538147585707405 -0.0036456825551634572 1.7222092503946983E-4 0.6681766121122772 -315644.58091594855
1.77827941003892E-7 0.0 -3.608303040462038E-10 5.052510201617451 5.052773245940465 -0.004606394035486224 1.7233464874954124E-4 0.6686155492260447 -140665.62830444882
3.16227766016838E-7 0.0 -8.10589269948108E-10 5.051194240747616 5.051457511321805 -0.005820612785452868 1.7248152854901775E-4 0.6691816018397536 -62707.26734536484
5.623413251903491E-7 0.0 -1.8209577888566416E-9 5.049531791666303 5.049795354455121 -0.0073554363202729105 1.7267123110088683E-4 0.6699112618385824 -27965.901537276724
1.0E-6 0.0 -4.090720713471161E-9 5.047431625243804 5.047695565442327 -0.008784054697363488 1.7291624139220845E-4 0.6708512846911013 -13205.86980369522
1.25892541179417E-6 0.0 -5.6545756843298735E-9 5.046444124275787 5.04670824463354 -0.00964686132396862 1.730331987955564E-4 0.6712990727189763 -9564.437824514105
1.58489319246111E-6 0.0 -7.81628373462845E-9 5.045359848729915 5.0456241686602885 -0.010594652358014277 1.73162759173079E-4 0.6717944067527915 -6927.940834692181
1.99526231496888E-6 0.0 -1.0804401239054328E-8 5.044169314756609 5.044433855764924 -0.011635848185231211 1.7330628057243735E-4 0.6723422517965818 -5018.878241216795
2.51188643150958E-6 0.0 -1.4934860692012156E-8 5.042862109095687 5.043126895004604 -0.01277971388576031 1.7346526738343224E-4 0.6729480725619515 -3636.410914233678
3.16227766016838E-6 0.0 -2.0644374247700518E-8 5.041426797994926 5.041691855194161 -0.014036446093757983 1.7364138611603697E-4 0.6736178795101587 -2635.1763719553296
3.98107170553497E-6 0.0 -2.8536607304688074E-8 5.0398508272026525 5.040116184925599 -0.015417269205389897 1.7383648284139793E-4 0.6743582783210081 -1909.959524693689
5.01187233627272E-6 0.0 -3.944600407451776E-8 5.038120412159734 5.038386102789878 -0.01693454201390095 1.7405260257017776E-4 0.6751765224356522 -1384.6002257857272
6.309573444801931E-6 0.0 -5.4526013420811046E-8 5.036220417430443 5.0364864768408175 -0.018601875990540428 1.7429201069215218E-4 0.6760805689144023 -1003.966425476824
7.943282347242812E-6 0.0 -7.537104309953845E-8 5.034134224317814 5.034400692247012 -0.02043426658456358 1.745572166707953E-4 0.6770791375728654 -728.1455268937545
1.0E-5 0.0 -1.0418503663978608E-7 5.031843585505194 5.032110505973921 -0.022448239083722597 1.7485100040785703E-4 0.6781817724820877 -528.2408162823363
1.25892541179417E-5 0.0 -1.4401449652247441E-7 5.029328465452979 5.029595887225466 -0.02466201078622349 1.7517644135660697E-4 0.6793989061871989 -383.32933836207945
1.58489319246111E-5 0.0 -1.990705912298987E-7 5.026566865154373 5.026834842249536 -0.027095671449756595 1.7553695079973236E-4 0.6807419256354102 -278.26022457761445
1.99526231496888E-5 0.0 -2.751744025872936E-7 5.023534629717323 5.023803221974985 -0.029771384239141087 1.759363076105189E-4 0.6822232390859163 -202.06121229462718
2.51188643150958E-5 0.0 -3.803723894544611E-7 5.020205237089749 5.020474510797886 -0.032713609678674 1.7637869784741317E-4 0.6838563430578896 -146.78529295632347
3.16227766016838E-5 0.0 -5.257871408172462E-7 5.016549566079954 5.016819594669518 -0.035949355426885383 1.768687586785948E-4 0.6856558876396555 -106.67587886128707
3.98107170553497E-5 0.0 -7.267933684980273E-7 5.012535641643497 5.012806506458134 -0.03950845506104847 1.7741162690109935E-4 0.6876377392115695 -77.56248858304681
5.01187233627272E-5 0.0 -1.0046434773145397E-6 5.008128355208124 5.008400146356814 -0.04342387941943716 1.7801299289826829E-4 0.6898190371662521 -56.4232707149269
6.309573444801932E-5 0.0 -1.3887145843691159E-6 5.003289157591141 5.003561974892731 -0.04773208452468311 1.7867916020467486E-4 0.6922182435597651 -41.068282675677374
