# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
5.323478712764585 1.0 0.0 -0.0017068456130092439  -1.0129002832709488E-4 -1.0129002832709488E-4 -1.0129002832709488E-4 0.0 0.0 0.0 293.00000030349634 6.415040141314086E-4 15.382098849319288 3.3605772064635917E-4 1.0129002832709488E-4 0.7891148100962293 3.2384929205382506E-6 5.323478712764585 293.00000030349634
5.323478712764585 1.0 0.0 -0.0017068456130092439  0.0 0.0 0.0 0.0 0.0 0.0 293.00000030349634 6.415040141314086E-4 15.382098849319288 3.3605772064635917E-4 1.0129002832709488E-4 0.7891148100962293 3.2384929205382506E-6 5.323478712764585 293.00000030349634
5.333062886117368 0.998202876366275 0.007057183442076553 -0.0010769229444132801  -0.14811437909247288 -0.14811437909247288 -0.14811437909247288 0.0 0.0 0.0 293.4161847151217 6.413548252171304E-4 15.404103618559525 3.3601937419404197E-4 0.14811437909247288 0.7891191052609984 3.2277042990483356E-6 5.333062886117368 293.4161847151217
5.342647059479397 0.9964122004501866 0.014106720063849443 -4.4708438817166413E-4  -0.29612923588407286 -0.29612923588407286 -0.29612923588407286 0.0 0.0 0.0 293.8322137773927 6.412044984838335E-4 15.426030288620742 3.359810277416878E-4 0.29612923588407286 0.7891237091253928 3.216986076112001E-6 5.342647059479397 293.8322137773927
5.352231232850621 0.9946279376142121 0.021148615941273114 1.8267024371187044E-4  -0.44414586000801237 -0.44414586000801237 -0.44414586000801237 0.0 0.0 0.0 294.2480879967281 6.410530397219876E-4 15.447879304403717 3.359426812892968E-4 0.44414586000801237 0.7891286201418486 3.206337565168554E-6 5.352231232850621 294.2480879967281
5.361815406230995 0.9928500534684841 0.0281828772638142 8.123411384395584E-4  -0.5921642510710503 -0.5921642510710503 -0.5921642510710503 0.0 0.0 0.0 294.66380787741303 6.409004546816723E-4 15.469651107459748 3.359043348368692E-4 0.5921642510710503 0.7891338367739169 3.1957580885530557E-6 5.361815406230995 294.66380787741303
5.371399579620466 0.9910785138685835 0.03520951033227427 0.0014419284824237271  -0.7401844086816608 -0.7401844086816608 -0.7401844086816608 0.0 0.0 0.0 295.0793739216121 6.407467490729338E-4 15.49134613602215 3.358659883844052E-4 0.7401844086816608 0.7891393574961658 3.185246977352722E-6 5.371399579620466 295.0793739216121
5.380983753018987 0.9893132849133508 0.042228521556662416 0.0020714324612922178  -0.8882063324501781 -0.8882063324501781 -0.8882063324501781 0.0 0.0 0.0 295.4947866293825 6.405919285661384E-4 15.512964825037203 3.3582764193190506E-4 0.8882063324501781 0.7891451807940809 3.1748035712661107E-6 5.380983753018987 295.4947866293825
5.39056792642651 0.9875543329427259 0.04923991745409036 0.002700853259892552  -1.0362300219886793 -1.0362300219886793 -1.0362300219886793 0.0 0.0 0.0 295.9100464986864 6.40435998792321E-4 15.53450760619489 3.357892954793688E-4 1.0362300219886793 0.7891513051639697 3.164427218465015E-6 5.39056792642651 295.9100464986864
5.400152099842987 0.9858016245356068 0.05624370464671159 0.003330191062297099  -1.1842554769110727 -1.1842554769110727 -1.1842554769110727 0.0 0.0 0.0 296.3251540254044 6.402789653435318E-4 15.555974907959255 3.3575094902679677E-4 1.1842554769110727 0.7891577291128641 3.1541172754589996E-6 5.400152099842987 296.3251540254044
5.40973627326837 0.9840551265077342 0.06323988985968582 0.003959446051807248  -1.3322826968330121 -1.3322826968330121 -1.3322826968330121 0.0 0.0 0.0 296.7401097033472 6.401208337731785E-4 15.57736715559839 3.357126025741891E-4 1.3322826968330121 0.7891644511584273 3.143873106962544E-6 5.40973627326837 296.7401097033472
5.4193204467026135 0.9823148059095964 0.07022847991918225 0.0045886184109582475  -1.4803116813719253 -1.4803116813719253 -1.4803116813719253 0.0 0.0 0.0 297.1549140242686 6.399616095963641E-4 15.59868477121412 3.35674256121546E-4 1.4803116813719253 0.7891714698288581 3.133694085764696E-6 5.4193204467026135 297.1549140242686
5.428904620145668 0.9805806300243576 0.07720948175041234 0.005217708321523642  -1.628342430146986 -1.628342430146986 -1.628342430146986 0.0 0.0 0.0 297.5695674778779 6.398012982902223E-4 15.619928173771376 3.356359096688676E-4 1.628342430146986 0.7891787836627991 3.1235795926012203E-6 5.428904620145668 297.5695674778779
5.438488793597487 0.9788525663658076 0.08418290237569635 0.005846715964519767  -1.776374942779117 -1.776374942779117 -1.776374942779117 0.0 0.0 0.0 297.9840705518521 6.396399052942488E-4 15.641097779127174 3.3559756321615414E-4 1.776374942779117 0.7891863912092436 3.113529016029157E-6 5.438488793597487 297.9840705518521
5.448072967058026 0.9771305826763325 0.09114853624890212 0.006478054157519845  -1.9244170737821231 -1.9244170737821231 -1.9244170737821231 0.0 0.0 0.0 298.3955723478763 6.396791131583527E-4 15.660282068221914 3.4938165579475607E-4 1.9244170737821231 0.7837665698732755 3.209551424676684E-6 5.448072967058026 298.3955723478763
5.45765714052724 0.9754146469249088 0.09810637685441499 0.007111640600804843  -2.072469305669432 -2.072469305669432 -2.072469305669432 0.0 0.0 0.0 298.8069231399853 6.398566636474284E-4 15.681173591817872 3.493647533114812E-4 2.072469305669432 0.7837808322346648 3.199550097382678E-6 5.45765714052724 298.8069231399853
5.46724131400508 0.9737047273051168 0.10505662985928485 0.0077451612060993975  -2.2205234371932128 -2.2205234371932128 -2.2205234371932128 0.0 0.0 0.0 299.2181252758725 6.400321058428486E-4 15.701993296133201 3.493478508281911E-4 2.2205234371932128 0.7837951789216199 3.1896103565007547E-6 5.46724131400508 299.2181252758725
5.476825487491504 0.9720007922331747 0.11199930295385775 0.008378616114258667  -2.3685794677747958 -2.3685794677747958 -2.3685794677747958 0.0 0.0 0.0 299.6291791371801 6.402054500402513E-4 15.722741564688794 3.493309483448859E-4 2.3685794677747958 0.7838096095109094 3.1797316349651043E-6 5.476825487491504 299.6291791371801
5.486409660986465 0.9703028103459951 0.11893440390976837 0.009012005465577155  -2.5166373968371096 -2.5166373968371096 -2.5166373968371096 0.0 0.0 0.0 300.0400851040194 6.403767064667547E-4 15.743418778282045 3.493140458615656E-4 2.5166373968371096 0.7838241235822621 3.1699133726500785E-6 5.486409660986465 300.0400851040194
5.495993834489919 0.9686107504992597 0.1258619405783085 0.009645329399792206  -2.6646972238047533 -2.6646972238047533 -2.6646972238047533 0.0 0.0 0.0 300.45084355498 6.405458852815329E-4 15.764025315010972 3.4929714337823034E-4 2.6646972238047533 0.7838387207183429 3.160155016264346E-6 5.495993834489919 300.45084355498
5.505578008001822 0.966924581765516 0.1327819208888146 0.010278588056086951  -2.8127589481039266 -2.8127589481039266 -2.8127589481039266 0.0 0.0 0.0 300.8614548671382 6.407129965763882E-4 15.784561550298113 3.492802408948802E-4 2.8127589481039266 0.7838534005047263 3.1504560192469723E-6 5.505578008001822 300.8614548671382
5.51516218152213 0.9652442734322924 0.1396943528470872 0.010911781573093705  -2.960822569162472 -2.960822569162472 -2.960822569162472 0.0 0.0 0.0 301.271919416066 6.408780503763152E-4 15.805027856914121 3.492633384115152E-4 2.960822569162472 0.7838681625298709 3.140815841665396E-6 5.51516218152213 301.271919416066
5.524746355050798 0.9635697950002335 0.1465992445338308 0.011544910088896885  -3.1088880864098334 -3.1088880864098334 -3.1088880864098334 0.0 0.0 0.0 301.6822375758394 6.410410566400606E-4 15.82542460500115 3.492464359281355E-4 3.1088880864098334 0.7838830063850952 3.131233950115253E-6 5.524746355050798 301.6822375758394
5.534330528587784 0.9619011161812551 0.1534966041031229 0.012177973741036416  -3.2569554992770877 -3.2569554992770877 -3.2569554992770877 0.0 0.0 0.0 302.09240971904745 6.412020252606771E-4 15.84575216209597 3.492295334447411E-4 3.2569554992770877 0.7838979316645519 3.1217098176220123E-6 5.534330528587784 302.09240971904745
5.543914702133045 0.9602382068967175 0.16038643978090425 0.012810972666510625  -3.4050248071969116 -3.4050248071969116 -3.4050248071969116 0.0 0.0 0.0 302.50243621680045 6.413609660660713E-4 15.866010893152865 3.492126309613321E-4 3.4050248071969116 0.7839129379652048 3.112242923544383E-6 5.543914702133045 302.50243621680045
5.553498875686538 0.9585810372756189 0.16726875986349374 0.013443907001779274  -3.553096009603562 -3.553096009603562 -3.553096009603562 0.0 0.0 0.0 302.91231743873834 6.415178888195464E-4 15.886201160566248 3.4919572847790864E-4 3.553096009603562 0.7839280248868022 3.1028327534794633E-6 5.553498875686538 302.91231743873834
5.5630830492482195 0.9569295776528064 0.17414357271612924 0.014076776882766763  -3.701169105932897 -3.701169105932897 -3.701169105932897 0.0 0.0 0.0 303.3220537530393 6.416728032203392E-4 15.906323324193082 3.491788259944707E-4 3.701169105932897 0.7839431920318559 3.093478799169582E-6 5.5630830492482195 303.3220537530393
5.572667222818048 0.9552837985672056 0.1810108867715295 0.014709582444865086  -3.849244095622357 -3.849244095622357 -3.849244095622357 0.0 0.0 0.0 303.73164552642805 6.418257189041521E-4 15.92637774137504 3.491619235110184E-4 3.849244095622357 0.7839584390056147 3.084180558410807E-6 5.572667222818048 303.73164552642805
5.582251396395982 0.953643670760069 0.18787071052848184 0.01534232382293698  -3.9973209781109964 -3.9973209781109964 -3.9973209781109964 0.0 0.0 0.0 304.141093124184 6.419766454436793E-4 15.946364766960434 3.4914502102755175E-4 3.9973209781109964 0.7839737654160428 3.0749375349630887E-6 5.582251396395982 304.141093124184
5.59183556998198 0.952009165173242 0.19492903287054342 0.01626456985080133  -4.150706722988538 -4.150706722988538 -4.150706722988538 0.0 0.0 0.0 304.5503969101495 6.421310143222465E-4 17.943133936613687 3.4912818053201196E-4 4.150706722988538 0.7839884069488225 2.727984224575081E-6 5.59183556998198 304.5503969101495
5.601419743576 0.9503802529474474 0.20218530385766162 0.01793058621809542  -4.317726725487599 -4.317726725487599 -4.317726725487599 0.0 0.0 0.0 304.95955613773504 6.422973395438006E-4 17.96563452022332 3.491114992690368E-4 4.317726725487599 0.78400116950154 2.719820146233074E-6 5.601419743576 304.95955613773504
5.611003917178001 0.9487569054205857 0.20943369981102344 0.01959653848896119  -4.4847486133813685 -4.4847486133813685 -4.4847486133813685 0.0 0.0 0.0 305.3685708569838 6.424617024938565E-4 17.98805966556551 3.490948180060477E-4 4.4847486133813685 0.7840140176515337 2.711704354311095E-6 5.611003917178001 305.3685708569838
5.620588090787941 0.9471390941260552 0.2166742296521422 0.02126242679717929  -4.651772386110458 -4.651772386110458 -4.651772386110458 0.0 0.0 0.0 305.77744143043884 6.426241125172707E-4 18.01040976566744 3.4907813674304485E-4 4.651772386110458 0.7840269509794143 2.7036364217215363E-6 5.620588090787941 305.77744143043884
5.630172264405783 0.9455267907910866 0.22390690236896857 0.022928251276012026  -4.81879804311713 -4.81879804311713 -4.81879804311713 0.0 0.0 0.0 306.18616821922467 6.42784578898242E-4 18.032685210833517 3.490614554800282E-4 4.81879804311713 0.7840399690686529 2.6956159263984384E-6 5.630172264405783 306.18616821922467
5.639756438031483 0.9439199673350978 0.23113172701447907 0.024594012058204506  -4.985825583845115 -4.985825583845115 -4.985825583845115 0.0 0.0 0.0 306.5947515830551 6.429431108608083E-4 18.05488638866881 3.49044774216998E-4 4.985825583845115 0.7840530715055546 2.6876424512239126E-6 5.639756438031483 306.5947515830551
5.649340611665004 0.942318595868062 0.23834871270529953 0.026259709275988533  -5.152855007739709 -5.152855007739709 -5.152855007739709 0.0 0.0 0.0 307.0031918802412 6.430997175693411E-4 18.077013684102386 3.4902809295395403E-4 5.152855007739709 0.7840662578792358 2.6797155839558392E-6 5.649340611665004 307.0031918802412
5.6589247853063025 0.9407226486888957 0.24555786862034368 0.02792534306108506  -5.319886314247728 -5.319886314247728 -5.319886314247728 0.0 0.0 0.0 307.41148946769937 6.432544081290331E-4 18.09906747941036 3.490114116908966E-4 5.319886314247728 0.7840795277815998 2.6718349171568344E-6 5.6589247853063025 307.41148946769937
5.668508958955344 0.9391320982838589 0.25275920399947926 0.029590913544707914  -5.4869195028175834 -5.4869195028175834 -5.4869195028175834 0.0 0.0 0.0 307.819644700959 6.434071915863813E-4 18.121048154238675 3.489947304278257E-4 5.4869195028175834 0.7840928808073132 2.664000048124458E-6 5.668508958955344 307.819644700959
5.678093132612085 0.9375469173249774 0.25995272814220416 0.03125642085756498  -5.653954572899119 -5.653954572899119 -5.653954572899119 0.0 0.0 0.0 308.22765793417005 6.435580769296659E-4 18.142956085625755 3.4897804916474135E-4 5.653954572899119 0.7841063165537834 2.656210578822626E-6 5.678093132612085 308.22765793417005
5.68767730627649 0.9359670786684745 0.2671384504063577 0.03292186512986261  -5.820991523943762 -5.820991523943762 -5.820991523943762 0.0 0.0 0.0 308.63552952011116 6.437070730894246E-4 18.164791648024742 3.489613679016437E-4 5.820991523943762 0.7841198346211341 2.6484661158142267E-6 5.68767730627649 308.63552952011116
5.6972614799485175 0.9343925553532237 0.27431638020683946 0.03458724649130712  -5.988030355404393 -5.988030355404393 -5.988030355404393 0.0 0.0 0.0 309.0432598101969 6.438541889389212E-4 18.186555213325715 3.489446866385327E-4 5.988030355404393 0.7841334346121839 2.640766270194885E-6 5.6972614799485175 309.0432598101969
5.706845653628129 0.9328233205992144 0.28148652701435867 0.0362525650711086  -6.155071066735435 -6.155071066735435 -6.155071066735435 0.0 0.0 0.0 309.4508491544857 6.439994332946105E-4 18.20824715087749 3.489280053754086E-4 6.155071066735435 0.7841471161324226 2.633110657527879E-6 5.706845653628129 309.4508491544857
