#rho T p e s c^2 cv gamma alpha
0.0 0.0 0.0 5.02890645 0.0 NaN 1.82805016867945E-4 NaN NaN
5.323E-6 0.0 -1.77358051E-8 5.02890645 0.0 -0.008082379943841804 1.82805016867945E-4 0.6265825869427215 -2662.384052573767
1.0646E-5 0.0 -4.96453669E-8 5.02616133 0.0 -0.011952064107756014 1.8169644588254024E-4 0.6304399056521796 -900.2450703167516
2.6615E-5 0.0 -1.93560248E-7 5.0207812 0.0 -0.017704080093372355 1.8037210304312114E-4 0.6352073835176387 -243.15604472851385
5.323E-5 0.0 -5.41803441E-7 5.01478942 0.0 -0.024812756394378632 1.794937116808944E-4 0.6386178043353816 -86.78782060382558
1.0646E-4 0.0 -1.51658114E-6 5.0064035 0.0 -0.03667559081238884 1.7876029418734024E-4 0.6420048569817474 -29.393127184474288
2.6615E-4 0.0 -5.91282755E-6 4.98996829 0.0 -0.05434546522067435 1.781892226095137E-4 0.6471263851560282 -7.97224724957469
5.323E-4 0.0 -1.65505264E-5 4.97166494 0.0 -0.07623689185781943 1.7842353843435926E-4 0.652887459574535 -2.8705745266872174
0.0010646 0.0 -4.63257928E-5 4.94604875 0.0 -0.11295471699982722 1.8008132806542166E-4 0.6634098715597022 -0.9934814917238503
0.0026615 0.0 -1.80603698E-4 4.89584692 0.0 -0.16938426490795394 1.8829989185555678E-4 0.6972637240933983 -0.2912377099809238
0.005323 0.0 -5.05491512E-4 4.83994233 0.0 -0.2271844909671133 2.0115107045760668E-4 0.7406501563926249 -0.1231970533419775
0.0079845 0.0 -9.22946851E-4 4.79739266 0.0 -0.28508526363982994 2.088402004334407E-4 0.763833403048495 -0.07007938047594886
0.0133075 0.0 -0.00197047062 4.73039122 0.0 -0.36621684851220854 2.1870524823672984E-4 0.7909737801163204 -0.035496578728034106
0.021292 0.0 -0.00395937469 4.65223151 0.0 -0.4585313579490977 2.2810021671973232E-4 0.8144068005476365 -0.01902749385861244
0.031938 0.0 -0.00722862869 4.56891477 0.0 -0.5739793046144844 2.366583626673332E-4 0.8339168083313745 -0.010765659326767658
0.05323 0.0 -0.0154310794 4.43773197 0.0 -0.7274954990736638 2.4857020986915183E-4 0.8584402731860182 -0.005510263740086894
0.079845 0.0 -0.0281700421 4.3078518 0.0 -0.9103966132140402 2.59665432987072E-4 0.8787799391352359 -0.003139177805694877
0.133075 0.0 -0.0601269419 4.10337741 0.0 -1.1695232373607158 2.77591455296708E-4 0.907148685567481 -0.00161800268971367
0.21292 0.0 -0.120781079 3.86491589 0.0 -1.4680091383191094 3.013202928086126E-4 0.9375802126333447 -9.038400831255205E-4
0.31938 0.0 -0.220444357 3.61079559 0.0 -1.8399828598886585 3.29311692955964E-4 0.9650758662479151 -5.408129879839213E-4
0.5323 0.0 -0.470383155 3.2108283 0.0 -2.2537871851126265 3.568888525056322E-4 0.9808303076572789 -2.9178132264325404E-4
0.665375 0.0 -0.654964371 3.00260984 0.0 -2.495888632120186 3.677324566883673E-4 0.982803175406572 -2.1762402176978324E-4
0.79845 0.0 -0.858364538 2.81499497 0.0 -2.772418403947473 3.7704938883311747E-4 0.9826460219304399 -1.6737432676043024E-4
1.0646 0.0 -1.31508753 2.48320336 0.0 -3.0734459823710076 3.0823436752737014E-4 0.9205827636675834 -8.672251275333366E-5
1.33075 0.0 -1.83042345 2.19218475 0.0 -3.3727738520086956 3.000514440083232E-4 0.9050175813474042 -6.0501903724126575E-5
1.5969 0.0 -2.39677413 1.93011978 0.0 -3.6966930194654353 2.9230006419729576E-4 0.8904476922004972 -4.409062093510297E-5
2.1292 0.0 -3.65312316 1.46781855 0.0 -4.024809248720153 2.777944738622215E-4 0.8647895606057128 -2.8033174515988622E-5
2.6615 0.0 -5.00573343 1.06618585 0.0 -4.026199298844027 2.6457786184224703E-4 0.8432933540916452 -2.0821424608394126E-5
3.1938 0.0 -6.30461897 0.713661761 0.0 -3.4120600400546266 2.525329599262377E-4 0.8256693387334826 -1.913373899023244E-5
3.7261 0.0 -7.2532701 0.409434874 0.0 -1.6741694805759109 2.4147132276591246E-4 0.8119457459021002 -3.142958488805479E-5
4.2584 0.0 -7.3031074 0.161740907 0.0 1.9929063830184932 2.3123419604734232E-4 0.802143451779723 2.1856003487981953E-5
4.7907 0.0 -5.51001586 -0.0117104133 0.0 6.7341285233353405 2.2168780053167432E-4 0.7962761332700466 5.47173576810898E-6
5.05685 0.0 -3.47397788 -0.0621314599 0.0 11.204522230580306 2.171375009586509E-4 0.794820982075412 3.0460059296778766E-6
5.323 0.0 -0.346568472 -0.0823048907 0.0 15.279380173787755 2.1271874431810835E-4 0.7943526234200997 2.0775758662932116E-6
5.58915 0.0 3.73380344 -0.0679145964 0.0 17.83871607733201 2.0842083714998468E-4 0.7943751196846752 1.6605708531116286E-6
5.764809 0.0 6.77411605 -0.0394846103 0.0 14.991683219993766 2.0564725079600342E-4 0.7943871410879341 1.8902523815091389E-6
5.8553 0.0 8.04625791 -0.0196103871 0.0 13.619864919210901 2.041382387536246E-4 0.9071666050356082 2.322145704190852E-6
6.3876 0.0 14.6325396 0.142057078 0.0 13.509575610237018 1.9157478468054308E-4 1.5495450405580997 3.4400371442822925E-6
6.9199 0.0 19.9342051 0.350545396 0.0 14.41164176291266 1.7342348414671452E-4 2.1038242370235927 3.65850863656679E-6
7.4522 0.0 24.3795171 0.578755154 0.0 15.281513965756819 1.511842651994639E-4 2.3217356661922146 3.08225440514987E-6
7.82481 0.0 27.2434223 0.743715788 0.0 14.74410272721678 1.3615843720513374E-4 2.2410920877937186 2.644917385639616E-6
8.19742 0.0 29.8298406 0.909425771 0.0 30.29995540152848 1.2219227650508237E-4 2.167509746630401 1.0663152952442402E-6
8.5168 0.0 36.9879571 1.06138924 0.0 36.85822852507134 1.1110003145236617E-4 2.1093395477721133 7.465343059927274E-7
8.72972 0.0 42.8853071 1.17543487 0.0 39.23634546038733 1.041610016501723E-4 2.0728011527391503 6.303386324960871E-7
9.5814 0.0 67.6296579 1.76259496 0.0 41.11449489057041 7.997821600451534E-5 1.9418483269381073 3.9424217972575125E-7
10.646 0.0 96.8083116 2.61269365 0.0 62.53343645624537 5.709137128011056E-5 1.805107888207276 1.548013989730176E-7
13.3075 0.0 219.553691 5.38261629 0.0 102.09480184050254 2.525833595436816E-5 1.5452880520805612 2.872857448086757E-8
15.969 0.0 423.424267 9.24106669 0.0 146.83016396568297 1.24779553376417E-5 1.3501887230473566 7.185299885437542E-9
