#Dewaele et al, PRB 85, 214105 (2012)
#Mr(KCl)=74.5498
#=> rho(g/cc)=1.6605655e-27*74.5498*1e30*1e-3/v(A^3/fu)=123.795/v

#transcribed
#B1 KCl, 298 K
#P(GPa)	Vol(angstrom3/fu)
0.72	60.263
1.32	58.57
2.0	57.001
2.5	55.856

0.20	61.698
0.29	61.412
0.44	60.857
0.57	60.513
0.85	59.785
1.2	58.991
1.4	58.38
1.5	58.127
1.7	57.742
1.8	57.337
2.1	56.742
2.4	56.271

0.16	61.704
0.27	61.332
0.37	61.038
0.64	60.193
0.9	59.513
1.34	58.428
1.64	57.762
2.24	56.489
2.56	56.075

1.0	58.889
1.08	58.861
2.12	56.585
2.3	56.293
2.40	56.063


#emailed from Agnes Dewaele, 6/12/23
#B2 KCl, 298K
#P(GPa)	Vol(angstrom3/fu)
3.1394773	48.145454
3.8054276	47.360413
4.7540812	46.266903
5.5375791	45.423363
7.0280004	44.092587
8.8516064	42.725784
10.10757	41.832256
11.932936	40.789997
13.474963	39.906269
15.933439	38.748749
18.405676	37.773674
20.679268	36.865875
22.881653	36.083431
25.915134	35.21389
28.362761	34.555363
31.196974	33.875469
34.312534	33.133911
36.98645	32.60508
	
22.888454	36.216484
28.661861	34.701687
36.39838	32.848949
41.802315	31.757624
48.225464	30.642569
53.955677	29.826754
58.769062	29.235796
65.257004	28.434801
70.537628	27.86051
74.745506	27.433222
79.790329	27.026955
86.856255	26.408777
92.441383	25.998236
98.009094	25.719362
103.62668	25.200632
110.80293	24.737194
117.94399	24.360729
124.99085	23.880644
131.78862	23.553331
137.8607	23.250515
144.68402	23.002813
152.18961	22.716734
157.2029	22.452026
161.64487	22.252373
165.65854	22.065029
	
2.99156	48.059612
2.99156	48.059612
3.3010099	47.78265
3.6691799	47.330395
5.5732298	45.208187
5.5732298	45.207706
5.9811502	44.806496
5.9811502	44.798737
6.2929602	44.504757
8.3212404	42.956264
9.2401199	42.279491
9.8809795	41.801071
11.23554	41.016148
13.74513	39.565632
14.70038	39.17778
	38.345592
23.855761	35.812672
27.322321	34.720959
27.322321	34.706692
32.937759	33.333244
32.937759	33.334846
37.030788	32.441917
37.030788	32.405209
41.583248	31.539024
41.583248	31.538824
46.838909	30.701488
51.643822	29.993988
56.537811	29.3388
62.397411	28.619482
67.086212	28.075893
71.024918	27.663073
75.188492	27.213455
75.47123	27.185509
78.778168	26.91073
82.742142	26.56509
87.643829	26.187092
91.943108	25.866058
96.433533	25.538416
99.792213	25.293089
105.38799	24.962885
105.29884	24.958784
106.4269	24.834475
108.97105	24.689581
109.38032	24.6639
	
2.5559399	48.991337
3.3895199	47.810013
5.6558599	45.23484
5.6558599	45.24741
6.45046	44.501209
7.8599401	43.316036
9.1715899	42.343605
10.75417	41.287113
12.28891	40.419998
14.1841	39.415771
15.57168	38.764526
17.539909	37.788452
19.76478	37.01582
22.448891	36.241028
26.110161	34.916191
28.50029	34.31366
31.51161	33.629765
33.964931	33.089867
37.060032	32.370464
41.067822	31.638952
45.103149	31.001261
45.351372	30.979561
49.382252	30.246122
53.411961	29.666245
	
2.7846401	48.655907
3.3148401	47.964302
3.8965499	47.158569
4.5915298	46.353394
5.52983	45.369038
7.57096	43.553646
7.93083	43.214359
8.3027697	42.967678
9.6633101	42.018974
11.20957	41.018291
12.13518	40.480446
12.30922	40.42141
13.8972	39.583488
14.12551	39.471741
15.85211	38.660759
17.769381	37.855209
19.545139	37.161064
20.455299	36.843929
