#⍴0	us	up	⍴	sigma	p	e
#g/cc	km/s	km/s	g/cc	-	GPa	MJ/kg
1.99	3/67	0.280	2.15	1.08	2.05	0.04
1.99	3.63	0.580	2.37	1.19	4.19	0.17
1.99	3.61	0.98	2.73	1.37	7.04	0.48
1.99	4.40	1.51	3.02	1.52	13.22	1.14
1.99	5.21	1.91	3.14	1.58	19.80	1.82
1.99	5.62	2.17	3.24	1.63	24.27	2.35
1.99	5.69	2.20	3.24	1.63	24.91	2.42
1.99	7.50	3.40	3.64	1.83	50.75	5.78
1.99	8.56	4.22	3.92	1.97	71.89	8.90
1.99	9.79	5.35	4.40	2.21	103.9	14.31
1.99	9.96	5.74	4.70	2.36	113.8	16.47
1.99	10.93	6.10	4.50	2.26	132.7	18.60
1.99	10.76	6.16	4.66	2.34	131.9	18.97
1.99	11.43	6.71	4.82	2.42	152.6	22.51
1.99	11.29	7.10	5.35	2.69	159.5	25.20
1.99	12.63	8.02	5.45	2.74	201.6	32.16
1.99	16.69	11.38	6.25	3.14	378.0	64.75
