#p_ruby(GPa) dp(GPa) v(A^3) dv(A^3)
# He medium
0.0001 0.0 74.698 0.003
8.5 0.1 71.184 0.037
12.2 0.2 69.812 0.036
15.3 0.2 68.759 0.033
18.2 0.1 67.911 0.032
23.4 0.1 66.483 0.031
28.1 0.1 65.279 0.033
29.9 0.1 64.813 0.032
34.5 0.1 63.631 0.037
37.6 0.1 62.882 0.036
40.4 0.1 62.287 0.036
42.9 0.1 61.744 0.030
46.9 0.1 61.029 0.030
49.7 0.1 60.426 0.029
53.0 0.1 59.931 0.029
56.1 0.1 59.430 0.029
59.5 0.1 58.867 0.028
62.8 0.1 58.335 0.028
65.6 0.2 57.918 0.028
68.3 0.2 57.480 0.027
6.5 0.1 71.876 0.007
8.4 0.1 71.169 0.007
11.5 0.1 70.070 0.006
13.3 0.1 69.472 0.006
18.6 0.2 67.798 0.006
22.6 0.2 66.655 0.007
27.4 0.1 65.404 0.006
4.3 0.1 72.788 0.007
7.9 0.1 71.229 0.007
11.6 0.1 69.907 0.006
17.8 0.1 67.977 0.007
23.9 0.1 66.270 0.006
30.6 0.1 64.535 0.006
36.5 0.1 63.176 0.006
40.1 0.1 62.412 0.005
43.7 0.1 61.548 0.005
46.8 0.1 61.031 0.005
51.0 0.1 60.252 0.005
55.3 0.3 59.593 0.005
58.4 0.3 59.084 0.005
62.9 0.1 58.339 0.007
66.5 0.1 57.744 0.005
69.6 0.2 57.271 0.005
74.6 0.4 56.471 0.005
80.0 1.3 55.834 0.005
85.0 0.1 55.110 0.005
89.0 2.0 54.628 0.005
96.2 2.0 53.719 0.004
102.4 2.0 53.361 0.004
106.3 2.0 52.639 0.004
111.0 2.0 52.239 0.004


# KCl medium
3.6 0.1 73.100 0.007
7.4 0.1 71.791 0.007
10.6 0.1 70.606 0.006
13.5 0.1 69.620 0.006
16.2 0.1 68.695 0.007
18.9 0.1 67.858 0.007
22.8 0.1 66.847 0.007
26.9 0.1 65.785 0.006
31.1 0.1 64.735 0.006
36.6 0.6 63.546 0.006
41.4 0.4 62.573 0.007
49.1 0.1 61.258 0.007
52.2 0.2 60.709 0.006
53.5 0.4 60.493 0.006
55.9 0.8 60.062 0.006
58.1 0.1 59.617 0.007
61.1 0.1 59.257 0.007
63.5 0.2 58.830 0.007
65.9 0.1 58.485 0.007
68.7 0.2 58.247 0.006
71.2 0.2 57.737 0.006
73.9 0.3 57.336 0.006
76.2 0.3 57.116 0.006
80.1 0.1 56.609 0.006
83.5 0.3 56.107 0.006
86.6 0.1 55.792 0.006
