#DAC data
#v0=74.53 +/- 0.02 A^3/mol
#p/GPa v/A^3/mol dv/A^3/mol

#methanol-ethanol
0.8 74.443 0.022
1.3 74.032 0.020
3.1 73.267 0.013
4.5 72.649 0.019
5.7 72.165 0.018
6.6 71.729 0.028
7.6 71.336 0.012
8.3 71.153 0.015
9.5 70.727 0.018
10.0 70.699 0.019

 
# He
5.7 72.188 0.043
8.7 71.212 0.022
10.6 70.459 0.015
12.5 69.849 0.007
16.0 68.719 0.012
18.1 67.937 0.016
20.1 67.479 0.012
21.9 67.038 0.098
24.0 66.398 0.019
26.4 65.851 0.017
29.1 65.133 0.019
31.2 64.626 0.030
33.2 64.200 0.002
35.2 63.780 0.015
37.1 63.353 0.012
39.4 62.884 0.009
41.7 62.393 0.011
43.3 61.985 0.026
46.8 61.349 0.009
48.3 61.053 0.021
50.4 60.625 0.013
52.2 60.301 0.016
