Ariadne V0.5
WXMaths V0.8
WXCloud V0.5
# Isentrope
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
3.583788536979039 1.0 0.0 0.002305234690287161  -1.0129058686784001E-4 -1.0129058686784001E-4 -1.0129058686784001E-4 0.0 0.0 0.0 293.0000002336478 4.5054789047775E-4 37.44445028948769 6.678123255446286E-4 1.0129058686784001E-4 0.9934161500051136 4.943742149724708E-6 3.583788536979039 0.002305234690287161
3.583788536979039 1.0 0.0 0.002305234690287161  0.0 0.0 0.0 0.0 0.0 0.0 293.0000002336478 4.5054789047775E-4 37.44445028948769 6.678123255446286E-4 1.0129058686784001E-4 0.9934161500051136 4.943742149724708E-6 3.583788536979039 0.002305234690287161
3.5870142688004742 0.9991007195456422 0.005981323456833894 0.0023247646753338643  -0.15808674402860956 -0.15808674402860956 -0.15808674402860956 0.0 0.0 0.0 291.03063690557184 4.448466171992849E-4 51.51358900993626 7.407281426167449E-4 0.15808674402860956 0.9947291024671095 3.987574006661922E-6 3.5870142688004742 0.0023247646753338643
3.5902400006223005 0.9982030550486477 0.012434231128618129 0.002384446337620371  -0.3185944476848433 -0.3185944476848433 -0.3185944476848433 0.0 0.0 0.0 288.94154067625794 4.385677168054523E-4 51.5584992447421 7.399244466244923E-4 0.3185944476848433 0.9946316521901288 3.975812577292809E-6 3.5902400006223005 0.002384446337620371
3.5934657324445154 0.997307002157248 0.018884150190685914 0.002484169316234666  -0.47923639475624685 -0.47923639475624685 -0.47923639475624685 0.0 0.0 0.0 286.9020754707907 4.3243467553925874E-4 51.60334685213039 7.391207506321429E-4 0.47923639475624685 0.99453610702646 3.964099735806542E-6 3.5934657324445154 0.002484169316234666
3.596691464267119 0.9964125565352855 0.025331080887347496 0.002623823363869577  -0.6400125069089899 -0.6400125069089899 -0.6400125069089899 0.0 0.0 0.0 284.91225404447215 4.2644709150491594E-4 51.648132189490404 7.383170546396966E-4 0.6400125069089899 0.9944424674952688 3.9524352003605585E-6 3.596691464267119 0.002623823363869577
3.59991719609011 0.9955197138621443 0.03177502349118266 0.0028032986135402946  -0.800922707278991 -0.800922707278991 -0.800922707278991 0.0 0.0 0.0 282.9720897238868 4.2060456419184525E-4 51.69285561372453 7.375133586471538E-4 0.800922707278991 0.9943507341384423 3.940818691185814E-6 3.59991719609011 0.0028032986135402946
3.603142927913487 0.9946284698326815 0.03821597830284722 0.003022485577287309  -0.9619669204733445 -0.9619669204733445 -0.9619669204733445 0.0 0.0 0.0 281.08159640825727 4.149066944699484E-4 51.737517481254855 7.367096626545148E-4 0.9619669204733445 0.9942609075206265 3.929249930568005E-6 3.603142927913487 0.003022485577287309
3.60636865973725 0.9937388201571561 0.04465394565088644 0.003281275144885673  -1.1231450725719228 -1.1231450725719228 -1.1231450725719228 0.0 0.0 0.0 279.2407885708148 4.093530845848918E-4 51.782118148029326 7.359059666617796E-4 1.1231450725719228 0.9941729882292533 3.91772864282898E-6 3.60636865973725 0.003281275144885673
3.6095943915613966 0.9928507605611625 0.05108892589153697 0.0035795585825593944  -1.2844570911286814 -1.2844570911286814 -1.2844570911286814 0.0 0.0 0.0 277.44968126019177 4.039433381534285E-4 51.82665796952815 7.351022706689489E-4 1.2844570911286814 0.9940869768745787 3.906254554308387E-6 3.6095943915613966 0.0035795585825593944
3.612820123385926 0.99196428678556 0.05752091940854537 0.0039172275317025  -1.4459029051733834 -1.4459029051733834 -1.4459029051733834 0.0 0.0 0.0 275.7082901018259 3.986770601587243E-4 51.87113730077018 7.342985746760228E-4 1.4459029051733834 0.994002874089715 3.894827393345467E-6 3.612820123385926 0.0039172275317025
3.6160458552108383 0.9910793945864057 0.06394992661298038 0.004294174007605319  -1.6074824452131569 -1.6074824452131569 -1.6074824452131569 0.0 0.0 0.0 274.01663129938447 3.935538569457135E-4 51.915556496319276 7.334948786830013E-4 1.6074824452131569 0.9939206805306666 3.883446890261071E-6 3.6160458552108383 0.004294174007605319
3.619271587036131 0.9901960797348868 0.07037594794304149 0.0047102903981864185  -1.7691956432339657 -1.7691956432339657 -1.7691956432339657 0.0 0.0 0.0 272.37472163620674 3.885733362164804E-4 51.95991591029063 7.326911826898849E-4 1.7691956432339657 0.9938403968763656 3.872112777339879E-6 3.619271587036131 0.0047102903981864185
