#           USTAR            CLAG         DENSITY          STRESS
  0.00000000e+00  9.12400000e+03  3.58000000e+03  0.00000000e+00
  3.00816950e+01  9.11381444e+03  3.59184889e+03  9.82037625e+08
  3.06332557e+01  9.10651933e+03  3.59206709e+03  1.00002644e+09
  3.11848163e+01  9.09775491e+03  3.59228550e+03  1.01799941e+09
  3.17363770e+01  9.08504917e+03  3.59250420e+03  1.03595117e+09
  3.22879377e+01  9.05258888e+03  3.59272347e+03  1.05385835e+09
  3.28394983e+01  9.05469934e+03  3.59294314e+03  1.07173556e+09
  3.33910590e+01  9.05785577e+03  3.59316277e+03  1.08961797e+09
  3.39426196e+01  9.05074862e+03  3.59338247e+03  1.10749647e+09
  3.44941803e+01  9.04399266e+03  3.59360237e+03  1.12536130e+09
  3.50457410e+01  9.05435136e+03  3.59382225e+03  1.14322968e+09
  3.55973016e+01  9.05041756e+03  3.59404208e+03  1.16110440e+09
  3.61488623e+01  9.05114097e+03  3.59426197e+03  1.17897595e+09
  3.67004230e+01  9.04530692e+03  3.59448196e+03  1.19684246e+09
  3.72519836e+01  9.04130270e+03  3.59470209e+03  1.21469925e+09
  3.78035443e+01  9.05486458e+03  3.59492213e+03  1.23256548e+09
  3.83551050e+01  9.05585714e+03  3.59514202e+03  1.25044608e+09
  3.89066656e+01  9.05865449e+03  3.59536190e+03  1.26833042e+09
  3.94582263e+01  9.06096659e+03  3.59558174e+03  1.28621981e+09
  4.00097870e+01  9.06510020e+03  3.59580152e+03  1.30411556e+09
  4.05613476e+01  9.08652477e+03  3.59602103e+03  1.32203654e+09
  4.11129083e+01  9.09604504e+03  3.59624018e+03  1.33998807e+09
  4.16644689e+01  9.10661739e+03  3.59645913e+03  1.35795945e+09
  4.22160296e+01  9.11562727e+03  3.59667786e+03  1.37595015e+09
  4.27675903e+01  9.12455519e+03  3.59689641e+03  1.39395857e+09
  4.33191509e+01  9.14906286e+03  3.59711458e+03  1.41199999e+09
  4.38707116e+01  9.16157445e+03  3.59733233e+03  1.43007797e+09
  4.44222723e+01  9.17375816e+03  3.59754982e+03  1.44818032e+09
  4.49738329e+01  9.18333738e+03  3.59776708e+03  1.46630417e+09
  4.55253936e+01  9.19196506e+03  3.59798415e+03  1.48444599e+09
  4.60769543e+01  9.19750978e+03  3.59820108e+03  1.50260180e+09
  4.66285149e+01  9.22809485e+03  3.59841761e+03  1.52079328e+09
  4.71800756e+01  9.23987154e+03  3.59863367e+03  1.53902658e+09
  4.77316363e+01  9.25088274e+03  3.59884948e+03  1.55728239e+09
  4.82831969e+01  9.25917666e+03  3.59906510e+03  1.57555725e+09
  4.88347576e+01  9.26636875e+03  3.59928057e+03  1.59384740e+09
  4.93863182e+01  9.29585425e+03  3.59949563e+03  1.61217376e+09
  4.99378789e+01  9.30666630e+03  3.59971026e+03  1.63053991e+09
  5.04894396e+01  9.31613698e+03  3.59992467e+03  1.64892609e+09
  5.10410002e+01  9.32307404e+03  3.60013892e+03  1.66732846e+09
  5.15925609e+01  9.32995802e+03  3.60035304e+03  1.68574448e+09
  5.21441216e+01  9.35491316e+03  3.60056682e+03  1.70419193e+09
  5.26956822e+01  9.36359797e+03  3.60078024e+03  1.72267260e+09
  5.32472429e+01  9.37065251e+03  3.60099351e+03  1.74116881e+09
  5.37988036e+01  9.37552733e+03  3.60120667e+03  1.75967679e+09
  5.43503642e+01  9.37800307e+03  3.60141976e+03  1.77819203e+09
  5.49019249e+01  9.40237924e+03  3.60163258e+03  1.79673378e+09
  5.54534856e+01  9.41003559e+03  3.60184506e+03  1.81530716e+09
  5.60050462e+01  9.41667722e+03  3.60205741e+03  1.83389465e+09
