#           USTAR            CLAG         DENSITY          STRESS
  0.00000000e+00  6.18600000e+03  3.58000000e+03  0.00000000e+00
  2.03666400e+02  6.84274630e+03  3.69584173e+03  4.74979696e+09
  2.09459330e+02  6.84132508e+03  3.69907496e+03  4.89169181e+09
  2.15252260e+02  6.85320364e+03  3.70231137e+03  5.03369510e+09
  2.21045190e+02  6.87626904e+03  3.70554521e+03  5.17606073e+09
  2.26838119e+02  6.88804814e+03  3.70877648e+03  5.31878767e+09
  2.32631049e+02  6.88829682e+03  3.71201056e+03  5.46163934e+09
  2.38423979e+02  6.89985661e+03  3.71524752e+03  5.60461345e+09
  2.44216909e+02  6.91144876e+03  3.71848468e+03  5.74782764e+09
  2.50009839e+02  6.92661384e+03  3.72172121e+03  5.89131927e+09
  2.55802769e+02  6.94236025e+03  3.72495616e+03  6.03513144e+09
  2.61595699e+02  6.95798378e+03  3.72818941e+03  6.17926890e+09
  2.67388628e+02  6.97538938e+03  3.73142059e+03  6.32374884e+09
  2.73181558e+02  6.99376631e+03  3.73464909e+03  6.46859983e+09
  2.78974488e+02  7.01056019e+03  3.73787504e+03  6.61381552e+09
  2.84767418e+02  7.03509256e+03  3.74109706e+03  6.75945973e+09
  2.90560348e+02  7.06831958e+03  3.74431142e+03  6.90570287e+09
  2.96353278e+02  7.09966829e+03  3.74751662e+03  7.05261561e+09
  3.02146208e+02  7.13455180e+03  3.75071236e+03  7.20021514e+09
  3.07939137e+02  7.17551845e+03  3.75389658e+03  7.34860119e+09
  3.13732067e+02  7.21584745e+03  3.75706817e+03  7.49783022e+09
  3.19524997e+02  7.25394306e+03  3.76022790e+03  7.64787246e+09
  3.25317927e+02  7.29421538e+03  3.76337588e+03  7.79872733e+09
  3.31110857e+02  7.33213453e+03  3.76651227e+03  7.95039299e+09
  3.36903787e+02  7.36788655e+03  3.76963812e+03  8.10282257e+09
  3.42696717e+02  7.40270012e+03  3.77275420e+03  8.25598387e+09
  3.48489647e+02  7.42543157e+03  3.77586330e+03  8.40974188e+09
  3.54282576e+02  7.45008584e+03  3.77896760e+03  8.56399124e+09
  3.60075506e+02  7.48527681e+03  3.78206455e+03  8.71886116e+09
  3.65868436e+02  7.52148978e+03  3.78515180e+03  8.87447149e+09
  3.71661366e+02  7.54510976e+03  3.78823180e+03  9.03070225e+09
  3.77454296e+02  7.56852634e+03  3.79130721e+03  9.18742075e+09
  3.83247226e+02  7.59182927e+03  3.79437812e+03  9.34462370e+09
  3.89040156e+02  7.61503263e+03  3.79744459e+03  9.50230889e+09
  3.94833085e+02  7.63518997e+03  3.80050728e+03  9.66044370e+09
  4.00626015e+02  7.66693601e+03  3.80356450e+03  9.81911672e+09
  4.06418945e+02  7.70126819e+03  3.80661348e+03  9.97847492e+09
  4.12211875e+02  7.72437533e+03  3.80965596e+03  1.01384287e+10
  4.18004805e+02  7.74468460e+03  3.81269474e+03  1.02988327e+10
  4.23797735e+02  7.76447671e+03  3.81573050e+03  1.04596526e+10
  4.29590665e+02  7.78363524e+03  3.81876347e+03  1.06208763e+10
  4.35383594e+02  7.80302321e+03  3.82179376e+03  1.07824997e+10
  4.41176524e+02  7.82139286e+03  3.82482151e+03  1.09445147e+10
  4.46969454e+02  7.84382122e+03  3.82784616e+03  1.11069527e+10
  4.52762384e+02  7.86011732e+03  3.83086812e+03  1.12697922e+10
  4.58555314e+02  7.86663101e+03  3.83389046e+03  1.14328683e+10
  4.64348244e+02  7.88276048e+03  3.83691322e+03  1.15961792e+10
  4.70141174e+02  7.90086902e+03  3.83993418e+03  1.17598451e+10
  4.75934103e+02  7.90834830e+03  3.84295499e+03  1.19237763e+10
  4.81727033e+02  7.91783207e+03  3.84597732e+03  1.20878834e+10
  4.87519963e+02  7.92678121e+03  3.84900088e+03  1.22521816e+10
  4.93312893e+02  7.93560864e+03  3.85202580e+03  1.24166642e+10
  4.99105823e+02  7.94218460e+03  3.85505254e+03  1.25813065e+10
  5.04898753e+02  7.94901793e+03  3.85808147e+03  1.27460879e+10
  5.10691683e+02  7.95582815e+03  3.86111257e+03  1.29110107e+10
  5.16484612e+02  7.96268907e+03  3.86414582e+03  1.30760753e+10
  5.22277542e+02  7.96961546e+03  3.86718121e+03  1.32412829e+10
  5.28070472e+02  7.97662558e+03  3.87021872e+03  1.34066349e+10
  5.33863402e+02  7.98371523e+03  3.87325831e+03  1.35721332e+10
  5.39656332e+02  7.99089390e+03  3.87629996e+03  1.37377794e+10
  5.45449262e+02  7.99817601e+03  3.87934363e+03  1.39035756e+10
  5.51242192e+02  8.00556847e+03  3.88238929e+03  1.40695239e+10
  5.57035121e+02  8.01301713e+03  3.88543690e+03  1.42356262e+10
  5.62828051e+02  8.02077412e+03  3.88848641e+03  1.44018861e+10
  5.68620981e+02  8.02669451e+03  3.89153810e+03  1.45682878e+10
  5.74413911e+02  8.03231288e+03  3.89459239e+03  1.47348092e+10
  5.80206841e+02  8.03826427e+03  3.89764927e+03  1.49014505e+10
  5.85999771e+02  8.04397236e+03  3.90070873e+03  1.50682128e+10
  5.91792701e+02  8.05152995e+03  3.90377047e+03  1.52351126e+10
  5.97585630e+02  8.05996865e+03  3.90683398e+03  1.54021783e+10
  6.03378560e+02  8.06867834e+03  3.90989903e+03  1.55694218e+10
  6.09171490e+02  8.07616811e+03  3.91296581e+03  1.57368332e+10
  6.14964420e+02  8.08267787e+03  3.91603475e+03  1.59043899e+10
  6.20757350e+02  8.08961306e+03  3.91910594e+03  1.60720859e+10
  6.26550280e+02  8.09651209e+03  3.92217933e+03  1.62399254e+10
  6.32343210e+02  8.10473369e+03  3.92525466e+03  1.64079217e+10
  6.38136140e+02  8.11444029e+03  3.92833141e+03  1.65761039e+10
  6.43929069e+02  8.12421210e+03  3.93140929e+03  1.67444881e+10
  6.49721999e+02  8.13339916e+03  3.93448840e+03  1.69130689e+10
  6.55514929e+02  8.14087495e+03  3.93756918e+03  1.70818224e+10
  6.61307859e+02  8.14870994e+03  3.94065188e+03  1.72507348e+10
  6.67100789e+02  8.15637201e+03  3.94373648e+03  1.74198078e+10
  6.72893719e+02  8.16445874e+03  3.94682292e+03  1.75890441e+10
  6.78686649e+02  8.17457367e+03  3.94991076e+03  1.77584691e+10
  6.84479578e+02  8.18458644e+03  3.95299962e+03  1.79281029e+10
  6.90272508e+02  8.19470382e+03  3.95608951e+03  1.80979454e+10
  6.96065438e+02  8.20484108e+03  3.95918041e+03  1.82679979e+10
  7.01858368e+02  8.21501265e+03  3.96227231e+03  1.84382611e+10
  7.07651298e+02  8.22521150e+03  3.96536521e+03  1.86087354e+10
  7.13444228e+02  8.23542983e+03  3.96845909e+03  1.87794215e+10
  7.19237158e+02  8.24567141e+03  3.97155395e+03  1.89503197e+10
  7.25030087e+02  8.25592700e+03  3.97464980e+03  1.91214304e+10
  7.30823017e+02  8.26618423e+03  3.97774662e+03  1.92927539e+10
  7.36615947e+02  8.27643570e+03  3.98084442e+03  1.94642900e+10
  7.42408877e+02  8.28665475e+03  3.98394321e+03  1.96360384e+10
  7.48201807e+02  8.29688031e+03  3.98704300e+03  1.98079988e+10
  7.53994737e+02  8.30696143e+03  3.99014382e+03  1.99801698e+10
  7.59787667e+02  8.31752847e+03  3.99324560e+03  2.01525548e+10
  7.65580596e+02  8.32543016e+03  3.99634876e+03  2.03251314e+10
  7.71373526e+02  8.33166842e+03  3.99945411e+03  2.04978546e+10
  7.77166456e+02  8.33819465e+03  4.00256190e+03  2.06707101e+10
  7.82959386e+02  8.34446923e+03  4.00567214e+03  2.08436984e+10
  7.88752316e+02  8.35079824e+03  4.00878486e+03  2.10168174e+10
  7.94545246e+02  8.35654770e+03  4.01190016e+03  2.11900616e+10
  8.00338176e+02  8.36169769e+03  4.01501828e+03  2.13634189e+10
  8.06131105e+02  8.36664487e+03  4.01813936e+03  2.15368808e+10
  8.11924035e+02  8.37117486e+03  4.02126352e+03  2.17104410e+10
  8.17716965e+02  8.37572268e+03  4.02439085e+03  2.18840954e+10
  8.23509895e+02  8.38002338e+03  4.02752139e+03  2.20578415e+10
  8.29302825e+02  8.38483529e+03  4.03065510e+03  2.22316821e+10
  8.35095755e+02  8.39157252e+03  4.03379153e+03  2.24056424e+10
  8.40888685e+02  8.39809298e+03  4.03693036e+03  2.25797403e+10
  8.46681614e+02  8.40461387e+03  4.04007164e+03  2.27539733e+10
  8.52474544e+02  8.41131728e+03  4.04321534e+03  2.29283435e+10
  8.58267474e+02  8.42018477e+03  4.04636101e+03  2.31028751e+10
  8.64060404e+02  8.42900746e+03  4.04950828e+03  2.32775902e+10
  8.69853334e+02  8.43789553e+03  4.05265713e+03  2.34524889e+10
  8.75646264e+02  8.44680802e+03  4.05580755e+03  2.36275723e+10
  8.81439194e+02  8.45583394e+03  4.05895953e+03  2.38028416e+10
  8.87232123e+02  8.46455650e+03  4.06211309e+03  2.39782949e+10
  8.93025053e+02  8.47759139e+03  4.06526750e+03  2.41539739e+10
  8.98817983e+02  8.49142742e+03  4.06842181e+03  2.43299315e+10
  9.04610913e+02  8.50519424e+03  4.07157588e+03  2.45061753e+10
  9.10403843e+02  8.51904675e+03  4.07472972e+03  2.46827055e+10
  9.16196773e+02  8.53341571e+03  4.07788321e+03  2.48595284e+10
  9.21989703e+02  8.54625933e+03  4.08103655e+03  2.50366334e+10
  9.27782633e+02  8.56654784e+03  4.08418866e+03  2.52140820e+10
  9.33575562e+02  8.58233873e+03  4.08733899e+03  2.53919047e+10
  9.39368492e+02  8.58680710e+03  4.09049046e+03  2.55699375e+10
  9.45161422e+02  8.61130549e+03  4.09364147e+03  2.57482707e+10
  9.50954352e+02  8.65065092e+03  4.09678567e+03  2.59272658e+10
  9.56747282e+02  8.67742244e+03  4.09992268e+03  2.61069466e+10
  9.62540212e+02  8.69866066e+03  4.10305580e+03  2.62871252e+10
  9.68333142e+02  8.71648555e+03  4.10618666e+03  2.64677088e+10
  9.74126071e+02  8.73912838e+03  4.10931504e+03  2.66487121e+10
  9.79919001e+02  8.77396534e+03  4.11243790e+03  2.68303114e+10
  9.85711931e+02  8.79880360e+03  4.11555488e+03  2.70125295e+10
  9.91504861e+02  8.83126667e+03  4.11866644e+03  2.71953418e+10
  9.97297791e+02  8.86794300e+03  4.12177052e+03  2.73788710e+10
  1.00309072e+03  8.89103593e+03  4.12486881e+03  2.75630200e+10
  1.00888365e+03  8.93224510e+03  4.12796057e+03  2.77478357e+10
  1.01467658e+03  8.96977969e+03  4.13104333e+03  2.79334680e+10
  1.02046951e+03  9.00983110e+03  4.13411738e+03  2.81199047e+10
  1.02626244e+03  9.05244428e+03  4.13718190e+03  2.83071987e+10
  1.03205537e+03  9.09789138e+03  4.14023607e+03  2.84954058e+10
  1.03784830e+03  9.13629285e+03  4.14328067e+03  2.86844823e+10
  1.04364123e+03  9.17262643e+03  4.14631729e+03  2.88743338e+10
  1.04943416e+03  9.21813021e+03  4.14934483e+03  2.90650339e+10
  1.05522709e+03  9.24491987e+03  4.15236491e+03  2.92564836e+10
  1.06102002e+03  9.28816331e+03  4.15537796e+03  2.94486595e+10
  1.06681295e+03  9.32685453e+03  4.15838209e+03  2.96416851e+10
  1.07260588e+03  9.36641838e+03  4.16137796e+03  2.98355221e+10
