#⍴ p
#g/cc GPa
45.2457 22919.8
37.2813 15618
31.0816 10919.1
26.1838 7795.54
22.2633 5655.49
19.088 4152.67
16.4889 3075.43
14.3411 2292.36
12.5507 1716.96
11.0463 1291
9.77306 974.062
8.68822 737.322
7.75817 559.847
6.95627 426.357
6.26119 325.635
5.65571 249.419
5.12585 191.588
4.66016 147.595
4.24922 114.007
3.8852 88.2776
3.56161 68.493
3.27298 53.218
3.01471 41.3718
2.78291 32.1628
2.57429 24.9411
2.386 19.2645
2.21564 14.7997
2.06112 11.2545
1.92064 8.44143
1.79264 6.20466
1.67576 4.42401
1.56883 3.00577
1.47081 1.87668
1.38079 0.979035
1.29796 0.267296
1.22163 -0.294514
1.15117 -0.73544
1.08603 -1.07861
1.02571 -1.34247
0.969771 -1.54198
0.917831 -1.68926
