#⍴(g/cc) e(MJ/kg) p(GPa)
0.9709709599839644 -4770.66753074305 -0.30358699561
0.9344932795156604 -4770.646101465288 -0.54558455737
0.9517982750596893 -4770.654473905185 -0.43359727571
0.9695331947290307 -4770.666575556863 -0.3135850099
0.9877114731358667 -4770.677800707586 -0.1846759312
1.0063470518359192 -4770.686564746412 -0.046230327112
1.0254544017867906 -4770.693279885742 0.10229041745
1.0450485469506274 -4770.699723566733 0.26165900421
1.0651450891070957 -4770.705698562392 0.43280030327
1.0857602339469452 -4770.707784006551 0.61636457262
1.1069108185210095 -4770.699955454053 0.8137454541
1.1286143401243516 -4770.682676165631 1.025721077
1.1508889867005303 -4770.660263836376 1.253457219
1.1737536688565904 -4770.6322026725975 1.4980474978
1.1972280535854054 -4770.598007372564 1.7607130518
1.221332599798496 -4770.5589500903325 2.0427029108
1.2460885957794163 -4770.516523161565 2.3454345822
1.2715181986752773 -4770.468498903413 2.6700982168
1.2976444761520456 -4770.41899949701 3.0185683713
1.3244914503479042 -4770.368252718402 3.3923513041
1.3520841442682934 -4770.311346393577 3.7935920501
1.3804486307762949 -4770.246320529357 4.2245642088
1.4096120843428404 -4770.179023585498 4.6870453325
1.4396028357328798 -4770.113400158901 5.1825502392
1.470450429816245 -4770.044615104855 5.714496045
1.5021856867055121 -4769.966747388184 6.2858728433
1.5348407664378025 -4769.880651982749 6.8997947918
1.5684492374333443 -4769.786941240099 7.5594316663
1.6030461489806829 -4769.68081233471 8.2683969484
1.6386681080169663 -4769.560598544343 9.0307123989
1.675353360491764 -4769.431441817594 9.8499618975
1.7131418776245437 -4769.296746290026 10.729670007
1.7520754473894293 -4769.155655731553 11.677155
1.7921977715863548 -4769.001146714335 12.692830027
1.833554568885301 -4768.832585131327 13.785694674
1.8761936842603213 -4768.649679139118 14.961724589
1.9201652052625808 -4768.449530346051 16.228059418
1.9655215856170294 -4768.237576427003 17.590104786
2.012317776665753 -4768.017695627467 19.054593018
2.0606113672229243 -4767.786219605372 20.630704162
2.110462732451802 -4767.541724432099 22.32549685
2.1619351924238464 -4767.283914552668 24.151957809
2.2150951810741573 -4767.01009645395 26.120809011
2.270012426326392 -4766.719737211944 28.24381386
2.3267601422248085 -4766.4145947963525 30.532060134
2.385415233981438 -4766.081822558233 33.001831178
2.4460585169232845 -4765.719618217483 35.676624116
2.5087749504087102 -4765.3322469362365 38.567447335
2.57365388787424 -4764.919131765592 41.691774307
2.6407893442740105 -4764.486898367552 45.066405963
2.710280282284819 -4764.033923930578 48.712420824
2.7822309187711767 -4763.556277504917 52.65934327
2.8567510531381832 -4763.046215447315 56.933417465
2.9339564193467034 -4762.504285984855 61.563633181
3.0139690635265843 -4761.928333553299 66.582887798
3.09691774930122 -4761.313734281782 72.025073067
3.18293839313245 -4760.658821619368 77.936344958
3.272174532210477 -4759.959587073094 84.356640672
3.3647778276517024 -4759.2198277478765 91.330183701
3.4609086060304186 -4758.434490144628 98.907585996
3.560736442561214 -4757.597017979113 107.15454698
3.664440789570938 -4756.70837500267 116.13213587
3.7722116542557504 -4755.765695542541 125.90730138
3.8842503301142908 -4754.766258277388 136.5577581
4.00077018688706 -4753.701655535974 148.17719792
4.121997524319925 -4752.570265420377 160.85486538
4.2481724956121 -4751.36379023596 174.710663
4.379550107013153 -4750.0756652475275 189.85966003
4.516401300706743 -4748.702129837729 206.42959603
4.659014128869998 -4747.23630595797 224.57678563
4.807695027636593 -4745.680600074452 244.4407994
4.962770200629827 -4744.028642737537 266.20097413
5.124587122782452 -4742.265786788311 290.08165558
5.29351617633754 -4740.380528080375 316.30880179
5.469952432245835 -4738.361663846612 345.13866949
5.654317591659707 -4736.208890195289 376.87365038
5.847062103893823 -4733.910258619718 411.80153342
6.048667479103946 -4731.455287710212 450.29460872
6.259648816056915 -4728.833424223978 492.75963471
6.4805575677612115 -4726.024041552564 539.69639705
6.711984570437493 -4723.020145618062 591.57807294
6.95456336437737 -4719.801453788682 648.99763266
7.20897383871953 -4716.34507368673 712.66099855
7.475946236125283 -4712.641225788497 783.25478532
7.756265557832245 -4708.670130693649 861.60240152
8.050776414687354 -4704.409760534232 948.63297982
8.36038837560502 -4699.831391260502 1045.406672
8.686081871575562 -4694.901718006033 1153.134753
9.028914720994813 -4689.601421947476 1273.170341
9.390029350852723 -4684.024450225789 1360.0125898
9.770660798387969 -4678.092656813832 1504.7501057
10.172145589402218 -4671.69371877097 1666.5668092
10.595931602783233 -4664.802838429129 1804.9425706
11.043589046210359 -4657.6212527558855 1976.7646599
11.516822685863039 -4649.862938019847 2198.2309939
12.017485493644097 -4641.4749948474255 2447.1547439
12.547593899466754 -4632.392629033319 2727.0972056
13.10934486413573 -4622.550159821485 3042.1467964
13.70513502099635 -4611.88938332308 3396.6480886
14.337582172690839 -4600.360413100857 3702.6223475
15.00954947408257 -4588.799661639242 3873.1973821
15.724172684936235 -4576.645517375616 4134.9155186
16.484890937783394 -4563.828415940947 4584.439868
17.29548153939077 -4550.254565452008 4935.9869451
18.160099410611135 -4535.8321553174355 5557.6889985
19.083321871851503 -4520.107162268365 6265.5051205
