#⍴(g/cc) e(MJ/kg) p(GPa)
0.9344932795156604 -5208.9628704813695 -2.6975462954
0.9517982750596893 -5208.995167571551 -2.5626509778
0.9695331947290307 -5209.031656734537 -2.4225415067
0.9877114731358667 -5209.078011472499 -2.2758233884
1.0063470518359192 -5209.117062245214 -2.1233069108
1.0254544017867906 -5209.14683524105 -1.9632734201
1.0450485469506274 -5209.167537622581 -1.795068863
1.0651450891070957 -5209.189360840413 -1.6185086086
1.0857602339469452 -5209.218078837447 -1.4324679916
1.1069108185210095 -5209.260318531907 -1.235905889
1.1286143401243516 -5209.295543649185 -1.0280234372
1.1508889867005303 -5209.3190944018625 -0.80868156504
1.1737536688565904 -5209.317862789544 -0.57691410039
1.1972280535854054 -5209.299062158129 -0.3310825356
1.221332599798496 -5209.267247114923 -0.0696737252
1.2460885957794163 -5209.230839834827 0.20875098991
1.2715181986752773 -5209.196159404363 0.5049554619
1.2976444761520456 -5209.154112540114 0.82058113138
1.3244914503479042 -5209.101564794724 1.1568734227
1.3520841442682934 -5209.027332986735 1.5160753943
1.3804486307762949 -5208.936954774944 1.8992136531
1.4096120843428404 -5208.843842451186 2.309073431
1.4396028357328798 -5208.763450297564 2.7476162151
1.470450429816245 -5208.703492207689 3.2297573592
1.5021856867055121 -5208.663535983794 3.7322030769
1.5348407664378025 -5208.629887426214 4.2706851535
1.5684492374333443 -5208.5942000760215 4.847755888
1.6030461489806829 -5208.555335452696 5.466860668
1.6386681080169663 -5208.514227044029 6.1285752443
1.675353360491764 -5208.4634955685 6.8412709366
1.7131418776245437 -5208.385636245681 7.6066699485
1.7520754473894293 -5208.279804322797 8.4277494831
1.7921977715863548 -5208.153300281933 9.310444214
1.833554568885301 -5208.0116943865805 10.259834665
1.8761936842603213 -5207.8554302547145 11.280318654
1.9201652052625808 -5207.689006763026 12.379094408
1.9655215856170294 -5207.510923296198 13.560619917
2.012317776665753 -5207.327879290777 14.833627621
2.0606113672229243 -5207.138021189923 16.205204428
2.110462732451802 -5206.9315002634685 17.684447067
2.1619351924238464 -5206.710664391948 19.278971177
2.2150951810741573 -5206.489934385755 20.997393256
2.270012426326392 -5206.265693179551 22.85085529
2.3267601422248085 -5206.0184887332625 24.851539868
2.385415233981438 -5205.7464098751025 27.012491716
2.4460585169232845 -5205.454506849397 29.346980326
2.5087749504087102 -5205.136664534537 31.869913433
2.57365388787424 -5204.792408763493 34.59914241
2.6407893442740105 -5204.432643664942 37.55105588
2.710280282284819 -5204.061422727468 40.750328129
2.7822309187711767 -5203.664323713155 44.213138541
2.8567510531381832 -5203.237191493568 47.967393277
2.9339564193467034 -5202.774162191671 52.037227364
3.0139690635265843 -5202.272592657455 56.453243069
3.09691774930122 -5201.740568169688 61.252196463
3.18293839313245 -5201.179926411121 66.4488933
3.272174532210477 -5200.585670184294 72.117116223
3.3647778276517024 -5199.958436908108 78.250764428
3.4609086060304186 -5199.287813465722 84.94447716
3.560736442561214 -5198.580594937922 92.228508961
3.664440789570938 -5197.82711023587 100.16861714
3.7722116542557504 -5197.006292216598 108.82985149
3.8842503301142908 -5196.120973034556 118.27610306
4.00077018688706 -5195.178143512895 128.58956303
4.121997524319925 -5194.1884565357195 139.8532717
4.2481724956121 -5193.1468002466845 152.18123287
4.379550107013153 -5192.037228895038 165.66101703
4.516401300706743 -5190.849745973123 180.43312552
4.659014128869998 -5189.579953901492 196.61062514
4.807695027636593 -5188.2162691061985 214.35933695
4.962770200629827 -5186.752770038156 233.84590925
5.124587122782452 -5185.188776623986 255.25670282
5.29351617633754 -5183.5248562767165 278.77819486
5.469952432245835 -5181.747693148168 304.66608664
5.654317591659707 -5179.84294893895 333.17301271
5.847062103893823 -5177.809394092384 364.60190505
6.048667479103946 -5175.640069305093 399.24793691
6.259648816056915 -5173.320036431269 437.4824799
6.4805575677612115 -5170.8338560350785 479.74210515
6.711984570437493 -5168.159632722975 526.43582216
6.95456336437737 -5165.284560501961 578.12765764
7.20897383871953 -5162.195381424311 635.30580152
7.475946236125283 -5158.889363833401 698.68519438
7.756265557832245 -5155.354220613379 768.98987717
8.050776414687354 -5151.557776584783 847.00790877
