# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
0.968 1.0 0.0 -18466.199582012985  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0022217849615703287 -6.11853735231712 0.00108903854681086 0.0 0.0 -0.0 0.968 298.0
0.968 1.0 0.0 -18466.199582012985  0.0 0.0 0.0 0.0 0.0 0.0 298.0 0.0022217849615703287 -6.11853735231712 0.00108903854681086 0.0 0.0 -0.0 0.968 298.0
0.9697427476103639 0.998202876366275 NaN -18466.206467726966  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.002218909796881888 -6.0868223988009795 0.0010890132559045833 0.0 0.0 -0.0 0.9697427476103639 298.0
0.9714854952224091 0.9964122004501866 NaN -18466.21335344096  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0022160346321690315 -6.055107445254244 0.0010889879649982825 0.0 0.0 -0.0 0.9714854952224091 298.0
0.9732282428361264 0.9946279376142121 NaN -18466.220239154954  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.002213159467480591 -6.023392491677079 0.0010889626740919571 0.0 0.0 -0.0 0.9732282428361264 298.0
0.9749709904515074 0.9928500534684841 NaN -18466.22712486896  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0022102843027677344 -5.991677538069638 0.001088937383185608 0.0 0.0 -0.0 0.9749709904515074 298.0
0.9767137380685427 0.9910785138685833 NaN -18466.234010582968  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0022074091380548774 -5.959962584432091 0.0010889120922792344 0.0 0.0 -0.0 0.9767137380685427 298.0
0.9784564856872235 0.9893132849133507 NaN -18466.240896296982  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.002204533973354229 -5.928247630764598 0.001088886801372837 0.0 0.0 -0.0 0.9784564856872235 298.0
0.9801992333075411 0.9875543329427258 NaN -18466.247782011007  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0022016588086291645 -5.896532677067318 0.001088861510466416 0.0 0.0 -0.0 0.9801992333075411 298.0
0.981941980929487 0.9858016245356066 NaN -18466.254667725036  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.002198783643916308 -5.864817723340407 0.0010888362195599715 0.0 0.0 -0.0 0.981941980929487 298.0
0.9836847285530524 0.984055126507734 NaN -18466.261553439075  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0021959084791912434 -5.8331027695840225 0.0010888109286535034 0.0 0.0 -0.0 0.9836847285530524 298.0
0.9854274761782288 0.9823148059095961 NaN -18466.268439153115  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.002193033314466179 -5.801387815798323 0.0010887856377470118 0.0 0.0 -0.0 0.9854274761782288 298.0
0.9871702238050075 0.9805806300243572 NaN -18466.275324867165  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0021901581497411142 -5.769672861983463 0.0010887603468404971 0.0 0.0 -0.0 0.9871702238050075 298.0
0.9889129714333798 0.9788525663658072 NaN -18466.28221058122  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0021872829850160497 -5.737957908139603 0.001088735055933959 0.0 0.0 -0.0 0.9889129714333798 298.0
