#rho T p e s c^2 cv gamma alpha
1.0E-10 300.0 1.1945218304090956E-11 4.779972773937827 0.012884074169171325 0.29030623627673097 0.001569860736245093 0.2757096965262332 1.4909284510374675E7
2.154434690031879E-10 300.0 2.5731877644338144E-11 4.771769990693792 0.01255063443840697 0.15340899552433251 0.0015234686528725059 0.28410562047140253 1.3095714196065236E7
4.641588833612781E-10 300.0 5.542726644389622E-11 4.763552831139725 0.012217194530891673 0.1544198255431726 0.0014770766289854376 0.29302900954015326 6038706.465696424
1.0E-9 300.0 1.1938190551407048E-10 4.755314761824572 0.01188375433352566 0.15547780493227537 0.0014306847026445506 0.3025312174688271 2783849.3416704587
2.154434690031879E-9 300.0 2.5709867762874557E-10 4.747046281014807 0.0115503136608369 0.15658020729920524 0.0013842929362662922 0.31267050934292867 1283053.3852782927
4.641588833612781E-9 300.0 5.535834157685356E-10 4.738733570725879 0.011216872208671408 0.15772085213506054 0.0013379014322073754 0.3235132773983241 591235.4233431388
1.0E-8 300.0 1.191660885385873E-9 4.730356536981392 0.010883429478249874 0.15888823304758337 0.0012915103583234966 0.33513553008474745 272412.2486887145
2.154434690031879E-8 300.0 2.56422998652771E-9 4.721885960887775 0.010549984651628657 0.1600627303961543 0.0012451199898783458 0.3476247327892147 125515.77712925087
4.641588833612781E-8 300.0 5.514683044509343E-9 4.713279357471648 0.010216536387469792 0.16121246978301296 0.001198730778275446 0.3610821073444303 57844.533985713584
1.0E-7 300.0 1.1850409155718502E-8 4.704474956780671 0.009883082486126288 0.16228717761971953 0.0011523434637664477 0.37562553932038256 26671.832082376055
2.15443469003188E-7 300.0 2.5435142866789112E-8 4.695382956878965 0.009549619340417915 0.16254051932410668 0.0011059592602836066 0.39139330421647467 12361.112092140409
4.641588833612781E-7 300.0 5.425525341439036E-8 4.686045244313723 0.009217225670889864 0.1616616364945707 0.0010613829282303563 0.40460045090021013 5723.014192117468
1.0E-6 300.0 1.1525732572241333E-7 4.676598601059017 0.008888215195903408 0.11420298337917893 0.0010196159279310339 0.4168109770116426 3721.3310766717577
1.25892541179417E-6 300.0 1.443972547012531E-7 4.673708124085216 0.008790191061344864 0.16021049876773955 0.0010076517808965818 0.42045180432838564 2100.563065108706
1.58489319246111E-6 300.0 1.8082086246058987E-7 4.6707738453681165 0.008692479356484662 0.15953973183355563 9.958076287380315E-4 0.42411328722031805 1670.2768819943417
1.99526231496888E-6 300.0 2.2632395986663963E-7 4.667789196903871 0.008595080457603975 0.15884872494091237 9.843340475905646E-4 0.42769349203928264 1328.2854521778208
2.51188643150958E-6 300.0 2.8319744531339313E-7 4.664739019012088 0.008497991138584276 0.15797814500706509 9.730215388071718E-4 0.43136219447522695 1057.71222474931
3.16227766016838E-6 300.0 3.5405361380393094E-7 4.661611665308045 0.008401210020604347 0.15699829979177055 9.619705617888626E-4 0.4349119065989153 842.6905626113172
3.98107170553497E-6 300.0 4.4246408330765697E-7 4.658392857192614 0.008304733698645593 0.1559421548957304 9.512262505285051E-4 0.43848954011598595 671.8611570774724
