# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
0.96342 1.0 0.0 0.2711341539043414  -9.648002338174437E-5 -9.648002338174437E-5 -9.648002338174437E-5 0.0 0.0 0.0 293.0 NaN 6.3947341844546495 0.0010663523158715548 9.648002338174437E-5 1.2396384025131024 2.1456435918985452E-4 0.96342 293.0
0.96342 1.0 0.0 0.2711341539043414  0.0 0.0 0.0 0.0 0.0 0.0 293.0 NaN 6.3947341844546495 0.0010663523158715548 9.648002338174437E-5 1.2396384025131024 2.1456435918985452E-4 0.96342 293.0
0.9642871645995126 0.9991007195456422 0.0022778476793336587 0.2709712432753168  -0.005398429764815969 -0.005398429764815969 -0.005398429764815969 0.0 0.0 0.0 293.3268563463893 NaN 6.42559079932796 0.001066367724458043 0.005398429764815969 1.2388484593076554 2.1320909464690564E-4 0.9642871645995126 293.3268563463893
0.9651543291991302 0.9982030550486477 0.004559118443530055 0.2708081955621442  -0.010700434054097607 -0.010700434054097607 -0.010700434054097607 0.0 0.0 0.0 293.65357469652764 NaN 6.456443293564354 0.0010663831330445335 0.010700434054097607 1.2380599262075391 2.1186773789873313E-4 0.9651543291991302 293.65357469652764
0.9660214937988524 0.9973070021572481 0.006843792341453301 0.27064501076144193  -0.016002492748902943 -0.016002492748902943 -0.016002492748902943 0.0 0.0 0.0 293.98015505322525 NaN 6.48729166960771 0.0010663985416310255 0.016002492748902943 1.2372727994157513 2.1054008505115226E-4 0.9660214937988524 293.98015505322525
0.9668886583986789 0.9964125565352856 0.009131849574593388 0.27048168887038976  -0.02130460570758677 -0.02130460570758677 -0.02130460570758677 0.0 0.0 0.0 294.306597419819 NaN 6.518135929902874 0.0010664139502175195 0.02130460570758677 1.2364870751489085 2.0922593613640424E-4 0.9668886583986789 294.306597419819
0.9677558229986097 0.9955197138621444 0.011423270495335168 0.2703182298867255  -0.026606772789176433 -0.026606772789176433 -0.026606772789176433 0.0 0.0 0.0 294.632901800169 NaN 6.548976076895639 0.0010664293588040154 0.026606772789176433 1.235702749637189 2.0792509501930948E-4 0.9677558229986097 294.632901800169
0.9686229875986443 0.9946284698326816 0.013718035605253956 0.2701546338087418  -0.03190899385336396 -0.03190899385336396 -0.03190899385336396 0.0 0.0 0.0 294.959068198655 NaN 6.579812113032687 0.001066444767390513 0.03190899385336396 1.2349198191242707 2.0663736930609972E-4 0.9686229875986443 294.959068198655
0.9694901521987827 0.9937388201571562 0.01601612555344392 0.26999090063528236  -0.037211268760511576 -0.037211268760511576 -0.037211268760511576 0.0 0.0 0.0 295.2850966201739 NaN 6.610644040761621 0.0010664601759770125 0.037211268760511576 1.2341382798672706 2.0536257025583512E-4 0.9694901521987827 295.2850966201739
0.970357316799024 0.9928507605611626 0.018317521134864605 0.2698270303657397  -0.04251359737163882 -0.04251359737163882 -0.04251359737163882 0.0 0.0 0.0 295.61098707013576 NaN 6.6414718625308895 0.0010664755845635138 0.04251359737163882 1.233358128136686 2.0410051269432984E-4 0.970357316799024 295.61098707013576
0.9712244813993685 0.9919642867855601 0.02062220328872215 0.26966302300005035  -0.04781597954842899 -0.04781597954842899 -0.04781597954842899 0.0 0.0 0.0 295.93673955446155 NaN 6.672295580789811 0.0010664909931500169 0.04781597954842899 1.2325793602163329 2.028510149304935E-4 0.9712244813993685 295.93673955446155
0.9720916459998158 0.9910793945864057 0.022930153096868973 0.26949887853869275  -0.05311841515322144 -0.05311841515322144 -0.05311841515322144 0.0 0.0 0.0 296.2623540795796 NaN 6.703115197988539 0.0010665064017365221 0.05311841515322144 1.231801972403287 2.0161389867501912E-4 0.9720916459998158 296.2623540795796
0.9729588106003654 0.9901960797348869 0.025241351782229485 0.2693345969826835  -0.05842090404900519 -0.05842090404900519 -0.05842090404900519 0.0 0.0 0.0 296.58783065242227 NaN 6.733930716578011 0.0010665218103230287 0.05842090404900519 1.2310259610078274 2.003889889613364E-4 0.9729588106003654 296.58783065242227
0.9738259752010171 0.989314338017253 0.027555780707254167 0.2691701783335741  -0.0637234460994226 -0.0637234460994226 -0.0637234460994226 0.0 0.0 0.0 296.91316928042323 NaN 6.764742139009976 0.0010665372189095372 0.0637234460994226 1.2302513223533726 1.9917611406875533E-4 0.9738259752010171 296.91316928042323
0.974693139801771 0.988434165234749 0.029873421372393353 0.2690056225934477  -0.06902604116876411 -0.06902604116876411 -0.06902604116876411 0.0 0.0 0.0 297.23836997151443 NaN 6.7955494677369535 0.0010665526274960479 0.06902604116876411 1.2294780527764269 1.979751054477343E-4 0.974693139801771 297.23836997151443
0.9755603044026263 0.9875555572035496 0.0321942554145934 0.26884092976491597  -0.07432868912196003 -0.07432868912196003 -0.07432868912196003 0.0 0.0 0.0 297.5634327341225 NaN 6.826352705212186 0.00106656803608256 0.07432868912196003 1.2287061486265203 1.967857976472029E-4 0.9755603044026263 297.5634327341225
0.9764274690035829 0.9866785097546912 0.03451826460582078 0.2686760998511161  -0.07963138982458466 -0.07963138982458466 -0.07963138982458466 0.0 0.0 0.0 297.8883575771664 NaN 6.857151853889664 0.001066583444669074 0.07963138982458466 1.2279356062661502 1.9560802824387013E-4 0.9764274690035829 297.8883575771664
0.977294633604641 0.9858030187340067 0.03684543085160562 0.2685111328557072  -0.08493414314285283 -0.08493414314285283 -0.08493414314285283 0.0 0.0 0.0 298.2131445100542 NaN 6.887946916224093 0.00106659885325559 0.08493414314285283 1.2271664220707232 1.944416377734604E-4 0.977294633604641 298.2131445100542
0.9781617982057995 0.9849290800020613 0.039175736189602677 0.2683460287828674  -0.0902369489436074 -0.0902369489436074 -0.0902369489436074 0.0 0.0 0.0 298.5377935426794 NaN 6.918737894670832 0.0010666142618421077 0.0902369489436074 1.226398592428502 1.932864696638151E-4 0.9781617982057995 298.5377935426794
0.9790289628070588 0.9840566894340849 0.041509162788184936 0.2681807876372906  -0.09553980709433044 -0.09553980709433044 -0.09553980709433044 0.0 0.0 0.0 298.86230468541925 NaN 6.949524791685941 0.001066629670428627 0.09553980709433044 1.225632113740543 1.9214237016979555E-4 0.9790289628070588 298.86230468541925
0.9798961274084185 0.9831858429199086 0.04384569294504722 0.2680154094241832  -0.10084271746313062 -0.10084271746313062 -0.10084271746313062 0.0 0.0 0.0 299.1866779491305 NaN 6.980307609726118 0.0010666450790151481 0.10084271746313062 1.2248669824206428 1.910091883099397E-4 0.9798961274084185 299.1866779491305
0.9807632920098781 0.9823165363639004 0.04618530908583531 0.26784989414926164  -0.10614567991874105 -0.10614567991874105 -0.10614567991874105 0.0 0.0 0.0 299.5109133451472 NaN 7.011086351248675 0.0010666604876016712 0.10614567991874105 1.2241031948952816 1.8988677580481148E-4 0.9807632920098781 299.5109133451472
0.9816304566114377 0.9814487656848998 0.048527993762797435 0.26768424181874834  -0.11144869433052126 -0.11144869433052126 -0.11144869433052126 0.0 0.0 0.0 299.8350108852775 NaN 7.041861018711554 0.0010666758961881961 0.11144869433052126 1.2233407476035665 1.88774987016991E-4 0.9816304566114377 299.8350108852775
0.9824976212130966 0.9805825268161553 0.05087372965345025 0.2675184524393693  -0.1167517605684479 -0.1167517605684479 -0.1167517605684479 0.0 0.0 0.0 300.1589705818007 NaN 7.072631614573262 0.0010666913047747226 0.1167517605684479 1.2225796369971769 1.8767367889265855E-4 0.9824976212130966 300.1589705818007
