# rho0 5.912 g/cc e0 -1078.25 MJ/kg
# p0 = 0.00121236 GPa, c0 = 5.30907 km/s, T0 = 293 K
#rho   v   up   us   p   e   v/v0   T   csq
#g/cc cc/g km/s km/s GPa MJ/kg - K (km/s)^2
5.912 0.169147 0 5.30907 0.00121236 -1082.91 1 293 28.1862
5.91791 0.168979 0.00521503 5.22025 0.162159 -1082.91 0.999001 292.143 28.1422
5.93564 0.168474 0.0208298 5.22959 0.645216 -1082.91 0.996017 290.051 28.012
5.95337 0.167972 0.0364086 5.23913 1.12892 -1082.91 0.993051 288.681 27.8828
5.9711 0.167473 0.0519518 5.24869 1.61329 -1082.91 0.990102 288.026 27.755
5.98883 0.166977 0.0674595 5.25825 2.09831 -1082.91 0.987171 288.079 27.6286
6.00656 0.166485 0.0829322 5.26781 2.58399 -1082.91 0.984257 288.83 27.5036
6.02429 0.165995 0.0983699 5.27737 3.07034 -1082.91 0.98136 290.271 27.3798
6.04202 0.165507 0.113773 5.2869 3.5573 -1082.9 0.97848 292.392 27.2409
6.05975 0.165023 0.129138 5.29633 4.04478 -1082.9 0.975617 295.175 27.1159
6.07748 0.164542 0.144469 5.30574 4.53286 -1082.9 0.972771 298.62 26.9917
6.09521 0.164063 0.159765 5.31513 5.02152 -1082.9 0.969942 302.719 26.8684
6.11294 0.163587 0.175026 5.3245 5.51075 -1082.9 0.967128 307.464 26.746
6.13067 0.163114 0.190249 5.33378 6.00039 -1082.89 0.964331 312.837 26.59
6.1484 0.162644 0.205433 5.34292 6.49027 -1082.89 0.96155 318.821 26.4636
6.16613 0.162176 0.22099 5.36196 7.00656 -1082.89 0.958786 321.664 34.0939
6.18386 0.161711 0.237256 5.39669 7.57093 -1082.88 0.956037 318.325 33.9326
6.20159 0.161249 0.253481 5.42826 8.1359 -1082.88 0.953303 315.722 33.7725
6.21932 0.160789 0.269665 5.45723 8.70147 -1082.87 0.950586 313.849 33.6136
6.23705 0.160332 0.285809 5.48405 9.26763 -1082.87 0.947883 312.696 33.4558
6.25478 0.159878 0.301914 5.50904 9.83438 -1082.87 0.945197 312.255 33.2992
6.27251 0.159426 0.31798 5.53247 10.4017 -1082.86 0.942525 312.518 33.1438
6.29024 0.158976 0.334007 5.55459 10.9696 -1082.86 0.939868 313.477 32.9895
6.30797 0.15853 0.349997 5.57555 11.538 -1082.85 0.937226 315.123 32.8364
6.3257 0.158085 0.365949 5.59551 12.107 -1082.84 0.9346 317.449 32.6844
6.34343 0.157643 0.381864 5.61459 12.6766 -1082.84 0.931987 320.446 32.5335
6.36116 0.157204 0.397741 5.6329 13.2467 -1082.83 0.92939 324.107 32.3836
6.37889 0.156767 0.413583 5.65053 13.8173 -1082.83 0.926806 328.424 32.2349
6.39662 0.156332 0.429383 5.66748 14.3882 -1082.82 0.924237 333.37 32.0105
6.41435 0.1559 0.445145 5.68387 14.9594 -1082.81 0.921683 338.945 31.8613
6.43208 0.155471 0.46087 5.69975 15.5311 -1082.8 0.919142 345.148 31.7131
6.44981 0.155043 0.476555 5.71515 16.103 -1082.8 0.916615 351.958 31.4853
6.46754 0.154618 0.492199 5.73009 16.6751 -1082.79 0.914103 359.364 31.3374
6.48527 0.154195 0.507807 5.74466 17.2476 -1082.78 0.911604 367.372 31.1906
6.503 0.153775 0.524025 5.76601 17.8645 -1082.77 0.909118 371.962 41.2514
6.52073 0.153357 0.541155 5.79682 18.547 -1082.76 0.906646 371.449 41.0532
6.53847 0.152941 0.558237 5.82636 19.2299 -1082.76 0.904188 371.674 40.8566
6.5562 0.152527 0.575272 5.85474 19.9133 -1082.75 0.901743 372.626 40.6615
6.57393 0.152116 0.592263 5.88207 20.597 -1082.74 0.89931 374.299 40.468
6.59166 0.151707 0.609208 5.90842 21.2812 -1082.73 0.896892 376.682 40.2759
6.60939 0.1513 0.62611 5.93388 21.9659 -1082.72 0.894486 379.768 40.0853
6.62712 0.150895 0.642968 5.95851 22.6509 -1082.7 0.892092 383.548 39.8962
6.64485 0.150493 0.659783 5.98238 23.3363 -1082.69 0.889712 388.011 39.6106
6.66258 0.150092 0.676552 6.00549 24.0218 -1082.68 0.887345 393.138 39.4223
6.68031 0.149694 0.693278 6.02795 24.7077 -1082.67 0.884989 398.933 39.2355
6.69804 0.149297 0.709962 6.04979 25.3939 -1082.66 0.882647 405.39 39.0502
6.71577 0.148903 0.726599 6.07101 26.0801 -1082.65 0.880317 412.472 38.7548
6.7335 0.148511 0.743193 6.09167 26.7665 -1082.63 0.877999 420.186 38.5695
6.75123 0.148121 0.759744 6.11182 27.4531 -1082.62 0.875693 428.527 38.2782
6.76896 0.147733 0.776247 6.13145 28.1395 -1082.61 0.873399 437.455 38.094
6.78669 0.147347 0.792709 6.15063 28.8261 -1082.6 0.871117 446.998 37.9113
6.80442 0.146963 0.809122 6.16932 29.5123 -1082.58 0.868847 457.107 37.6165
6.82215 0.146581 0.825493 6.18761 30.1987 -1082.57 0.866589 467.809 37.3231
6.83988 0.146201 0.841814 6.20547 30.8846 -1082.56 0.864343 479.069 37.141
6.85761 0.145823 0.858237 6.224 31.5811 -1082.54 0.862108 490.54 52.2522
6.87534 0.145447 0.876997 6.25913 32.4536 -1082.53 0.859885 496.768 52.1744
6.89307 0.145073 0.895713 6.29336 33.3274 -1082.51 0.857673 503.801 52.1083
6.9108 0.144701 0.914385 6.32674 34.2026 -1082.49 0.855473 511.628 51.9308
6.92853 0.144331 0.933015 6.35932 35.0791 -1082.48 0.853284 520.238 51.8828
6.94626 0.143962 0.951611 6.39119 35.9575 -1082.46 0.851106 529.647 51.7254
6.96399 0.143596 0.970166 6.42235 36.8374 -1082.44 0.848939 539.839 51.6951
6.98172 0.143231 0.988693 6.4529 37.7194 -1082.42 0.846783 550.825 51.5359
6.99945 0.142868 1.00718 6.48282 38.6029 -1082.4 0.844638 562.549 51.5209
7.01718 0.142507 1.02565 6.51221 39.4888 -1082.39 0.842504 575.056 51.3868
7.03491 0.142148 1.04408 6.54107 40.3766 -1082.37 0.840381 588.326 51.388
7.05264 0.141791 1.06249 6.56944 41.2667 -1082.35 0.838268 602.368 51.2592
7.07037 0.141435 1.08087 6.59737 42.1593 -1082.33 0.836166 617.176 51.129
7.0881 0.141082 1.09923 6.62485 43.0539 -1082.31 0.834074 632.717 51.1492
7.10583 0.14073 1.11757 6.65193 43.951 -1082.29 0.831993 649.013 51.0333
7.12356 0.140379 1.13589 6.67863 44.8506 -1082.27 0.829922 666.058 50.9152
7.14129 0.140031 1.15418 6.70497 45.7527 -1082.24 0.827862 683.839 50.8045
7.15902 0.139684 1.17246 6.73096 46.6573 -1082.22 0.825812 702.36 50.845
7.17675 0.139339 1.19071 6.75662 47.5643 -1082.2 0.823771 721.627 50.7348
7.19448 0.138995 1.20895 6.78198 48.474 -1082.18 0.821741 741.61 50.6346
7.21221 0.138654 1.22716 6.80704 49.3863 -1082.16 0.819721 762.311 50.522
7.22994 0.138314 1.24537 6.83182 50.3011 -1082.14 0.817711 783.736 50.4286
7.24767 0.137975 1.26382 6.85781 51.2408 -1082.11 0.815711 804.43 64.0463
7.2654 0.137639 1.28355 6.89043 52.2882 -1082.09 0.81372 819.033 64.0003
7.28313 0.137304 1.30324 6.92252 53.3376 -1082.06 0.811739 834.461 63.8068
7.30086 0.13697 1.3229 6.95413 54.3894 -1082.04 0.809768 850.696 63.6022
7.31859 0.136638 1.34253 6.98528 55.4435 -1082.01 0.807806 867.716 63.5712
7.33632 0.136308 1.36212 7.01595 56.4997 -1081.98 0.805854 885.47 63.3686
7.35405 0.13598 1.38168 7.04621 57.5583 -1081.96 0.803911 903.997 63.1801
7.37178 0.135652 1.40122 7.07606 58.6194 -1081.93 0.801977 923.292 62.9887
7.38951 0.135327 1.42073 7.10551 59.6827 -1081.9 0.800053 943.347 62.974
7.40724 0.135003 1.4402 7.13458 60.7482 -1081.87 0.798138 964.149 62.7879
7.42497 0.134681 1.45964 7.16327 61.8161 -1081.85 0.796232 985.684 62.5967
7.4427 0.13436 1.47906 7.19162 62.8863 -1081.82 0.794335 1007.95 62.4201
7.46043 0.134041 1.49845 7.21964 63.9589 -1081.79 0.792448 1030.94 62.2333
7.47816 0.133723 1.51782 7.24732 65.0338 -1081.76 0.790569 1054.63 62.0486
7.49589 0.133406 1.53715 7.27469 66.1109 -1081.73 0.788699 1079.01 61.8617
7.51362 0.133092 1.55646 7.30175 67.1902 -1081.7 0.786838 1104.09 61.6863
7.53135 0.132778 1.57574 7.32851 68.2718 -1081.67 0.784985 1129.88 61.5055
7.54908 0.132466 1.59499 7.35498 69.3555 -1081.64 0.783142 1156.32 61.3218
7.56681 0.132156 1.61421 7.38117 70.4414 -1081.61 0.781307 1183.42 61.1411
7.58454 0.131847 1.63341 7.40709 71.5293 -1081.58 0.77948 1211.22 60.9543
7.60227 0.13154 1.65258 7.43273 72.6192 -1081.55 0.777662 1239.63 60.7683
7.62 0.131234 1.67171 7.45812 73.7111 -1081.51 0.775853 1268.63 60.6006
7.63773 0.130929 1.69083 7.48326 74.8051 -1081.48 0.774052 1298.36 60.4093
7.65546 0.130626 1.70991 7.50814 75.9009 -1081.45 0.772259 1328.67 60.2125
7.67319 0.130324 1.72922 7.53389 77.0213 -1081.42 0.770475 1353.34 69.6205
7.69092 0.130023 1.74864 7.56001 78.1563 -1081.38 0.768699 1374.66 69.3436
7.70865 0.129724 1.76801 7.58575 79.291 -1081.35 0.766931 1396.56 68.8674
7.72638 0.129427 1.78732 7.61114 80.4253 -1081.31 0.765171 1419.01 68.3873
7.74411 0.12913 1.80658 7.63617 81.5592 -1081.28 0.763419 1442 67.9211
7.76184 0.128835 1.82577 7.66086 82.6923 -1081.24 0.761675 1465.52 67.6461
7.77957 0.128542 1.84492 7.6852 83.8248 -1081.21 0.759939 1489.59 67.1772
7.7973 0.12825 1.864 7.70921 84.9566 -1081.17 0.758211 1514.19 66.7053
7.81503 0.127959 1.88303 7.7329 86.0877 -1081.14 0.756491 1539.27 66.2339
7.83276 0.127669 1.90201 7.75628 87.2179 -1081.1 0.754779 1564.84 65.7741
7.85049 0.127381 1.92092 7.77934 88.3472 -1081.07 0.753074 1590.96 65.5028
7.86822 0.127094 1.93978 7.80209 89.4755 -1081.03 0.751377 1617.51 65.0367
7.88595 0.126808 1.95858 7.82455 90.6028 -1080.99 0.749688 1644.48 64.5644
7.90368 0.126523 1.97733 7.84672 91.729 -1080.96 0.748006 1671.91 64.0978
7.92141 0.12624 1.99601 7.8686 92.8541 -1080.92 0.746332 1699.81 63.6428
7.93914 0.125958 2.01465 7.8902 93.9782 -1080.88 0.744665 1728.16 63.1778
7.95687 0.125678 2.03322 7.91154 95.1011 -1080.84 0.743006 1756.9 62.7174
7.9746 0.125398 2.05174 7.93259 96.2225 -1080.81 0.741354 1786.05 62.4502
