#rho T p c^2 cv
#g/cc K GPa MJ/kg.K
1.14076 293 5.48436 -3.22241 0.000867136
1.21204 293 5.02406 -2.97544 0.000823889
1.28938 293 4.53166 -4.33303 0.000799017
1.37345 293 3.98463 -3.98854 0.000758768
1.46498 293 3.35737 -4.7692 0.000727365
1.56483 293 2.5986 -7.56134 0.000703421
1.67397 293 1.70643 -9.27653 0.000674334
1.79349 293 0.591583 -10.3901 0.000645459
1.92468 293 -0.706427 -11.067 0.00061771
2.06897 293 -2.1584 -12.0052 0.000590599
2.22805 293 -3.82904 -12.9884 0.00056511
2.40388 293 -5.7623 -11.7311 0.000535018
2.59869 293 -7.95506 -13.6779 0.000516529
2.81514 293 -10.3049 -13.1677 0.00049353
3.05631 293 -12.7314 -11.7532 0.000467194
3.32584 293 -15.1462 -10.8658 0.000446699
3.62801 293 -17.3196 -7.60878 0.000431043
3.96792 293 -18.8514 -6.68388 0.000407936
4.35167 293 -19.1606 1.55149 0.000394006
4.78652 293 -17.6424 1.31967 0.000373473
5.02581 293 -15.7896 11.0425 0.000370634
5.28131 293 -12.7298 15.7676 0.000364745
5.33447 293 -11.8748 15.5261 0.000362863
5.38837 293 -11.008 15.2883 0.000360954
5.44298 293 -10.1297 15.0545 0.000359021
5.49831 293 -9.2397 14.8245 0.000357061
5.55441 293 -8.3374 22.9037 0.000358621
5.61129 293 -7.06226 22.5412 0.000356883
5.66893 293 -5.77007 22.1856 0.000355121
5.72738 293 -4.45989 21.8365 0.000353334
5.78664 293 -3.13144 21.4939 0.000351523
5.84672 293 -1.7844 21.1577 0.000349686
5.84672 293 -1.7844 21.1577 0.000349686
5.90762 293 -0.118681 28.219 0.000355366
5.96936 293 1.57037 27.7632 0.000357588
6.03198 293 3.2832 27.3123 0.00035984
6.09548 293 5.02012 26.8661 0.000362125
6.15987 293 6.78152 26.4246 0.000364441
6.22514 293 8.86904 33.6134 0.000370271
6.29137 293 10.9874 33.0428 0.000372481
6.35853 293 13.1357 32.4792 0.000374722
6.42669 293 15.3159 31.9225 0.000376997
6.49578 293 17.5257 31.3731 0.000379303
6.49578 293 17.5257 31.3731 0.000379303
6.56586 293 20.2241 40.9552 0.000385219
6.63698 293 22.9627 40.2327 0.000387372
6.70911 293 25.7404 39.5204 0.000389555
6.78233 293 28.5597 38.818 0.000391771
6.85659 293 31.4194 38.1256 0.000394019
6.93193 293 35.0457 52.2956 0.000399996
7.0084 293 38.7265 52.2254 0.000402068
7.08597 293 42.4604 52.2886 0.000404169
7.16471 293 46.2508 52.4801 0.000406302
7.24459 293 50.0959 66.5063 0.00041254
7.24459 293 50.0959 66.5063 0.00041254
7.66242 293 73.5101 68.3889 0.000423447
8.11306 293 101.765 95.8755 0.000443873
8.59971 293 137.274 90.5592 0.000454107
9.12609 293 182.118 94.5798 0.0004697
10.315 293 308.176 85.4724 0.000440228
11.7199 293 500.938 233.708 0.000416322
13.3917 293 788.745 244.323 0.000436134
15.3974 293 1214.78 289.457 0.000459071
17.8244 293 1695.66 276.399 0.000480079
