# cl: 2.72 km/s
# cs: 1.36 km/s

#shot method rho0 rhoflyer us up - - - ⍴ p e
#- - g/cc g/cc km/s km/s - - - g/cc GPa MJ/kg


# polymethyl methacrylate / acrylic / plexiglass
cbulk   040  1.189e+00 0.000e+00  2.229 0.000  0.000 1.028 0.000 1.189 0.0 0.0
8c1828  3,1  1.184e+00 2.784e+00  4.589 1.371  6.546 1.003 1.003 1.688 7.449 0.94
8c1845  3,1  1.186e+00 2.783e+00  3.702 0.718  5.943 1.001 1.005 1.471 3.152 0.258
8c1846  3,1  1.186e+00 2.783e+00  3.446 0.545  5.790 1.004 1.005 1.409 2.227 0.149
8c1847  3,1  1.186e+00 2.783e+00  4.050 0.980  6.181 1.007 1.003 1.565 4.707 0.48
8c1848  3,1  1.186e+00 2.783e+00  3.718 0.765  5.984 1.002 1.004 1.493 3.373 0.293
8c1907  3,2  1.189e+00 2.812e+00  6.324 2.477  7.520 1.004 1.001 1.955 18.625 3.068
8c1908  3,2  1.189e+00 2.812e+00  3.741 0.788  5.765 1.002 1.006 1.506 3.505 0.31
8c1909  3,2  1.189e+00 2.825e+00  4.704 1.462  6.434 1.004 1.007 1.725 8.177 1.069
8c1910  3,1  1.189e+00 2.784e+00  4.667 1.344  6.528 1.009 1.004 1.67 7.458 0.903
8c1911  3,1  1.189e+00 2.784e+00  6.241 2.367  7.546 1.006 1.001 1.915 17.564 2.801
8c1915  3,1  1.189e+00 2.784e+00  3.757 0.756  5.978 1.004 1.007 1.489 3.377 0.286
8c1917  3,2  1.189e+00 2.812e+00  5.303 1.866  6.856 1.002 1.001 1.835 11.766 1.741
8c1930  3,1  1.189e+00 2.786e+00  9.806 5.075 10.353 1.013 1.004 2.464 59.171 12.878
8c1939  3,2  1.189e+00 2.814e+00  6.324 2.387  7.434 1.014 1.006 1.91 17.948 2.849
8c1940  3,1  1.189e+00 2.784e+00  5.136 1.744  6.908 1.004 1.002 1.8 10.65 1.521
8c2725  3,1  1.186e+00 2.783e+00  8.916 4.531  9.756 1.010 1.012 2.411 47.912 10.265
8c2726  3,1  1.186e+00 2.783e+00  9.253 4.632  9.887 1.001 1.002 2.375 50.832 10.728
8c2727  3,1  1.186e+00 2.783e+00  9.280 4.750  9.996 1.008 1.005 2.43 52.279 11.281
8c2737  3,1  1.186e+00 2.783e+00  9.684 5.220 10.465 1.002 1.004 2.573 59.953 13.624
8c2724  3,1  1.185e+00 2.783e+00  8.146 4.025  9.214 1.004 1.008 2.342 38.853 8.1
8c2726  3,1  1.185e+00 2.783e+00  9.210 4.638  9.887 1.014 1.002 2.387 50.618 10.756
8c2737  3,1  1.185e+00 2.783e+00  9.676 5.222 10.465 1.010 1.004 2.574 59.876 13.635
8c2727  3,1  1.185e+00 2.783e+00  9.159 4.767  9.996 1.005 1.005 2.471 51.738 11.362
8c2737  3,1  1.185e+00 2.783e+00  9.671 5.223 10.465 1.014 1.004 2.576 59.856 13.64
8c2702  3,1  1.187e+00 2.793e+00  7.602 3.499  8.684 1.028 1.011 2.199 31.573 6.122
8c2710  3,1  1.187e+00 2.793e+00  8.471 4.120  9.334 1.006 1.007 2.311 41.427 8.487
8c2711  3,1  1.187e+00 2.793e+00  5.306 1.759  6.931 1.003 1.003 1.776 11.079 1.547
8c2724  3,1  1.185e+00 2.783e+00  8.147 4.025  9.214 1.011 1.008 2.342 38.858 8.1
8c2726  3,1  1.185e+00 2.783e+00  9.045 4.661  9.887 1.015 1.002 2.445 49.958 10.862
8c2727  3,1  1.185e+00 2.783e+00  9.190 4.763  9.996 1.009 1.005 2.46 51.87 11.343
8c2737  3,1  1.185e+00 2.783e+00  9.688 5.220 10.465 1.018 1.004 2.569 59.927 13.624
8c2716  3,1  1.187e+00 2.793e+00  4.683 1.368  6.548 1.003 1.007 1.677 7.604 0.936
8c2717  3,1  1.187e+00 2.793e+00  4.008 0.942  6.146 1.000 1.005 1.552 4.482 0.444
8c2717  3,1  1.187e+00 2.793e+00  4.029 0.941  6.146 1.000 1.005 1.549 4.5 0.443
8c2716  3,1  1.187e+00 2.793e+00  4.688 1.367  6.548 1.002 1.007 1.676 7.607 0.934
8c2631  310  1.187e+00 8.933e+00  3.350 0.470  4.328 1.004 1.010 1.381 1.869 0.11
8c2632  310  1.187e+00 8.933e+00  3.501 0.570  4.413 1.001 1.004 1.418 2.369 0.162
8c2633  310  1.187e+00 8.933e+00  4.070 0.967  4.754 1.004 1.008 1.557 4.672 0.468
8c2634  310  1.187e+00 8.933e+00  4.392 1.172  4.933 1.002 1.006 1.619 6.11 0.687
8c2635  310  1.187e+00 8.933e+00  5.181 1.689  5.392 1.007 1.002 1.761 10.387 1.426
8c2636  310  1.187e+00 8.933e+00  5.507 1.886  5.571 1.005 1.001 1.805 12.328 1.778
8c2637  310  1.187e+00 8.933e+00  6.790 2.765  6.375 1.002 1.003 2.002 22.285 3.823
