# from S.Rothman et al, J.Phys.D, 38 733, 2005
#up:km/s cL:km/s v:cm^3/g p:GPa
0.0 2.09 0.088183 0.0
0.05 2.245 0.086145 1.2269
0.1 2.3762 0.084241 2.5404
0.15 2.56228 0.08242 3.9144
0.2 2.73818 0.080758 5.419
0.25 2.88262 0.079193 7.0177
0.3 3.05696 0.077705 8.6978
0.35 3.17044 0.076301 10.4787
0.4 3.30446 0.074934 12.3081
0.45 3.4993 0.073633 14.2293
0.5 3.6408 0.072403 16.2622
0.55 3.79742 0.071222 18.3804
0.6 3.83402 0.070075 20.5606
0.65 3.965 0.06895 22.7819
0.7 4.16792 0.067877 25.1127
0.75 4.37254 0.066849 27.5445
0.8 4.5719 0.065864 30.0835
0.85 4.82322 0.064922 32.7367
0.9 4.88948 0.064019 35.5055
0.95 4.89338 0.06313 38.3181
0.99 5.15762 0.062434 40.6185
