# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
11.34248242306135 1.0 0.0 4.56430446352353E-4  -1.0131001793609842E-4 -1.0131001793609842E-4 -1.0131001793609842E-4 0.0 0.0 0.0 292.9999989920163 -0.08597811673517503 2.3137919347416274 1.1979712840754978E-4 1.0131001793609842E-4 2.699997300701007 1.2324727337770532E-5 11.34248242306135 292.9999989920163
11.34248242306135 1.0 0.0 4.56430446352353E-4  0.0 0.0 0.0 0.0 0.0 0.0 292.9999989920163 -0.08597811673517503 2.3137919347416274 1.1979712840754978E-4 1.0131001793609842E-4 2.699997300701007 1.2324727337770532E-5 11.34248242306135 292.9999989920163
11.350991411328543 0.9992503748827877 0.001518173342683701 5.682265320320709E-4  -0.038202499876043634 -0.038202499876043634 -0.038202499876043634 0.0 0.0 0.0 293.5938504173952 -0.08604715683162734 6.390042434895821 1.1979406762631106E-4 0.038202499876043634 2.699543432762739 4.4584930460539206E-6 11.350991411328543 293.5938504173952
11.359500399596335 0.9985018727993011 0.0034134054655679414 9.647483726229646E-4  -0.09468067962771816 -0.09468067962771816 -0.09468067962771816 0.0 0.0 0.0 294.18825144019314 -0.08583930387019911 6.403539991539605 1.1978978423274127E-4 0.09468067962771816 2.698571237790682 4.44400268403673E-6 11.359500399596335 294.18825144019314
11.36800938786472 0.9977544912277588 0.005309213312703784 0.0013613301113132067  -0.1511623948025248 -0.1511623948025248 -0.1511623948025248 0.0 0.0 0.0 294.783195017668 -0.08563136516057471 6.417008759911452 1.197855008391712E-4 0.1511623948025248 2.6976005732328616 4.429603386928082E-6 11.36800938786472 294.783195017668
11.3765183761337 0.9970082276539234 0.007205589684321756 0.0017579717118796157  -0.2076476466148935 -0.2076476466148935 -0.2076476466148935 0.0 0.0 0.0 295.37868090561403 -0.08542334028858382 6.430448826870537 1.1978121744560083E-4 0.2076476466148935 2.6966314356633343 4.41529430068704E-6 11.3765183761337 295.37868090561403
11.385027364403273 0.9962630795710737 0.009102527429463866 0.002154673138122448  -0.2641364362785869 -0.2641364362785869 -0.2641364362785869 0.0 0.0 0.0 295.97470885998575 -0.08521522884030876 6.443860278950797 1.1977693405203015E-4 0.2641364362785869 2.6956638216663977 4.401074581915784E-6 11.385027364403273 295.97470885998575
11.393536352673436 0.9955190444799777 0.011000019445589064 0.002551434353865091  -0.3206287650066461 -0.3206287650066461 -0.3206287650066461 0.0 0.0 0.0 296.5712786368981 -0.08500703040208463 6.457243202362393 1.1977265065845919E-4 0.3206287650066461 2.6946977278365565 4.3869433976943435E-6 11.393536352673436 296.5712786368981
11.40204534094419 0.994776119888863 0.012898058678187479 0.0029482553229546273  -0.3771246340114735 -0.3771246340114735 -0.3771246340114735 0.0 0.0 0.0 297.16838999262734 -0.08479874456049892 6.470597682993167 1.1976836726488792E-4 0.3771246340114735 2.6937331507784803 4.372899925418385E-6 11.40204534094419 297.16838999262734
11.41055432921553 0.9940343033133904 0.014796638120394294 0.0033451360092615966  -0.4336240445047899 -0.4336240445047899 -0.4336240445047899 0.0 0.0 0.0 297.7660426836112 -0.08459037090239176 6.483923806410085 1.1976408387131636E-4 0.4336240445047899 2.6927700871069686 4.358943352640012E-6 11.41055432921553 297.7660426836112
11.419063317487462 0.9932935922766245 0.01669575081261031 0.003742076376680268  -0.4901269976976716 -0.4901269976976716 -0.4901269976976716 0.0 0.0 0.0 298.36423646644965 -0.0843819090148556 6.497221657860668 1.1975980047774449E-4 0.4901269976976716 2.6918085334469124 4.345072876911515E-6 11.419063317487462 298.36423646644965
11.427572305759977 0.9925539843090087 0.01859538984212282 0.004139076389128211  -0.546633494800483 -0.546633494800483 -0.546633494800483 0.0 0.0 0.0 298.96297109790464 -0.08417335848523556 6.51049132227442 1.1975551708417235E-4 0.546633494800483 2.690848486433255 4.331287705631983E-6 11.427572305759977 298.96297109790464
11.436081294033078 0.991815476948335 0.02049554834273587 0.004536136010546985  -0.6031435370229727 -0.6031435370229727 -0.6031435370229727 0.0 0.0 0.0 299.5622463349014 -0.08396471890112904 6.5237328842642635 1.197512336905999E-4 0.6031435370229727 2.689889942710957 4.31758705589673E-6 11.436081294033078 299.5622463349014
11.444590282306763 0.9910780677397188 0.022396219494398344 0.004933255204901623  -0.659657125574195 -0.659657125574195 -0.659657125574195 0.0 0.0 0.0 300.162061934528 -0.08375598985038583 6.536946428127941 1.1974695029702715E-4 0.659657125574195 2.6889328989349575 4.303970154349485E-6 11.444590282306763 300.162061934528
11.45309927058103 0.9903417542355705 0.024297396522840527 0.005330433936181053  -0.7161742616625685 -0.7161742616625685 -0.7161742616625685 0.0 0.0 0.0 300.7624176540364 -0.08354717092110794 6.55013203784942 1.1974266690345411E-4 0.7161742616625685 2.6879773517701384 4.290436237037275E-6 11.45309927058103 300.7624176540364
11.461608258855877 0.9896065339955687 0.0261990726992112 0.005727672168397942  -0.7726949464958465 -0.7726949464958465 -0.7726949464958465 0.0 0.0 0.0 301.36331325084245 -0.08333826170164967 6.563289797100308 1.1973838350988079E-4 0.7726949464958465 2.687023297891284 4.276984549267934E-6 11.461608258855877 301.36331325084245
11.470117247131304 0.9888724045866335 0.028101241339719932 0.006124969865588794  -0.8292191812811293 -0.8292191812811293 -0.8292191812811293 0.0 0.0 0.0 301.96474848252643 -0.0831292617806176 6.576419789241228 1.1973410011630716E-4 0.8292191812811293 2.686070733983051 4.263614345470219E-6 11.470117247131304 301.96474848252643
11.47862623540731 0.9881393635828992 0.030003895805282968 0.006522326991814107  -0.88574696722488 -0.88574696722488 -0.88574696722488 0.0 0.0 0.0 302.56672310683376 -0.08292017074687032 6.589522097323211 1.1972981672273324E-4 0.88574696722488 2.685119656739924 4.2503248890564325E-6 11.47862623540731 302.56672310683376
11.487135223683891 0.9874074085656883 0.03190702950117109 0.006919743511158127  -0.9422783055328902 -0.9422783055328902 -0.9422783055328902 0.0 0.0 0.0 303.1692368816747 -0.08271098818951864 6.602596804089074 1.1972553332915906E-4 0.9422783055328902 2.6841700628661838 4.237115452287531E-6 11.487135223683891 303.1692368816747
11.495644211961048 0.986676537123484 0.033810635876663706 0.007317219387729248  -0.9988131974103308 -0.9988131974103308 -0.9988131974103308 0.0 0.0 0.0 303.7722895651254 -0.08250171369792529 6.615643991974791 1.1972124993558456E-4 0.9988131974103308 2.6832219490758726 4.223985316140653E-6 11.495644211961048 303.7722895651254
11.504153200238783 0.9859467468519042 0.03571470842470447 0.007714754585659961  -1.0553516440617412 -1.0553516440617412 -1.0553516440617412 0.0 0.0 0.0 304.3758809154281 -0.08229234686170499 6.628663743110858 1.1971696654200978E-4 1.0553516440617412 2.6822753120927514 4.210933770179016E-6 11.504153200238783 304.3758809154281
11.512662188517089 0.9852180353536752 0.03761924068155868 0.008112349069106487  -1.1118936466909752 -1.1118936466909752 -1.1118936466909752 0.0 0.0 0.0 304.98001069099104 -0.08208288727072444 6.641656139323643 1.197126831484347E-4 1.1118936466909752 2.6813301486502716 4.197960112424159E-6 11.512662188517089 304.98001069099104
11.521171176795967 0.9844904002386058 0.03952422622647882 0.008510002802249412  -1.1684392065012834 -1.1684392065012834 -1.1684392065012834 0.0 0.0 0.0 305.58467865038955 -0.08187333451510213 6.654621262136743 1.1970839975485936E-4 1.1684392065012834 2.680386455491534 4.185063649230424E-6 11.521171176795967 305.58467865038955
11.529680165075415 0.9837638391235598 0.04142965868136904 0.008907715749293386  -1.2249883246952717 -1.2249883246952717 -1.2249883246952717 0.0 0.0 0.0 306.1898845523661 -0.08166368818520844 6.667559192772315 1.1970411636128369E-4 1.2249883246952717 2.6794442293692566 4.172243695161697E-6 11.529680165075415 306.1898845523661
11.538189153355432 0.9830383496324319 0.04333553171045497 0.009305487874467258  -1.281541002474912 -1.281541002474912 -1.281541002474912 0.0 0.0 0.0 306.79562815583074 -0.08145394787166546 6.6804700121524325 1.1969983296770777E-4 1.281541002474912 2.678503467045735 4.159499572870307E-6 11.538189153355432 306.79562815583074
11.54669814163602 0.9823139293961196 0.04524183901995708 0.009703319142024236  -1.338097241041571 -1.338097241041571 -1.338097241041571 0.0 0.0 0.0 307.40190921986147 -0.08124411316534673 6.693353800900401 1.1969554957413155E-4 1.338097241041571 2.6775641652928117 4.146830612978076E-6 11.54669814163602 307.40190921986147
11.555207129917173 0.9815905760524997 0.047148574357764525 0.01010120951624157  -1.3946570415959516 -1.3946570415959516 -1.3946570415959516 0.0 0.0 0.0 308.0087275037043 -0.08103418365737766 6.706210639342072 1.1969126618055506E-4 1.3946570415959516 2.676626320891839 4.134236153959472E-6 11.555207129917173 308.0087275037043
11.563716118198892 0.9808682872464012 0.049055731513115736 0.01049915896142091  -1.4512204053381448 -1.4512204053381448 -1.4512204053381448 0.0 0.0 0.0 308.616082766774 -0.0808241589391351 6.719040607507171 1.1968698278697827E-4 1.4512204053381448 2.675689930633643 4.121715542026783E-6 11.563716118198892 308.616082766774
11.572225106481174 0.9801470606295799 0.050963304316280086 0.010897167441888242  -1.507787333467618 -1.507787333467618 -1.507787333467618 0.0 0.0 0.0 309.22397476865444 -0.08061403860224735 6.731843785130599 1.196826993934012E-4 1.507787333467618 2.67475499131849 4.109268131017326E-6 11.572225106481174 309.22397476865444
11.58073409476402 0.9794268938606931 0.0528712866382439 0.011295234921994102  -1.5643578271832428 -1.5643578271832428 -1.5643578271832428 0.0 0.0 0.0 309.8324032690989 -0.08040382223859396 6.744620251653749 1.1967841599982384E-4 1.5643578271832428 2.673821499756051 4.0968932822826E-6 11.58073409476402 309.8324032690989
11.589243083047428 0.9787077846052745 0.054779672390396675 0.011693361366113226  -1.6209318876832373 -1.6209318876832373 -1.6209318876832373 0.0 0.0 0.0 310.44136802803024 -0.08019350944030605 6.757370086225773 1.196741326062462E-4 1.6209318876832373 2.672889452765369 4.084590364579399E-6 11.589243083047428 310.44136802803024
11.597752071331396 0.9779897305357088 0.056688455524223955 0.012091546738644876  -1.6775095161652167 -1.6775095161652167 -1.6775095161652167 0.0 0.0 0.0 311.0508688055413 -0.07998309979976585 6.770093367704897 1.1966984921266828E-4 1.6775095161652167 2.6719588471748206 4.072358753962781E-6 11.597752071331396 311.0508688055413
11.606261059615923 0.9772727293312061 0.058597630031001505 0.012489791004012919  -1.7340907138261947 -1.7340907138261947 -1.7340907138261947 0.0 0.0 0.0 311.6609053618957 -0.07977259290960673 6.782790174659679 1.1966556581909008E-4 1.7340907138261947 2.671029679822088 4.060197833680908E-6 11.606261059615923 311.6609053618957
