#model: tadap
# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
21.45 1.0 0.0 -248120.59433644896  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 2.7879955846310013E-4 15.293752574432482 1.2107787446973502E-4 0.0 0.0 0.0 21.45 298.0
21.45 1.0 0.0 -248120.59433644896  0.0 0.0 0.0 0.0 0.0 0.0 298.0 2.7879955846310013E-4 15.293752574432482 1.2107787446973502E-4 0.0 0.0 0.0 21.45 298.0
21.488617702729655 0.998202876366275 0.007054412496195091 -248120.59337373165  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 2.780789350223534E-4 15.468523038893277 1.2123614186238531E-4 0.0 0.0 0.0 21.488617702729655 298.0
21.527235405496565 0.9964122004501866 0.014136052808041772 -248120.59241101434  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 2.7735831177693436E-4 15.64329350352267 1.2139440925518826E-4 0.0 0.0 0.0 21.527235405496565 298.0
21.56585310830053 0.994627937614212 0.02124460024285751 -248120.59144829703  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 2.766376883361876E-4 15.81806396831976 1.215526766481431E-4 0.0 0.0 0.0 21.56585310830053 298.0
21.604470811141358 0.992850053468484 0.028379739530587086 -248120.59048557974  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 2.75917064797777E-4 15.99283443328368 1.21710944041249E-4 0.0 0.0 0.0 21.604470811141358 298.0
21.643088514018842 0.9910785138685833 0.03554116068382735 -248120.5895228624  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 2.751964414546941E-4 16.167604898413497 1.2186921143450511E-4 0.0 0.0 0.0 21.643088514018842 298.0
21.681706216932792 0.9893132849133508 0.0427285588629433 -248120.5885601451  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 2.7447581811161127E-4 16.34237536370834 1.2202747882791071E-4 0.0 0.0 0.0 21.681706216932792 298.0
21.72032391988301 0.9875543329427259 0.04994163424601875 -248120.58759742777  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 2.737551947685284E-4 16.517145829167326 1.2218574622146493E-4 0.0 0.0 0.0 21.72032391988301 298.0
21.75894162286931 0.9858016245356067 0.0571800919034301 -248120.58663471046  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 2.730345713277816E-4 16.691916294789607 1.2234401361516702E-4 0.0 0.0 0.0 21.75894162286931 298.0
21.797559325891502 0.984055126507734 0.06444393198129765 -248120.58549424418  -0.37126959061775944 -0.37126959061775944 -0.37126959061775944 0.0 0.0 0.0 299.4509847709979 2.7296327603563866E-4 16.869376328242407 1.225022810090162E-4 0.37126959061775944 2.7363132250662683 9.115974250651112E-7 21.797559325891502 299.4509847709979
21.836177028949386 0.9823148059095962 0.0717333307442499 -248120.5843535815  -1.0921905148171958 -1.0921905148171958 -1.0921905148171958 0.0 0.0 0.0 300.89982654185576 2.7288899305350596E-4 17.048478577631567 1.2266054840301166E-4 1.0921905148171958 2.717259219164952 8.953106244779843E-7 21.836177028949386 300.89982654185576
21.874794732042776 0.9805806300243574 0.0790483457678271 -248120.58321316275  -1.8129870001734005 -1.8129870001734005 -1.8129870001734005 0.0 0.0 0.0 302.3429480249743 2.7281019706354784E-4 17.22920870085092 1.2281881579715264E-4 1.8129870001734005 2.698309059399594 8.793206636640105E-7 21.874794732042776 302.3429480249743
