# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
21.458213510957346 1.0 0.0 4.495695853489647E-4  -1.0130939657871936E-4 -1.0130939657871936E-4 -1.0130939657871936E-4 0.0 0.0 0.0 292.99999974497496 2.1207091591807033E-4 16.793647756813897 1.247345598711625E-4 1.0130939657871936E-4 2.69999574037102 9.345687951141237E-7 21.458213510957346 292.99999974497496
21.475383513936706 0.9992004797973356 0.003281723087838216 0.0013510016806020056  -0.3082332386151398 -0.3082332386151398 -0.3082332386151398 0.0 0.0 0.0 293.63336156734823 2.1211196365987815E-4 16.87520486649112 1.2471559361168673E-4 0.3082332386151398 2.6992080349025223 9.28896088214462E-7 21.475383513936706 293.63336156734823
21.492553516917525 0.9984022370383702 0.006568542795298277 0.0025213494396152183  -0.650550045467534 -0.650550045467534 -0.650550045467534 0.0 0.0 0.0 294.26736256104914 2.1216089804626913E-4 16.952349314103618 1.2469500013910143E-4 0.650550045467534 2.698264399897096 9.23454780690213E-7 21.492553516917525 294.26736256104914
21.5097235198998 0.9976052686639696 0.009860218902729754 0.0036917507506774717  -0.9928740818384333 -0.9928740818384333 -0.9928740818384333 0.0 0.0 0.0 294.9020025352975 2.1220880568465446E-4 17.029492861121923 1.2467440666651442E-4 0.9928740818384333 2.6973226717001895 9.180655053035119E-7 21.5097235198998 294.9020025352975
21.526893522883533 0.9968095716247596 0.013156726622229439 0.004862205555556199  -1.3352053505810564 -1.3352053505810564 -1.3352053505810564 0.0 0.0 0.0 295.53728133962807 2.1225569115362194E-4 17.10663550495263 1.2465381319392565E-4 1.3352053505810564 2.696382845947392 9.127275492215357E-7 21.526893522883533 295.53728133962807
21.54406352586871 0.9960151428810873 0.016458041340221247 0.006032713796088351  -1.677543854550531 -1.677543854550531 -1.677543854550531 0.0 0.0 0.0 296.17319882403916 2.1230155900654396E-4 17.183777243003554 1.2463321972133514E-4 1.677543854550531 2.695444918288338 9.074402124565188E-7 21.54406352586871 296.17319882403916
21.56123352885534 0.9952219794029816 0.019764138615612128 0.007203275414182038  -2.0198895966043953 -2.0198895966043953 -2.0198895966043953 0.0 0.0 0.0 296.8097548389939 2.1234641377174224E-4 17.260918072683836 1.246126262487429E-4 2.0198895966043953 2.694508884386648 9.022028075782719E-7 21.56123352885534 296.8097548389939
21.57840353184341 0.9944300781701159 0.02307499417796605 0.008373890351814885  -2.3622425796021105 -2.3622425796021105 -2.3622425796021105 0.0 0.0 0.0 297.4469492354199 2.1239025995265095E-4 17.338057991403844 1.2459203277614893E-4 2.3622425796021105 2.6935747399198755 8.970146594343987E-7 21.57840353184341 297.4469492354199
21.59557353483292 0.9936394361717684 0.026390583925712557 0.009544558551034926  -2.7046028064053487 -2.7046028064053487 -2.7046028064053487 0.0 0.0 0.0 298.08478186470944 2.124331020279787E-4 17.41519699657523 1.2457143930355322E-4 2.7046028064053487 2.6926424805794533 8.91875104877949E-7 21.59557353483292 298.08478186470944
21.612743537823867 0.9928500504067851 0.02971088392437917 0.010715279953960611  -3.046970279878002 -3.046970279878002 -3.046970279878002 0.0 0.0 0.0 298.7232525787203 2.1247494445186932E-4 17.492335085610925 1.245508458309558E-4 3.046970279878002 2.691712102070634 8.867834925022852E-7 21.612743537823867 298.7232525787203
21.629913540816247 0.9920619178835414 0.03303587040484776 0.01188605450278008  -3.3893450028859746 -3.3893450028859746 -3.3893450028859746 0.0 0.0 0.0 299.36236122977533 2.1251579165406138E-4 17.56947225592508 1.2453025235835668E-4 3.3893450028859746 2.6907836001124403 8.81739182382949E-7 21.629913540816247 299.36236122977533
21.64708354381006 0.9912750356199037 0.03636551976164126 0.013056882139752075  -3.731726978297474 -3.731726978297474 -3.731726978297474 0.0 0.0 0.0 300.0021076706632 2.125556480400467E-4 17.64660850493314 1.245096588857558E-4 3.731726978297474 2.6898569704376083 8.767415458262951E-7 21.64708354381006 300.0021076706632
21.6642535468053 0.9904894006431929 0.039699808551230654 0.014227762807205203  -4.074116208982801 -4.074116208982801 -4.074116208982801 0.0 0.0 0.0 300.6424917546381 2.125945179912274E-4 17.72374383005179 1.2448906541315325E-4 4.074116208982801 2.6889322087925303 8.717899651247064E-7 21.6642535468053 300.6424917546381
21.681423549801956 0.9897050099901467 0.04303871349036786 0.01539869644753772  -4.416512697814292 -4.416512697814292 -4.416512697814292 0.0 0.0 0.0 301.2835133354204 2.1263240586507197E-4 17.800878228698934 1.2446847194054898E-4 4.416512697814292 2.6880093109372067 8.668838333181768E-7 21.681423549801956 301.2835133354204
21.698593552800038 0.988921860706881 0.04638221145444829 0.01656968300321914  -4.7589164476668175 -4.7589164476668175 -4.7589164476668175 0.0 0.0 0.0 301.9251722671971 2.1266931599527006E-4 17.878011698293808 1.24447878467943E-4 4.7589164476668175 2.687088272645188 8.620225539620672E-7 21.698593552800038 301.9251722671971
21.715763555799537 0.9881399498488549 0.04973027947588604 0.01774072241678806  -5.101327461417149 -5.101327461417149 -5.101327461417149 0.0 0.0 0.0 302.56746840462125 2.1270525269188645E-4 17.955144236256817 1.244272849953353E-4 5.101327461417149 2.6861690897035224 8.572055409008704E-7 21.715763555799537 302.56746840462125
