#rho T p e s c^2 cv gamma alpha
0.0 293.0 0.0 3.990832632032413 0.001194505984746943 NaN 7.810240451633168E-5 NaN NaN
2.145E-5 293.0 2.513328906676813E-7 3.990832632032413 0.001194505984746943 0.006364280454224909 7.810240451633168E-5 0.550332905069101 314.85694642975903
4.29E-5 293.0 4.864015765836777E-7 3.9900044977762166 0.0011641444245359721 0.01908660331835603 7.657560925957717E-5 0.5586942910658379 52.24909286626676
1.0725E-4 293.0 1.1319378106180544E-6 3.9884678982992994 0.0011242498755438433 0.013293527405482078 7.47509027332142E-5 0.5689094919250832 29.82785927764663
2.145E-4 293.0 2.0639845038734674E-6 3.9867602292638242 0.0010942506878088504 0.012941009216727951 7.352201874606268E-5 0.575909092876877 15.253725115397483
4.29E-4 293.0 3.5305367665157665E-6 3.9843000486352564 0.0010644021339558025 0.009962363424264802 7.2392438515462E-5 0.5824967784844047 9.866589527777945
0.0010725 293.0 5.64279902150423E-6 3.979191699345464 0.0010251659694069952 0.0030958517592739273 7.110148968047722E-5 0.5901580263312154 12.637744189350697
0.002145 293.0 3.568827343232265E-6 3.973087047886754 9.956403136095798E-4 -0.0058017570685587536 7.025740774991066E-5 0.5953377482352983 -3.361001495668777
0.00429 293.0 -1.6179996965115832E-5 3.9639278208858144 9.662347597195415E-4 -0.026915115637844177 6.95250425454528E-5 0.6000481099570583 -0.3613048515046068
0.010725 293.0 -1.6573197138649144E-4 3.944333785732285 9.275186522767248E-4 -0.03822525620340661 6.875543843229389E-5 0.6054495543572797 -0.10154003618895022
0.02145 293.0 -6.366412760191358E-4 3.920525023952066 8.983205557542182E-4 -0.05851716722478966 6.8320984497439E-5 0.6090920949206128 -0.03315327899230929
0.032175 293.0 -0.0013253383268744515 3.9012790471382517 8.812634927024153E-4 -0.11471849957568753 6.812237698436484E-5 0.6111745397460009 -0.011279842450688162
0.053625 293.0 -0.0032338352451139448 3.869339878477028 8.597835756117422E-4 -0.14191890591884115 6.796100837999725E-5 0.6135862311204654 -0.005479335082002641
0.0858 293.0 -0.007197472428380269 3.8299443261209847 8.400127231808483E-4 -0.18829180018785557 6.787411759302627E-5 0.6160061591663608 -0.0025880374447854915
0.1287 293.0 -0.014197250432393381 3.7858023261209843 8.229329039961073E-4 -0.2912083032461147 6.787411759302627E-5 0.6181902304799144 -0.0011195513891755612
0.2145 293.0 -0.03307351542769507 3.7125077505787547 8.013469936745991E-4 -0.3290132443390128 6.798583431912946E-5 0.6214076836680514 -5.986243428653375E-4
0.32175 293.0 -0.06433279263665129 3.6360488552908423 7.841160549687255E-4 -0.520926323061605 6.81596158930714E-5 0.6249967277102435 -2.541616486022392E-4
0.53625 293.0 -0.14794128720409033 3.50908580891847 7.621862956198355E-4 -0.6256114543956981 6.855683091921421E-5 0.6319324950503978 -1.2913662298031826E-4
0.858 293.0 -0.3169874098628491 3.3524348033090496 7.416148755007702E-4 -0.8134931737654361 6.914024048887334E-5 0.6439760120190827 -6.379099484963552E-5
1.287 293.0 -0.6101086656911728 3.1769147745134427 7.232999777454075E-4 -0.9883523194276649 6.992225757160112E-5 0.6636301150769405 -3.647969469260183E-5
1.716 293.0 -0.9695017266049659 3.0238588096669727 7.09750704372965E-4 -1.2342119479406988 7.069186168476005E-5 0.6868168413383827 -2.292468226520639E-5
2.145 293.0 -1.387239885909914 2.8856394611256824 6.987491340297837E-4 -1.5088969458196424 7.15359436153266E-5 0.7158438183945866 -1.582179354541638E-5
2.68125 293.0 -1.9830615975665615 2.727737124551737 6.869733167541574E-4 -1.7009895431899225 7.334823717213174E-5 0.7773531821593589 -1.2501701006429052E-5
3.2175 293.0 -2.6539553638204145 2.582103276384698 6.762008658959867E-4 -1.9716472571991472 7.525983448546569E-5 0.850792142232001 -1.009343416197096E-5
3.75375 293.0 -3.3939184475744435 2.4459510908952113 6.660286663089664E-4 -2.2325202059570493 7.684869459005897E-5 0.9208042805199625 -8.443899986780737E-6
4.29 293.0 -4.197416748977482 2.3174606727953635 6.562179543433602E-4 -2.717799277262122 7.828859905984248E-5 0.9962290761402784 -6.689336813995199E-6
5.3625 293.0 -5.974857754164862 2.078689941307756 6.371010475028208E-4 -2.9908155663351415 8.134218957335148E-5 1.1893696618250487 -6.032200627079378E-6
6.435 293.0 -7.953172656868283 1.8590186286684982 6.180801555470459E-4 -3.5688312044781174 8.509090638262554E-5 1.3937501027216177 -5.164086442280689E-6
7.5075 293.0 -10.094690081987665 1.65441554303018 5.984101867034753E-4 -4.168066717522798 8.957198839635746E-5 1.6251302282344384 -4.651900111848236E-6
8.58 293.0 -12.35573022024332 1.4623894285962546 5.775835986011825E-4 -4.772678695091841 9.483508749281716E-5 1.877463723013442 -4.348015840602376E-6
9.6525 293.0 -14.679381768339232 1.2814209656210396 5.552406790861324E-4 -5.348554263386161 1.0094226851984065E-4 2.141943607757664 -4.187982678303338E-6
10.725 293.0 -16.98827489455803 1.1106950262062614 5.311293526160954E-4 -5.843699720941169 1.079183574165629E-4 2.4090777713966305 -4.14821210470738E-6
11.7975 293.0 -19.17601058244136 0.9499696359315748 5.050880337385754E-4 -6.187137044312758 1.1575838899515691E-4 2.6693627885264637 -4.233312748050238E-6
12.87 293.0 -21.09734127028124 0.799515372732678 4.7703872140653845E-4 -6.934460890480716 1.245442888547667E-4 2.912571932046902 -4.064519646382296E-6
13.9425 293.0 -23.96247305763714 0.6021796333548906 3.874183879040577E-4 -7.298858852782042 1.2996751525864205E-4 3.0574969357856485 -3.9048578450267704E-6
15.015 293.0 -25.522093603522308 0.4665985634969322 3.579030125485192E-4 -6.279495336501047 1.2970932549164673E-4 3.0670638833708868 -4.219334377435109E-6
16.0875 293.0 -26.275007305740132 0.34325134535922514 3.304871632587273E-4 -5.128555685795247 1.2938286439203098E-4 3.0548075678170097 -4.790457418785511E-6
17.16 293.0 -25.834949168033127 0.23410930684004275 3.0509360686337914E-4 -3.786649803752464 1.289633060206626E-4 3.020718220826031 -5.99520374415727E-6
17.69625 293.0 -25.01707964294093 0.18563070500751608 2.931356419790494E-4 -2.245484776401563 1.2871132273844997E-4 2.9954627574654222 -9.702626591554594E-6
18.2325 293.0 -23.704614833635176 0.14169486944274456 2.8166132937591315E-4 -0.8667909981664464 1.2842706573536298E-4 2.9647933794611006 -2.4092972091391505E-5
18.76875 293.0 -21.814407705710835 0.10271130781962466 2.706649202132797E-4 0.7466817129143872 1.2810904545505324E-4 2.9286378696973836 2.6771617074750288E-5
19.305 293.0 -19.25343186425425 0.06913033868340597 2.601408720453719E-4 2.525597978742465 1.277536621363466E-4 2.8870163295612237 7.564645339143709E-6
19.78653 293.0 -16.297018532153935 0.043984741641429036 2.5108925353341385E-4 4.52920178412603 1.2740175444911863E-4 2.8450712603180617 4.044615573434924E-6
20.26806 293.0 -12.633207997365968 0.023980060227715934 2.4241108730264932E-4 6.690448826022895 1.270176971707119E-4 2.7986534604031705 2.6214762417368974E-6
20.74959 293.0 -8.17086451007747 0.009534136621013744 2.3410299253781922E-4 9.113313595477681 1.2660106739125312E-4 2.7478385938579764 1.8396819683830035E-6
21.23112 293.0 -2.8102036170350626 0.0010962029589776205 2.2616186284400995E-4 11.60252522584731 1.2615164428401375E-4 2.692627549326615 1.3789349339596685E-6
21.71265 293.0 3.3519000198322018 -9.216279220384798E-4 2.1858379182630781E-4 13.871881199159406 1.256701389880203E-4 2.634133788797563 1.099060834952098E-6
22.19418 293.0 10.164399533662111 0.003632550674124796 2.1135457308979916E-4 16.016246672674313 1.2515670753430018E-4 2.5778753680138027 9.076453638326171E-7
22.67571 293.0 17.647341628643673 0.014834686831798059 2.0445220023957033E-4 18.211048027002004 1.2461143060715562E-4 2.52441252062383 7.617673835985302E-7
23.15724 293.0 25.819528072166523 0.0327513797632102 1.9785607967053498E-4 20.453431507744327 1.2403436406494968E-4 2.47352409152012 6.477466737318143E-7
23.63878 293.0 34.69919835263757 0.057440505828869844 1.915475985928658E-4 22.74183701477396 1.2342563203737795E-4 2.4250893635448483 5.567785621315123E-7
24.12031 293.0 44.30399374903955 0.08895179240686239 1.8550945700656276E-4 25.074494784699304 1.2278574345619283E-4 2.3788767676100364 4.829529382465112E-7
24.60184 293.0 54.65103426137245 0.12732738757871376 1.797259485167122E-4 27.4492097031543 1.2211507071048107E-4 2.3347537764036455 4.221948360089003E-7
25.08337 293.0 65.75689052912766 0.17260230070493257 1.7418254754365955E-4 29.864428549527275 1.2141373792993897E-4 2.292563323196278 3.7157721609932304E-7
25.5649 293.0 77.63761063383106 0.22480506091416558 1.688658540874047E-4 32.31871223971219 1.2068385531939185E-4 2.2522835709242743 3.2898348621156746E-7
26.04643 293.0 90.30870713344811 0.28395797460132643 1.6376344896320674E-4 34.810236167572654 1.1992418158188382E-4 2.213680298115882 2.927969088206183E-7
26.52796 293.0 103.78515938848747 0.35007752897658795 1.5886381298632466E-4 37.337809600912074 1.1913719931132905E-4 2.1766618805154523 2.6180966035896613E-7
27.00949 293.0 118.08164484098366 0.4231750304348636 1.5415642697201747E-4 39.900027819639675 1.1832166721076839E-4 2.14132712717887 2.351027542778931E-7
27.49102 293.0 133.21204308330718 0.5032567597914125 1.4963127173554417E-4 42.49430699367497 1.1748130917107483E-4 2.106954177349412 2.1188600039152517E-7
27.97255 293.0 149.19003493071702 0.5903243234411483 1.4527922809216384E-4 45.12154580646522 1.166148838952882E-4 2.0746531260370915 1.9168293500369043E-7
28.45408 293.0 166.02873956795418 0.68437520219933 1.4109157685713542E-4 47.7781640372485 1.1572611527428285E-4 2.043144364520456 1.7392276195943186E-7
28.93561 293.0 183.74085060010503 0.7854026216456123 1.3706051803045896E-4 50.46427133117419 1.1481003812022905E-4 2.01284421028157 1.5826080661430588E-7
29.41714 293.0 202.33856163225585 0.8933964306206857 1.3317826847825684E-4 53.17811491951253 1.1387658280878216E-4 1.9838972877671253 1.4441763362988635E-7
29.89867 293.0 221.83377905932036 1.0083422866787735 1.2943803331646E-4 55.91892712819088 1.1291457766732799E-4 1.9560747123576174 1.3210667229120893E-7
30.3802 293.0 242.2379028812985 1.1302243066859978 1.2583309527880153E-4 58.68630003634975 1.1194015955631048E-4 1.9290528764730868 1.2111632799967377E-7
30.86173 293.0 263.5619330981903 1.2590223586677907 1.223572307041009E-4 61.47710448530568 1.1095953496050854E-4 1.9026870751939817 1.1127518477163471E-7
31.34327 293.0 285.8165697099958 1.3947126024969931 1.1900480058338474E-4 64.29204699220128 1.0994167145600555E-4 1.8774719555786963 1.0243166603974565E-7
31.8248 293.0 309.01211271671497 1.5372708463261955 1.1577009660326536E-4 67.128151440972 1.089238079514998E-4 1.852736323966346 9.446394118224572E-8
32.30633 293.0 333.1584493285204 1.686669218053671 1.1264826760443343E-4 69.98743719098648 1.0788111850786184E-4 1.8295833141814413 8.729510982524673E-8
32.78786 293.0 358.26519233523953 1.8428777176794202 1.0963402317925943E-4 72.86879244565064 1.0681360312508893E-4 1.8072617843429215 8.079658144899491E-8
33.26939 293.0 384.34134813178605 2.0058652173051694 1.067229230397873E-4 75.76545856298783 1.0574608774231877E-4 1.7849712402752038 7.488234526988618E-8
33.75092 293.0 411.3960975334188 2.175598716930918 1.039106416063624E-4 78.6835407805558 1.0467857235954034E-4 1.763745835276368 6.952232404641802E-8
34.23245 293.0 439.4377533299653 2.3520412805058037 1.0119305457831281E-4 81.62104650674078 1.0359864400720959E-4 1.7430625812628895 6.462892164016607E-8
34.71398 293.0 468.47461552142545 2.5351569080298257 9.85663325390357E-5 84.5724907820308 1.0250630268529345E-4 1.722898681748374 6.015569899814523E-8
35.19551 293.0 498.5147713179719 2.7249066634521215 9.602658589616056E-5 87.54211451079108 1.0138913542425613E-4 1.7041367714686109 5.60778780947029E-8
35.67704 293.0 529.5656399043457 2.9212532909761433 9.357079709546444E-5 90.52779366182637 1.0029679410235102E-4 1.6848759352967986 5.232198688561807E-8
36.15857 293.0 561.6347084907195 3.1241531103475757 9.119486747202429E-5 93.53116233451154 9.916721387173932E-5 1.6668350479895961 4.887571878162054E-8
36.6401 293.0 594.7290706821796 3.333565865769871 8.889599842449626E-5 96.54610728986042 9.8050046610702E-5 1.6495050540362624 4.572040163781884E-8
37.12163 293.0 628.8554392685534 3.549447685141303 8.667117012864802E-5 99.57533775537367 9.692046638009031E-5 1.6325928628868205 4.2806977359016844E-8
37.60316 293.0 664.0203206447544 3.7717564405635984 8.451750339973859E-5 102.61299671339954 9.580329911905299E-5 1.6153196870605435 4.010626670006924E-8
38.08469 293.0 700.2301892311283 4.00044625993503 8.243226777404424E-5 105.66953033926856 9.46737188884413E-5 1.599466079191767 3.7627405105757156E-8
38.56622 293.0 737.4908642124158 4.235472015357327 8.041277110122901E-5 108.73164958810098 9.355655162740398E-5 1.5835631436024962 3.5330236124769464E-8
39.04776 293.0 775.8082391937031 4.476787834728758 7.84566652436728E-5 111.81139029350864 9.24269713967923E-5 1.5683597402273532 3.320184631432678E-8
39.52929 293.0 815.1879141749906 4.724347590151053 7.656148996951376E-5 114.90209331953561 9.130980413574946E-5 1.5534216589120153 3.1229124749814934E-8
40.01082 293.0 855.6361891562781 4.978098409522485 7.472499673350224E-5 117.98213212631256 9.01802239051488E-5 1.5391569546714199 2.940360134181896E-8
40.49235 293.0 897.1403705324792 5.237995164944781 7.294500210631957E-5 121.05462209024911 8.906305664410596E-5 1.5247857997558065 2.770461226600734E-8
40.97388 293.0 939.7045455137667 5.503985920367077 7.121944074017297E-5 124.13259289175416 8.794588938306313E-5 1.5111956285705 2.6130235003783182E-8
41.45541 293.0 983.3363268899677 5.7760176757893715 6.954631920574373E-5 127.23001739627067 8.682872212202029E-5 1.4976864333638364 2.4655482386568214E-8
41.93694 293.0 1028.0435018712553 6.054040367262531 6.792376343422183E-5 130.3457760917953 8.572396783054632E-5 1.4847219984248015 2.328379181227586E-8
42.41847 293.0 1073.8347576678018 6.338001058735689 6.634994127527127E-5 133.47996843684055 8.461921353907234E-5 1.4731986265454697 2.2017053352769253E-8
42.9 293.0 1120.716013464348 6.627851686259712 6.482312185753884E-5 160.89003240474318 8.352687221716722E-5 1.4618561207943457 1.769067557175651E-8
48.2625 293.0 1718.7110830229058 10.239599734498993 5.0550879063205605E-5 171.24040381897169 7.187109379363062E-5 1.3383916665439 1.163915415508718E-8
53.625 293.0 2462.773896784917 14.515792812282386 4.014777434800257E-5 208.88961243260616 6.156832905293413E-5 1.2406947890814823 6.819274552033299E-9
58.9875 293.0 3361.849326852108 19.403929495152113 3.242681802621372E-5 248.05188588557021 5.250686126892494E-5 1.170260357880986 4.1994849399303135E-9
64.35 293.0 4424.0884371736165 24.860427864634083 2.660087530720238E-5 288.6762123672195 4.505907952862469E-5 1.1087779682829022 2.6894740225376126E-9
69.7125 293.0 5656.922291698578 30.847371118185126 2.2136517899862094E-5 330.79543928518314 3.8604335353744847E-5 1.0608568610034217 1.7759171384075637E-9
75.075 293.0 7067.184954376131 37.332617976822505 1.8665756852249667E-5 374.01848454141236 3.339088813557436E-5 1.010142274080978 1.2012187709330072E-9
80.4375 293.0 8661.074297308 44.28432035902032 1.5930607544513533E-5 418.55654455351754 2.9046348787025452E-5 0.9722471260994536 8.387943856540762E-10
85.8 293.0 10444.419768138141 51.678279543761306 1.3747600023239566E-5 501.6842486530265 2.5322457916941476E-5 0.9141185611761367 5.377626457963347E-10
96.525 293.0 14600.57168661224 67.70226832087279 1.0544389740079866E-5 552.1060521352266 1.9736621611639114E-5 0.8470448722005673 3.137017305296155E-10
107.25 293.0 19574.15296559497 85.2403287845965 8.3657007012732E-6 648.7869880074065 1.5764471350133885E-5 0.8075913587824574 1.82966526325864E-10
117.975 293.0 25398.94360508634 104.16053605086339 6.826855222284013E-6 753.6912063124457 1.2412969567181786E-5 0.8476372112571928 1.1833201786670735E-10
128.7 293.0 32104.484884069072 124.3445488406907 5.703693716373577E-6 856.7189768512363 9.930375653674869E-6 0.7770007770195482 6.997939716156028E-11
139.425 293.0 39717.46488406907 145.7033552356044 4.860215539333598E-6 978.5873025002477 8.689078697274208E-6 0.8196931273761162 5.22017178495897E-11
150.15 293.0 48261.25552356044 168.14496163051805 4.210853499538858E-6 1067.72020569791 7.4477817401679526E-6 0.7770007770085587 3.609654175442452E-11
160.875 293.0 57757.1361630518 191.59656163051804 3.6999867158100273E-6 1169.15585827067 7.4477817401679526E-6 0.6216006215853102 2.461372879621127E-11
171.6 293.0 68224.32616305181 215.9923680254317 3.290381535870379E-6 1319.7544967414096 6.206484783414494E-6 0.6993006992900992 1.916457636386413E-11
182.325 293.0 79680.27680254317 241.27397442034535 2.956448980987055E-6 1403.2439848986392 4.9651878266610355E-6 0.6855889209488999 1.3305158767571462E-11
193.05 293.0 92140.93680254318 267.38957442034535 2.6801776610725555E-6 1545.9616281256497 4.965187827013833E-6 0.6475006475168422 1.0772273538787447E-11
203.775 293.0 105620.8 294.290680815259 2.4486187686967253E-6 1641.5328276331925 3.7238908699075774E-6 0.0 0.0
214.5 293.0 120133.5 321.93868081525903 2.2522762728010737E-6 1923.566616783457 3.723890870613173E-6 0.0 0.0
235.95 293.0 152304.6 379.300580815259 1.9386171859169898E-6 2012.8571193208813 3.723890870613173E-6 0.0 0.0
257.4 293.0 188742.5 439.211680815259 1.7003823579341843E-6 2320.7665708750123 3.7238908699075774E-6 0.0 0.0
278.85 293.0 229522.6 501.4375872101727 1.5141236420591132E-6 2797.3156725239573 2.4825939135069166E-6 0.0 0.0
321.75 293.0 324362.4 632.0652936050864 1.243127252020273E-6 3479.2458448885977 1.2412969564006606E-6 0.0 0.0
375.375 293.0 468338.2 805.3418936050864 1.018689783693082E-6 3930.4941605727527 1.2412969564006606E-6 0.0 0.0
429.0 293.0 641147.3936050864 987.9869936050865 8.658971197300428E-7 NaN 1.2412969578118518E-6 2.331002328394689 NaN
482.625 293.0 843257.6 1178.551 7.554502688243306E-7 NaN 0.0 NaN NaN
536.25 293.0 1075012.0 1375.847 6.719715663984639E-7 NaN 0.0 NaN NaN
643.5 293.0 1628492.0 1787.642 5.541807617867975E-7 NaN 0.0 NaN NaN
750.75 293.0 2303001.0 2217.953 4.7494951064772125E-7 NaN 0.0 NaN NaN
858.0 293.0 3099333.0 2663.176 4.1787510984671227E-7 NaN 0.0 NaN NaN
1072.5 293.0 5058493.0 3587.507 3.408037231171698E-7 NaN 0.0 NaN NaN
1287.0 293.0 7506059.0 4545.963 2.9082941889303623E-7 NaN 0.0 NaN NaN
1501.5 293.0 1.043981E7 5529.115 2.5555397673412293E-7 NaN 0.0 NaN NaN
1716.0 293.0 1.385645E7 6530.767 2.2917717497781183E-7 NaN 0.0 NaN NaN
1930.5 293.0 1.775209E7 7546.482 2.086165947335494E-7 NaN 0.0 NaN NaN
2145.0 293.0 2.212272E7 8573.231 1.9207918454001883E-7 NaN 0.0 NaN NaN
2681.25 293.0 3.509953E7 11173.49 1.6191177552671336E-7 NaN 0.0 NaN NaN
