#rho	#P	#dP
21.45	0	0
21.65	2.8	0.1
21.85	5.6	0.1
22.05	8.4	0.2
22.25	11.4	0.3
22.45	14.5	0.3
22.65	17.7	0.4
22.85	21.1	0.4
23.05	24.5	0.5
23.25	28	0.5
23.45	31.6	0.5
23.65	35.4	0.6
23.85	39.3	0.6
24.05	43.4	0.7
24.25	47.6	0.7
24.45	52	0.8
24.65	56.5	0.9
24.85	61.1	1.1
25.05	65.9	1.2
25.25	70.8	1.4
25.45	75.8	1.5
25.65	81	1.7
25.85	86.3	1.8
26.05	91.7	2
26.25	97.3	2.1
26.45	103	2.3
26.65	108.9	2.5
26.85	115	2.7
27.05	121.2	2.9
27.25	127.6	3.1
27.45	134.1	3.3
27.65	140.7	3.5
27.85	147.5	3.7
28.05	154.5	3.9
28.25	161.6	4.1
28.45	168.9	4.3
28.65	176.4	4.5
28.85	184.1	4.7
29.05	191.9	5
29.25	199.9	5.3
29.45	208.1	5.5
29.65	216.4	5.8
29.85	224.9	6.1
30.05	233.6	6.3
30.25	242.4	6.6
30.45	251.4	6.9
30.65	260.5	7.2
30.85	269.9	7.5
31.05	279.4	7.9
31.25	289.1	8.2
31.45	299	8.6
31.65	309	8.9
31.85	319.2	9.2
32.05	329.5	9.5
32.25	340	9.9
32.45	350.7	10.3
32.65	361.5	10.7
32.85	372.7	11.1
33.05	384	11.5
33.25	395.5	11.9
33.45	407.1	12.4
33.65	419	13
33.85	431.1	13.4
34.05	443.4	13.9
34.25	456	14.4
34.45	468.8	14.8
34.65	481.7	15.3
34.85	494.8	15.7
35.05	508.1	16.3
35.25	521.5	16.7
35.45	535	17.2
35.65	548.6	17.9
35.85	562.5	18.2
36.05	576.4	18.8
36.25	590.6	19.2
36.45	605	19.8
36.65	619.6	20.3
36.85	634.4	20.7
37.05	649.4	21.2
37.25	664.5	21.7
37.45	679.9	22.2
37.65	695.3	22.7
37.85	710.9	23.2
38.05	726.7	23.8
38.25	742.6	24.3
38.45	758.5	24.5
38.65	774.1	24.2
38.85	789	23.6
39.05	804.7	27.8
