#Yuto Kidokoro; Koichiro Umemoto; Kei Hirose; Yasuo Ohishi
#American Mineralogist 2017 102 (11): 2230–2234
# DCS 8/27/22 added cols for rho, drho
#SiC, 300 K
#Mr=40.096
#p/GPa dp/GPa v/cc/mol dv/cc/mol rho/g/cc drho/g/cc
#ZnS
68.7 0.5 10.12 0.02 3.962055335968379 0.007845654130630653
69.5 0.6 10.11 0.01 3.9659742828882294 0.003926707210780478
69.8 0.8 10.12 0.02 3.962055335968379 0.007845654130630653
70.3 0.3 10.14 0.02 3.9542406311637075 0.00781470480467128
56.5 0.7 10.37 0.01 3.8665380906460944 0.0037321796241758243
78.3 0.8 9.92 0.05 4.041935483870968 0.02047586364676235


#NaCl
68.2 0.5 8.37 0.01 4.790442054958184 0.005730193845643328
69.5 0.6 8.34 0.01 4.807673860911271 0.005771517239989699
69.8 0.8 8.34 0.01 4.807673860911271 0.005771517239989699
70.3 0.3 8.35 0.01 4.801916167664671 0.005757693246599693
50.1 0.2 8.68 0.02 4.619354838709677 0.010668255978544039
63.9 0.4 8.47 0.01 4.73388429752066 0.005595607916690781
64.2 0.6 8.43 0.01 4.756346381969157 0.00564886743701809
75.6 0.2 8.28 0.01 4.842512077294686 0.005855516417526019
93.0 0.7 7.98 0.01 5.024561403508772 0.006304343040788751
95.2 1.0 7.95 0.01 5.043522012578616 0.006352042837000305
97.5 0.9 7.90 0.02 5.075443037974683 0.012881835121762997
