#rho e p
50.0247 175.618 50560.2
38.5318 -54.5614 30024.9
30.3063 -219.421 18292.3
24.2649 -338.417 11192.8
19.7283 -421.802 7026.83
16.2556 -482.56 4441.16
13.5524 -525.977 2839.4
12.4236 -542.774 2278.2
11.4168 -557.496 1822.78
10.5159 -569.75 1457.89
9.70737 -580.228 1117.3
8.97963 -588.975 969.371
8.32286 -596.119 788.18
7.7286 -602.122 630.45
7.1896 -608.434 453.578
6.69957 -612.519 352.393
6.25309 -615.479 296.923
5.84541 -618.128 186.578
5.47241 -620.192 173.539
5.13049 -621.844 119.579
4.81647 -623.056 78.0368
4.52756 -623.901 50.7625
4.2613 -624.412 31.0635
4.01552 -624.989 14.0954
3.78828 -624.865 2.84918
3.57787 -624.825 -6.91091
3.38276 -624.861 -15.4843
3.03311 -624.153 -24.0594
2.73004 -623.206 -28.3936
2.235 -620.758 -30.2693
2.03195 -619.39 -24.918
1.85277 -618.206 -27.5472
1.69405 -616.871 -25.2412
1.55295 -615.588 -22.9369
1.4271 -614.35 -21.1204
1.31449 -613.087 -19.7807
1.21342 -611.686 -17.6574
1.12245 -610.625 -15.9578
2.46603 -622.009 -29.8207
1.04036 -609.543 -14.4711
