#rho e p
33.2914 -168.634 22397.9
28.7584 -259.474 16420.1
25.0123 -333.335 12127.1
21.8897 -393.374 8989.05
19.2659 -441.121 6699.24
17.0452 -481.008 4995.28
16.0621 -497.782 4320.19
15.1531 -512.55 3742.47
14.3115 -525.853 3245.09
13.531 -538.28 2808.92
12.8063 -549.229 2435.12
12.1324 -559.181 2109.68
11.505 -568.091 1826.18
10.9201 -575.92 1583.1
10.3742 -583.202 1370.41
9.86413 -589.547 1185.43
9.38692 -595.323 1022.9
8.94 -600.302 884.494
8.521 -605.017 761.421
8.12779 -609.152 653.738
7.7584 -612.842 559.485
7.41107 -616.07 476.191
7.08415 -618.624 405.302
6.77619 -621.12 342.478
6.48582 -623.296 287.911
6.21181 -624.838 239.94
5.95302 -626.383 198.196
5.70841 -627.803 161.036
5.47701 -629.134 129.606
5.25796 -629.73 104.564
5.05043 -630.497 81.179
4.85369 -631.07 59.6201
4.66703 -631.557 40.4652
4.48982 -631.702 27.5106
4.32147 -631.906 13.9844
4.16143 -631.948 2.55322
4.0092 -631.85 -5.01765
3.8643 -631.837 -14.4166
3.5948 -631.387 -26.5284
3.34979 -630.746 -34.6245
3.12654 -629.905 -40.2783
2.9227 -628.933 -42.0374
2.73621 -627.943 -43.6409
2.56525 -626.854 -43.4606
2.40823 -625.795 -42.6228
2.26378 -624.691 -40.9886
2.13065 -623.574 -39.1638
