#rho e p
33.2914 -59.5291 24936.8
28.7584 -161.174 18547.8
25.0123 -245.337 13944.4
21.8897 -314.266 10591.2
19.2659 -372.271 8078.1
17.0452 -420.037 6192.37
15.1531 -459.614 4759.38
13.531 -492.98 3662.93
12.1324 -520.292 2823.99
10.9201 -543.148 2178.29
9.86413 -561.84 1681.03
9.38692 -570.057 1475.88
8.94 -577.501 1295.8
8.521 -584.169 1136.99
8.12779 -590.247 997.078
7.7584 -595.721 873.67
7.41107 -600.659 764.704
7.08415 -605.262 668.815
6.77619 -609.272 583.624
6.48582 -612.748 507.946
6.21181 -616.099 441.555
5.95302 -618.936 382.393
5.70841 -621.466 330.058
5.47701 -623.812 283.879
5.25796 -625.734 242.784
5.05043 -627.589 206.571
4.85369 -629.116 174.414
4.66703 -630.41 145.943
4.48982 -631.455 120.756
4.32147 -632.492 98.5982
4.16143 -633.3 79.0401
4.0092 -633.941 61.789
3.8643 -634.422 46.5946
3.7263 -634.829 33.2976
3.5948 -635.097 21.6353
3.46941 -635.263 11.452
3.34979 -635.335 2.58389
3.2356 -635.321 -5.10494
3.21007 -635.306 -6.72364
3.12654 -635.229 -11.7484
2.9227 -634.843 -22.3113
2.73621 -634.23 -29.8839
2.56525 -633.435 -35.0667
2.40823 -632.478 -38.3534
2.26378 -631.456 -40.162
2.13065 -630.337 -40.7967
