# Wilson&Militzer, ApJ 793, 34 (2014)
#p/GPa rho/g/cc H/eV/at
# NaCl
1.0e2 5.0817 −2.2463
2.0e2 5.7612 1.5787
3.0e2 6.3364 5.0081
4.0e2 6.8246 8.1638
6.0e2 7.6553 13.9003
7.0e2 8.0183 16.5516
8.0e2 8.3380 19.0894
9.0e2 8.6729 21.5284
10.0e2 8.9794 23.8815
11.0e2 9.2668 26.1583
12.0e2 9.5408 28.3667
13.0e2 9.8064 30.5134
14.0e2 10.0632 32.6039
15.0e2 10.3100 34.6429
16.0e2 10.5489 36.6347
17.0e2 10.7793 38.5825
18.0e2 11.0035 40.4896
19.0e2 11.2231 42.3587
20.0e2 11.4365 44.1922
25.0e2 12.4322 52.8943
30.0e2 13.3344 60.9563
35.0e2 14.1631 68.5109
40.0e2 14.9340 75.6493
