#cl: 11.73 km/s
#cs: 7.43 km/s

#shot method rho0 rhoflyer us up - - - ⍴ p e
#- - g/cc g/cc km/s km/s - - - g/cc GPa MJ/kg
# 13 30
cbulk   040  3.121e+00 0.000e+00  8.215 0.000 0.000 1.020 0.000 3.121 0.0 0.0
8c1825  3_1  3.123e+00 2.784e+00 10.425 2.472 9.031 1.001 1.004 4.094 80.482 3.055
8c1826  3_1  3.115e+00 2.784e+00 10.655 2.790 9.452 1.006 1.000 4.22 92.601 3.892
8c1829  3_1  3.128e+00 2.784e+00  9.826 1.670 7.931 1.009 1.001 3.768 51.329 1.394
8c1830  3_1  3.126e+00 2.784e+00 10.031 2.162 8.592 1.006 1.005 3.985 67.794 2.337
8c1831  3_1  3.116e+00 2.784e+00  9.784 1.931 8.262 1.005 1.001 3.882 58.87 1.864
8c1832  3_1  3.127e+00 2.784e+00  9.989 0.921 6.900 1.003 1.003 3.445 28.768 0.424
8c1833  3_1  3.120e+00 2.784e+00  9.877 1.368 7.527 1.009 1.001 3.622 42.157 0.936
8c1834  3_1  3.110e+00 2.784e+00  9.561 1.564 7.756 1.005 1.000 3.718 46.505 1.223
8c1835  3_1  3.124e+00 2.784e+00 10.771 0.464 6.217 1.010 1.001 3.265 15.613 0.108
8c1836  3_1  3.114e+00 2.784e+00 10.047 0.674 6.522 1.012 1.004 3.338 21.087 0.227
8c2118  3_1  3.124e+00 2.785e+00 10.833 2.831 9.533 1.014 1.007 4.229 95.808 4.007
8c2195  3_1  3.129e+00 2.786e+00  9.691 1.381 7.528 1.006 1.003 3.649 41.876 0.954
8c2196  3_1  3.129e+00 2.786e+00  9.669 1.678 7.923 1.009 1.003 3.786 50.767 1.408
8c2197  3_1  3.126e+00 2.786e+00  9.887 2.069 8.455 1.012 1.001 3.953 63.946 2.14
8c2201  3_1  3.118e+00 2.786e+00  9.903 0.944 6.925 1.005 1.003 3.447 29.148 0.446
8c2202  3_1  3.123e+00 2.786e+00  9.633 1.547 7.744 1.017 1.002 3.72 46.54 1.197
8c2209  3_1  3.130e+00 2.786e+00  9.783 1.915 8.245 1.005 1.002 3.892 58.639 1.834
8c2677  3_1  3.120e+00 2.785e+00 10.821 2.912 9.627 1.006 1.006 4.269 98.314 4.24
8c2679  3_1  3.115e+00 2.785e+00 10.526 2.623 9.229 1.011 1.009 4.149 86.004 3.44
 
 
8c2911  3_1  3.044e+00 2.793e+00  8.888 1.535 7.621 1.027 1.002 3.679 41.53 1.178
8c2912  3_1  3.020e+00 2.785e+00  9.550 2.410 8.790 1.007 1.002 4.039 69.507 2.904
8c2913  3_1  3.008e+00 2.785e+00  9.023 2.112 8.351 1.007 1.002 3.927 57.322 2.23
8c2917  3_1  3.040e+00 2.787e+00 10.194 2.842 9.410 1.009 1.002 4.215 88.073 4.038
8c2918  3_1  3.032e+00 2.787e+00  9.844 2.547 9.001 1.009 1.002 4.09 76.02 3.244
8c2954  3_1  3.032e+00 2.787e+00  9.176 2.002 8.244 1.005 1.006 3.878 55.699 2.004


# 13 30
8c1732  3_1  2.368e+00 2.784e+00 5.928 2.048 7.652 1.005 1.005 3.618 28.749 2.097
8c1734  3_1  2.311e+00 2.784e+00 7.425 2.857 8.674 1.006 1.001 3.756 49.024 4.081
8c1735  3_1  2.292e+00 2.779e+00 8.144 3.150 9.077 1.003 1.005 3.738 58.798 4.961
8c1741  3_1  2.364e+00 2.784e+00 6.912 2.443 8.193 1.009 1.001 3.656 39.919 2.984
8c1742  3_1  2.357e+00 2.779e+00 8.512 3.444 9.476 1.012 1.001 3.959 69.096 5.931
8c1786  3_1  2.302e+00 2.784e+00 8.213 3.272 9.218 1.008 1.011 3.826 61.861 5.353
8c1791  3_1  2.295e+00 2.784e+00 6.339 2.241 7.879 1.005 1.010 3.55 32.602 2.511
8c1819  3_1  2.423e+00 2.784e+00 7.191 2.485 8.299 1.003 1.002 3.702 43.298 3.088
8c1916  3_1  2.308e+00 2.786e+00 8.375 3.192 9.161 1.004 1.041 3.729 61.7 5.094
8c1924  3_1  2.307e+00 2.785e+00 6.856 2.517 8.239 1.007 1.003 3.645 39.811 3.168
