#rho T p e s c^2 cv gamma alpha
1.0E-10 0.0 3.455662371156939E-16 4.912301788744379 0.0 7.32091774008464E-6 6.286208848362941E-4 0.6683364820415679 5.738765078713876E11
1.77827941003892E-10 0.0 7.355910410030055E-16 4.912302605893036 0.0 8.725114759166707E-6 6.297129448678641E-4 0.6686226226793693 2.7136419228256583E11
3.162277660168379E-10 0.0 1.5603620468639856E-15 4.91230356338381 0.0 1.0369627255667793E-5 6.309943632592796E-4 0.6689571159062462 1.2872432165153543E11
5.623413251903491E-10 0.0 3.300087966357246E-15 4.912304684683146 0.0 1.2293948368449014E-5 6.324979739424897E-4 0.6693478805238791 6.123780935197722E10
1.0E-9 0.0 6.96149436954117E-15 4.912305996767208 0.0 1.4542965013104596E-5 6.34262304043407E-4 0.6698040395479544 2.921216223778667E10
1.77827941003892E-9 0.0 1.4650994531768287E-14 4.912307530370112 0.0 1.716693628906413E-5 6.363325611644816E-4 0.6703360690444891 1.3972815982969864E10
3.162277660168379E-9 0.0 3.076645212094486E-14 4.912309320043185 0.0 2.0220843729628823E-5 6.387617917267602E-4 0.6709559525868992 6.702451310231379E9
5.623413251903491E-9 0.0 6.446671967557184E-14 4.912311403843059 0.0 2.376259879811451E-5 6.416122400707919E-4 0.6716773358807431 3.225071884587771E9
1.0E-8 0.0 1.34765646727689E-13 4.912313822337864 0.0 2.784924079860851E-5 6.449569435632353E-4 0.6725156730379076 1.5574702955729153E9
1.77827941003892E-8 0.0 2.80973526744369E-13 4.912316616410251 0.0 3.252967470348788E-5 6.488816038092032E-4 0.6734883538447028 7.554675796443744E8
3.162277660168379E-8 0.0 5.839079763369736E-13 4.912319822982862 0.0 3.783153274128085E-5 6.534867827658152E-4 0.6746147954999716 3.685010526962498E8
5.623413251903491E-8 0.0 1.2084189473792059E-12 4.912323467214573 0.0 4.346179784712991E-5 6.588904793508181E-4 0.6759164789330444 1.8222106456630424E8
1.0E-7 0.0 2.474871175206185E-12 4.912327375692374 0.0 4.964237968356777E-5 6.65231152993197E-4 0.6774169030954811 9.077703977443582E7
1.77827941003892E-7 0.0 5.033634712934974E-12 4.912331651831678 0.0 5.5479975854979155E-5 6.72671271344117E-4 0.6791414255346495 4.630488805435844E7
3.16227766016838E-7 0.0 1.0051466698988336E-11 4.91233582252953 0.0 6.030823386174522E-5 6.814014732642758E-4 0.6811169517828116 2.4335941189835463E7
5.623413251903491E-7 0.0 1.956586532708438E-11 4.9123394148520765 0.0 6.27880891855575E-5 6.916454535569319E-4 0.6833714328718322 1.338637786607409E7
1.0E-6 0.0 3.6639435147300245E-11 4.912341600768717 0.0 6.263100547267649E-5 7.036656946323774E-4 0.6859331297245765 7706528.237193544
1.25892541179417E-6 0.0 4.6348828169003774E-11 4.912341799818313 0.0 6.069279773222703E-5 7.090384334011227E-4 0.6870500547940791 6375599.05914559
1.58489319246111E-6 0.0 5.7887513014769205E-11 4.912341437112618 0.0 5.732670673735874E-5 7.147660442548173E-4 0.6882222617107021 5414216.720340461
1.99526231496888E-6 0.0 7.109717085066603E-11 4.91234035574123 0.0 5.2158855398587294E-5 7.208719666875776E-4 0.6894513800225067 4775663.627264926
2.51188643150958E-6 0.0 8.535167658588312E-11 4.912338362036591 0.0 4.473051788640531E-5 7.273811883171092E-4 0.6907389573564913 4471694.127610759
3.16227766016838E-6 0.0 9.917887689831635E-11 4.912335217824356 0.0 3.447951724110616E-5 7.343203473062078E-4 0.6920864415159473 4661060.359112049
3.98107170553497E-6 0.0 1.0963776786304862E-10 4.912330630910642 0.0 2.071753297943804E-5 7.417178411883086E-4 0.6934951618767397 6236545.89012139
