#Shot Px(GPa) dPx(GPa) Ps(GPa) dPs(GPa) rho(g/cc) drho(g/cc)
89310 80 4 64 4 3.78 0.05
26662 140 5 136 5 5.30 0.13
27424 178 7 173 7 5.57 0.14
26666 245 10 239 10 5.96 0.10
27425 303 21 296 21 6.27 0.11
27430 371 11 364 11 6.66 0.12
96727 433 15 424 15 7.62 0.28
29131 470 16 462 16 7.15 0.19
29130 521 16 513 16 7.15 0.13
98948 558 20 549 20 7.48 0.27
96731 611 20 602 20 7.76 0.29
96728 621 20 611 20 7.98 0.30
98953 764 30 754 30 8.05 0.22
98955 858 28 848 28 8.21 0.23
96735 875 36 865 36 7.98 0.37
98954 996 33 985 33 8.44 0.32
89314 1197 38 1185 38 9.67 0.38
89315 1436 45 1423 45 10.07 0.30
89316 1507 64 1495 64 9.77 0.29
