#rho e p
49.2814 -14.5333 5424.55
45.7627 -22.3087 4588.59
42.5712 -29.2651 3881.71
39.6696 -35.3426 3282.27
37.0259 -40.785 2773.57
34.6119 -45.5781 2341.91
32.4033 -49.8229 1976.38
30.3787 -53.5476 1666.21
28.5193 -56.8334 1405.31
26.8087 -59.7178 1182.91
25.2321 -62.24 994.445
23.7768 -64.4477 834.803
22.4312 -66.4087 698.95
21.1854 -68.0486 585.033
20.03 -69.5336 487.691
18.9572 -70.7541 406.437
17.9597 -71.8652 337.034
17.0309 -72.7808 278.682
16.1651 -73.5583 230.84
15.357 -74.2627 189.608
14.6019 -74.8384 155.334
13.8955 -75.3239 126.854
13.2339 -75.7558 103.12
12.6137 -76.0694 83.5464
12.0316 -76.3762 66.927
11.4848 -76.6087 52.9483
10.9706 -76.7972 41.2753
10.4867 -76.947 31.5657
10.0308 -77.0612 23.5429
9.60099 -77.136 17.0793
9.19537 -77.2089 11.3076
8.81228 -77.2493 6.7493
8.45018 -77.2673 3.25729
8.10764 -77.2711 0.490976
7.78338 -77.2619 -1.90986
7.47618 -77.2438 -3.89547
7.18493 -77.2157 -5.44582
6.90862 -77.1786 -6.54913
6.64629 -77.1347 -7.49587
6.39708 -77.0852 -7.97567
6.16018 -77.0333 -8.4186
