#a b c rho e p
3.45224 3.71011 3.71329 8.28947 -77.1313 0.248679
3.31463 3.61886 3.6199 9.07964 -77.2538 7.97685
3.26901 3.52519 3.50952 9.74824 -77.1682 16.1213
3.21819 3.46678 3.45177 10.2375 -77.0703 24.1078
3.17482 3.41869 3.40402 10.6709 -76.9588 32.2038
3.13832 3.37902 3.36456 11.0499 -76.844 40.0215
3.10573 3.34333 3.32918 11.4049 -76.7193 48.1245
3.07655 3.31152 3.29755 11.7352 -76.5903 56.2605
3.0501 3.28277 3.26892 12.0452 -76.4575 64.4743
3.02777 3.25826 3.24476 12.3164 -76.3335 72.1064
3.00645 3.23498 3.22157 12.5829 -76.2041 79.9493
2.98594 3.2128 3.19943 12.8451 -76.0676 88.1253
2.9673 3.1924 3.17928 13.0908 -75.9332 96.156
2.94996 3.17384 3.16053 13.3233 -75.7984 104.205
2.93379 3.1562 3.14304 13.5466 -75.6654 112.121
2.9185 3.13955 3.12646 13.7624 -75.5312 120.101
2.91681 3.11794 3.10068 13.9811 -75.3897 128.384
2.9034 3.10367 3.08649 14.1751 -75.2622 136.018
2.88983 3.08907 3.07195 14.3767 -75.1221 144.313
2.87723 3.07549 3.05843 14.5675 -74.9866 152.381
2.86603 3.06333 3.04641 14.7404 -74.8647 159.74
2.85474 3.05112 3.03429 14.9173 -74.7341 167.564
2.84391 3.0394 3.02265 15.0897 -74.604 175.379
2.83564 3.02662 3.01378 15.2424 -74.4921 182.309
2.8224 3.01608 2.99949 15.4406 -74.3227 192.189
2.81264 3.00567 2.98898 15.6025 -74.1914 200.116
2.80296 2.99547 2.97898 15.7624 -74.0586 208.14
2.79385 2.98562 2.96881 15.9203 -73.9246 216.252
2.78506 2.97589 2.95928 16.0744 -73.7919 224.312
2.77659 2.96661 2.95015 16.224 -73.6595 232.379
2.76833 2.95758 2.94124 16.3715 -73.5281 240.408
