#a c/a rho e p
3.48875 1.12514 8.25194 -77.2753 0.0664117
3.40577 1.1055 9.02749 -77.2484 8.0105
3.32007 1.11608 9.65237 -77.1637 15.9686
3.26354 1.11622 10.1615 -77.0613 24.0031
3.22172 1.11521 10.5719 -76.9555 31.6563
3.1808 1.11289 11.0081 -76.8215 40.0609
3.14713 1.11298 11.3642 -76.6957 48.0844
3.11689 1.11328 11.6951 -76.5653 56.1727
3.08952 1.11346 12.0067 -76.4313 64.3279
3.06587 1.11355 12.2858 -76.3032 72.0923
3.04329 1.11364 12.5602 -76.1676 80.1723
3.02309 1.11387 12.8111 -76.0377 87.9295
3.00325 1.1141 13.064 -75.8985 96.1346
2.98533 1.11419 13.2996 -75.7616 104.219
3.05249 1.02286 13.5516 -75.6495 112.182
#3.01542 1.05231 13.6643 -75.0324 120.226
3.02101 1.02287 13.9796 -75.3776 128.318
3.00666 1.0228 14.1818 -75.2424 136.345
2.99298 1.02287 14.3761 -75.1096 144.253
2.97981 1.0229 14.5672 -74.9741 152.311
2.96724 1.02291 14.7528 -74.8388 160.37
2.9552 1.02293 14.9337 -74.7034 168.447
2.94455 1.02295 15.0961 -74.5839 175.686
2.93368 1.02296 15.2644 -74.454 183.494
2.92502 1.02298 15.4 -74.3569 189.759
2.93462 0.999963 15.6003 -74.1736 200.327
2.92476 0.99995 15.7588 -74.0429 208.221
2.91512 1 15.9148 -73.9113 216.18
2.90579 1.00006 16.0677 -73.7801 224.137
2.8968 0.999927 16.22 -73.6461 232.273
2.8714 0.999948 16.6539 -73.2522 256.347
2.85558 0.999982 16.9316 -72.9922 272.349
2.84055 0.999952 17.2023 -72.7332 288.361
2.82632 0.999949 17.4635 -72.4747 304.432
2.81278 0.999952 17.7169 -72.2185 320.456
2.79953 1.00007 17.9673 -71.9571 336.858
2.78739 0.999995 18.2047 -71.7112 352.426
2.77791 0.998528 18.4187 -71.2829 368.538
#2.61399 1.19753 18.4321 -69.7013 384.797
2.61858 1.16785 18.8014 -70.4198 400.565
2.61278 1.15973 19.0593 -70.3237 416.468
2.60812 1.15356 19.2641 -69.9932 432.673
#2.44856 1.3941 19.2639 -68.2879 448.721
2.42906 1.39938 19.6573 -69.3568 464.777
