#a c/a rho e p
5.66748 0.544667 7.95246 -77.3937 0.0140847
5.50478 0.542196 8.71821 -77.3537 7.94813
5.3833 0.541175 9.3394 -77.2615 16.5357
5.29962 0.541597 9.78119 -77.162 24.0185
5.21803 0.54359 10.2097 -77.0438 31.9378
5.16055 0.541823 10.5891 -76.9198 39.9787
5.10301 0.542514 10.9374 -76.7862 48.0038
5.05456 0.542549 11.2542 -76.6482 56.0094
5.01165 0.54178 11.5622 -76.506 64.1441
4.96931 0.54253 11.8438 -76.3667 72.0836
4.93307 0.542194 12.1143 -76.2239 80.075
4.86739 0.542235 12.6103 -75.9424 96.1578
4.80737 0.542877 13.0731 -75.6473 112.143
4.75556 0.543128 13.4988 -75.3608 128.239
4.71081 0.542795 13.8958 -75.0738 144.192
4.66988 0.542616 14.269 -74.7871 160.236
