#a b/a c/a rho e p
3.3061 1.66385 1.54671 8.47876 -77.2766 2.91533
2.90834 1.66 1.54509 12.4969 -76.194 77.149
2.74679 1.66502 1.54656 14.7754 -74.7884 160.214
2.63472 1.68415 1.56115 16.3973 -73.4702 240.325
2.56168 1.68902 1.56563 17.7379 -72.1865 320.439
2.50601 1.69025 1.56842 18.899 -70.9436 400.552
2.46032 1.69088 1.57028 19.9406 -69.7295 480.659
2.42139 1.69134 1.57159 20.8949 -68.5396 560.76
2.38746 1.69163 1.5725 21.7821 -67.3707 640.855
2.33597 1.71837 1.59145 22.6198 -66.0967 720.984
2.29355 1.73517 1.60919 23.4061 -64.9952 801.106
2.24629 1.73609 1.61066 24.8788 -62.7842 961.323
2.18105 1.73478 1.67004 26.232 -60.4309 1121.53
2.12842 1.78933 1.66149 27.5069 -58.0079 1281.75
2.12192 1.75193 1.64024 28.7207 -56.3182 1441.98
2.1387 1.65497 1.63048 29.871 -54.2673 1602.19
2.07944 1.70666 1.65865 30.9788 -52.3852 1762.41
2.05548 1.70936 1.65813 32.0341 -50.4323 1922.62
2.03518 1.70819 1.65689 33.0493 -48.5131 2082.84
2.0165 1.70685 1.65556 34.0304 -46.6274 2243.06
1.99796 1.70461 1.65782 34.9849 -44.7634 2403.28
1.98156 1.70335 1.6569 35.9072 -42.941 2563.5
1.96614 1.70214 1.65602 36.8042 -41.1473 2723.72
1.95158 1.701 1.65522 37.678 -39.3812 2883.94
1.93778 1.69991 1.65448 38.5304 -37.6414 3044.16
1.92465 1.6989 1.65382 39.3631 -35.9265 3204.38
