#    26---0                                                            page 1
#    tin summary

#    sn        99.8 percent



#    v0 = 0.1374 cc/g                                  c0 = 2.674 km/sec
#    v0i= 0.1372 cc/g                                  cb = 2.76  km/sec

#    the table below lists the hugoniot points calculated from the us vs up
#    fits given. velocities are in km/sec, density in g/cc, pressure in kbar
#    and energy difference in kbar.cc/g.

#                                table

#         fit rho0   us    up   p    v/v0     e-e0

           1  7.28  3.44  0.6   150  0.826    1.80
           1   -    4.08  1.0   297  0.755    5.00
           1   -    4.87  1.5   532  0.692   11.25
           1   -    5.67  2.0   825  0.647   20.0

           2   -    6.27  2.4  1096  0.618   28.8
           2   -    7.01  3.0  1530  0.572   45.0
           2   -    7.61  3.5  1940  0.540   61.2
           2   -    8.22  4.0  2395  0.514   80.0
           2   -    8.83  4.5  2894  0.491  101.2
           2   -    9.08  4.7  3106  0.482  110.5

#        us = 2.49 + 1.59*up,  sig.us = 0.04 km/sec     (fit 1)
#                            for up between 0.6 and 2.2 km/sec
#        us = 3.35 + 1.219*up, sig.us = 0.05 km/sec     (fit 2)
#                            for up between 2.2 and 4.7 km/sec



#    comments:

#    1) source: compiler.
#    1a) the data of materials 26---1,2 and 3 were used for this summary.
#        the data of 26---3 table ii and 26---4 agree with the other data
#        but do not improve the accuracy.
#    2) the crystal density was obtained from the am. inst. of phys. handbook
#       (mcgraw-hill book co inc. 1963 ) 2nd. ed.
#    3) c0 and cb are values used on pages 26---2 and 3.






#    26---1                                                            page 1
#    tin

#    sn   99.8 per cent or greater



#    v0 = 0.1374 cc/g.   cl = 3.32 km/sec.   c0 = 2.70 km/sec.
#    v0i = 0.1370 cc/g.  cs = 1.67 km/sec.

#    in the table below, velocities are given in mm/microsec.,
#    pressure in kilobars, and density in g/cc.

#                                      table

#                      rho0   us     ufs    up      p     v/v0

                       7.28  4.555  2.704  1.290  427.8  0.7168
                        -    4.435  2.539  1.190  384.2  0.7317
                        -    4.004  1.912  0.925  269.6  0.7690
                        -    3.557  1.486  0.705  182.6  0.8018
                        -    3.524  1.364  0.670  171.9  0.8098

#              us = 2.378 + 1.712 up km/sec   sigma us = 0.9 percent



#    comments:

#    1) source: walsh, j. m., rice, m. h., mcqueen, r. g. and yarger, f. l.
#               phys. rev., vol. 108, p. 169 ff. (1957)
#               los alamos scientific laboratory, gmx-6, los alamos, n. mex.
#    2) experimental technique b
#       data reduction technique b
#       standard material 24st aluminum
#    3) the probable error per data point is 0.7 per cent in shock velocity
#       for a given free-surface velocity and approximately 1 per cent in
#       compression at a given pressure.
#    4) impurities were measured by spectrochemical analysis
#    5) cl and cs were obtained from l. bergman, de ultrschall,
#       s. hirzel verlag, stuttgart, 1954, 6th ed., p. 650
#    6) v0i was taken from the a. i. p. handbook (mcgraw hill book co.)
#       2nd ed.






#    26---2                                                            page 1
#    tin

#    sn



#    v0 = 0.1374 cc/g
#    v0i= 0.1372 cc/g                                 cb = 2.76 km/sec.

#    in the table below, velocities are given in mm/microsec.,
#    pressure in kilobars and density in g/cc.

#                                      table

#                     rho0    us     up      p     v/v0   pressure in
#                                                         brass standard

                      7.28   5.59   1.94    792   0.652    931
                       -     5.55   1.95    788   0.648    931
                       -     5.57   1.95    790   0.651    931
                       -     6.71   2.80   1364   0.583   1586
                       -     6.80   2.78   1377   0.591   1587
                       -     6.75   2.81   1378   0.584   1599

#        us = 2.64 + 1.476 up km/sec.        sigma us = 0.94 percent



#    comments:

#    1) source: mcqueen, r.g. and marsh, s.p.
#               j. appl. phys., vol. 31, p. 1253 (1960)
#               los alamos scientific laboratory, gmx-6, los alamos, n. mex.
#    2) experimental technique b
#       data reduction technique b
#       standard material is brass
#    3) for the brass standard data see material 36-33
#    4) v0i was taken from the am. inst. of phys. handbook (mcgraw-hill book
#       co., n.y., 1963) 2nd ed.






#    26---3                                                            page 1
#    tin

#    sn



#    v0 = 0.1374 cc/g.                       c0 = 2.674 km/sec
#    v0i = 0.1372 cc/g.

#    in the tables below, velocities are given in km/sec., pressure in
#    kilobars and density in g/cc. st designates the standard material used
#    as sample holder in table i and as striker or projectile plate in table
