#rho T p e s c^2 cv gamma alpha
1.0E-10 0.0 -2.1812526621636388E-16 2.493029897112348 2.4931903157997803 -5.380052410611931E-6 1.0510184225238351E-4 0.6666668888506464 -1.3023649741527028E11
1.77827941003892E-10 0.0 -5.23668694438527E-16 2.493028479848539 2.4931888985343487 -7.286987899384804E-6 1.0510184120012129E-4 0.6666668621747617 -5.407183947532553E10
3.162277660168379E-10 0.0 -1.2604794231944682E-15 2.4930265472659254 2.493186965950309 -9.88728609562913E-6 1.0510184028111283E-4 0.6666668386582832 -2.2410011139152775E10
5.623413251903491E-10 0.0 -3.039870971465194E-15 2.493023911993856 2.4931843306769883 -1.3433054890089535E-5 1.0510183946192176E-4 0.6666668180324096 -9.275650303775457E9
1.0E-9 0.0 -7.341717624351306E-15 2.4930203185333415 2.493180737215369 -1.8268068939184285E-5 1.051018387420564E-4 0.6666667998771761 -3.8355398552871046E9
1.77827941003892E-9 0.0 -1.775010700550245E-14 2.4930154184856534 2.493175837166709 -2.486109983733338E-5 1.0510183811119077E-4 0.6666667838857321 -1.584888780789207E9
3.162277660168379E-9 0.0 -4.294812885175765E-14 2.4930087367737968 2.4931691554539968 -3.385136518635737E-5 1.0510183755703212E-4 0.6666667698084378 -6.545501538663274E8
5.623413251903491E-9 0.0 -1.0397716216979682E-13 2.4929996255820615 2.4931600442615114 -4.6110503011591944E-5 1.0510183707023791E-4 0.6666667574162962 -2.7022109361071366E8
1.0E-8 0.0 -2.518349149672822E-13 2.4929872015480523 2.493147620226841 -6.28270801657368E-5 1.0510183663851537E-4 0.6666667465336125 -1.1152499734456591E8
1.77827941003892E-8 0.0 -6.101398421401432E-13 2.4929702601175094 2.493130678795716 -8.562182810677913E-5 1.051018362618645E-4 0.6666667369372143 -4.601872631477408E7
3.162277660168379E-8 0.0 -1.4785715605768155E-12 2.4929471587585255 2.4931075774362195 -1.167047785769893E-4 1.0510183592946765E-4 0.666666728499282 -1.8985867455822807E7
5.623413251903491E-8 0.0 -3.5836731309933424E-12 2.4929156577122216 2.493076076389466 -1.5908953403660206E-4 1.0510183563099888E-4 0.6666667211125386 -7832086.363847387
1.0E-7 0.0 -8.686965103284933E-12 2.4928727028401148 2.493033121516964 -2.1688544695480584E-4 1.0510183538711006E-4 0.666666714493908 -3230640.703126791
1.77827941003892E-7 0.0 -2.1059455166389595E-11 2.492814129514696 2.4929745481912375 -2.956960272037743E-4 1.0510183518796697E-4 0.6666667094938806 -1332519.5164163439
3.16227766016838E-7 0.0 -5.1056972658045286E-11 2.492734258845018 2.492894677523893 -4.031622530609481E-4 1.0510183669407875E-4 0.6666667479289301 -549590.5237648649
5.623413251903491E-7 0.0 -1.2378960608175045E-10 2.4926253470852076 2.4927857657685015 -5.497033559687438E-4 1.0510183957255682E-4 0.6666668206439305 -226668.29106684698
1.0E-6 0.0 -3.00143432498662E-10 2.4924768348536217 2.4926372535452908 -6.929273742668578E-4 1.0510184499809952E-4 0.6666669586908079 -101118.71742952876
1.25892541179417E-6 0.0 -4.2775007429155333E-10 2.492403274667816 2.492563693364654 -7.84427478038531E-4 1.0510184836386352E-4 0.6666670437564663 -70952.31043163905
1.58489319246111E-6 0.0 -6.096112072166043E-10 2.4923199990629015 2.4924804177664144 -8.880124150379046E-4 1.0510185269338169E-4 0.6666671537341852 -49785.215613381086
1.99526231496888E-6 0.0 -8.687947839625105E-10 2.492225724880533 2.4923861435926655 -0.001005278287657689 1.0510185828512282E-4 0.6666672957761313 -34932.78757263171
2.51188643150958E-6 0.0 -1.238176951546376E-9 2.4921189994899993 2.4922794182132693 -0.001138032005074792 1.0510186552655544E-4 0.6666674791071732 -24511.236420448906
3.16227766016838E-6 0.0 -1.7646124070797939E-9 2.491998178405361 2.4921585971430122 -0.001288319126883666 1.0510187484940206E-4 0.6666677160774643 -17198.732162858563
3.98107170553497E-6 0.0 -2.514877961118268E-9 2.4918613999460493 2.492021818702274 -0.0014584553840383337 1.0510188690665534E-4 0.6666680220326506 -12067.769014135407
5.01187233627272E-6 0.0 -3.5841432671901095E-9 2.4917065565512506 2.491866975331466 -0.0016510623646486804 1.0510190248554511E-4 0.6666684171486208 -8467.53461611624
6.309573444801931E-6 0.0 -5.108043255962203E-9 2.491531262305387 2.4916916811165866 -0.0018691079137131172 1.0510192259309613E-4 0.6666689275450877 -5941.368618333126
7.943282347242812E-6 0.0 -7.279883701633621E-9 2.4913328161744706 2.491493235025686 -0.0021159518702484033 1.051019485800394E-4 0.6666695866391034 -4168.8438284261
1.0E-5 0.0 -1.0375162504725728E-8 2.4911081603872463 2.4912685792901486 -0.0023953978485734885 1.0510198213982872E-4 0.6666704379143271 -2925.1251311155115
1.25892541179417E-5 0.0 -1.47865173012208E-8 2.490853833319238 2.491014252288894 -0.002711751861887497 1.0510202546647998E-4 0.6666715374887311 -2052.452204856114
1.58489319246111E-5 0.0 -2.1073532626675735E-8 2.4905659161541074 2.4907263352099775 -0.0030698886942330653 1.0510208143699614E-4 0.6666729575661132 -1440.1294331016363
1.99526231496888E-5 0.0 -3.0033724854828245E-8 2.490239972500487 2.490400391667711 -0.0034753270478496295 1.0510215372839443E-4 0.6666747916472884 -1010.4852279246704
2.51188643150958E-5 0.0 -4.280370961164758E-8 2.489870980033586 2.490031399344621 -0.0039343146273721884 1.0510224709011452E-4 0.6666771604898656 -709.0200080409802
3.16227766016838E-5 0.0 -6.100338512819907E-8 2.4894532531085014 2.489613672605285 -0.004453924479854521 1.0510236766854788E-4 0.6666802199797106 -497.49328221946905
3.98107170553497E-5 0.0 -8.694142173192848E-8 2.4889803551527194 2.4891407748894023 -0.005042164085735574 1.0510252341220802E-4 0.6666841713850138 -349.0730435092511
5.01187233627272E-5 0.0 -1.239081245931902E-7 2.488444999488084 2.488605419534608 -0.005708098897685603 1.0510272456393345E-4 0.6666892747971463 -244.93223975729438
6.309573444801932E-5 0.0 -1.7659282047198156E-7 2.487838937053822 2.4879993575005224 -0.006461992252730336 1.0510298435420067E-4 0.6666958661240868 -171.86062113393916
7.943282347242811E-5 0.0 -2.5167871554605084E-7 2.48715282930071 2.4873132502642603 -0.007315463847249052 1.0510331989112163E-4 0.6667043790708351 -120.5890499356284
1.0E-4 0.0 -3.5869068426466856E-7 2.486376104298061 2.486536525929145 -0.00828166926696891 1.0510375324073354E-4 0.6667153739663312 -84.61372446572939
1.25892541179417E-4 0.0 -5.112035343924318E-7 2.4854967938360644 2.4856572163293036 -0.009375503406703364 1.0510431293753602E-4 0.6667295742587542 -59.37117735822532
1.58489319246111E-4 0.0 -7.285640210943607E-7 2.4845013490138683 2.4846617726206213 -0.010613831022411398 1.0510503582939199E-4 0.6667479143186363 -41.65940101118777
1.99526231496888E-4 0.0 -1.0383450537579155E-6 2.4833744314717605 2.4835348565166724 -0.012015748120397025 1.0510596946085243E-4 0.6667716011660986 -29.231672256018648
2.51188643150958E-4 0.0 -1.4798434203481E-6 2.482098677050516 2.4822591039528845 -0.013602878430429843 1.0510717529583236E-4 0.6668021932598756 -20.511554139986938
3.16227766016838E-4 0.0 -2.1090647276465003E-6 2.480654428236903 2.4808148575382685 -0.015399709866533676 1.0510873270047256E-4 0.6668417033736915 -14.392923374390358
3.98107170553497E-4 0.0 -3.005827913609994E-6 2.4790194312723868 2.4791798636721714 -0.017433976633509464 1.0511074415921322E-4 0.6668927309583172 -10.099657237245
5.01187233627272E-4 0.0 -4.283890561910329E-6 2.477168493258179 2.47732892965973 -0.019737093565518934 1.0511334206631074E-4 0.6669586326754053 -7.087181301601163
6.309573444801931E-4 0.0 -6.105379445536401E-6 2.475073093973716 2.475233535543746 -0.022344650420017324 1.0511669737700666E-4 0.6670437432931227 -4.973389325517675
7.943282347242819E-4 0.0 -8.701356855100037E-6 2.4727009464269516 2.4728613946723286 -0.025296975226137972 1.0512103095229128E-4 0.6671536596847147 -3.4901724716592213
0.001 0.0 -1.2401131604970969E-5 2.4700154993663515 2.4701759562332706 -0.02863977757449821 1.0512662796161986E-4 0.6672956088694791 -2.449409288587096
0.00125892541179417 0.0 -1.767403288876611E-5 2.466975374088796 2.4671358420908636 -0.03242488492395005 1.051338567808539E-4 0.667478920902662 -1.719102248227893
0.00158489319246111 0.0 -2.5188946086429793E-5 2.463533726866698 2.4636942092503644 -0.03671108796103721 1.0514319315643049E-4 0.6677156402187325 -1.2066337149811333
0.00199526231496888 0.0 -3.5899162747316074E-5 2.4596375271708704 2.4597980281290863 -0.04156511482018272 1.0515525154802523E-4 0.668021312775745 -0.847017338880151
0.00251188643150958 0.0 -5.116330809130248E-5 2.4552267405688206 2.455387265516988 -0.04706275910749718 1.0517082556787473E-4 0.6684160002842263 -0.5946545356773519
0.00316227766016838 0.0 -7.291768580391575E-5 2.4502334037097513 2.4503939596421342 -0.053290193572918775 1.0519094018281718E-4 0.6689255858884979 -0.4175503448562254
0.00398107170553497 0.0 -1.0392190215411482E-4 2.444580577144802 2.4447411730948376 -0.06034551071626713 1.0521691920412955E-4 0.6695834526983054 -0.293254933187341
0.00501187233627272 0.0 -1.4810892684881462E-4 2.438181159849855 2.438341807484676 -0.06834054469088433 1.052504724138565E-4 0.6704326396770278 -0.20601591309439748
0.006309573444801931 0.0 -2.110839956152961E-4 2.4309365471875584 2.4310972615758493 -0.07740304703023557 1.0529380803689081E-4 0.6715286060279322 -0.14478024021804592
0.00794328234724282 0.0 -3.008356396192955E-4 2.4227351116337665 2.4228959122374776 -0.08767931406521853 1.0534977814738661E-4 0.672942766709509 -0.10179222588772814
0.00999999999999999 0.0 -4.2874903423929496E-4 2.4134504828643646 2.413611394819571 -0.09933739954705219 1.0542206632890941E-4 0.6747670033368539 -0.07160981876583486
0.0125892541179417 0.0 -6.110502073118359E-4 2.4029396007079296 2.4031006564791233 -0.11257109577243274 1.0551543010532703E-4 0.677119396641106 -0.05041436887200562
0.0158489319246111 0.0 -8.708642985859723E-4 2.391040510972291 2.391201752488977 -0.12760493621776625 1.0563601405962791E-4 0.6801514760002896 -0.035526316109041896
0.0199526231496888 0.0 -0.0012411489494159869 2.377569870193624 2.3777313516098366 -0.14470056953848 1.057917542227198E-4 0.6840573284396392 -0.025065367590187286
0.0251188643150958 0.0 -0.0017688749031367587 2.3623201208751037 2.362481912133469 -0.16416498808098098 1.0599290038492879E-4 0.6890849452429316 -0.017712056897163122
0.0316227766016838 0.0 -0.0025209840900518353 2.3450562937094523 2.345218485144347 -0.18636127493517043 1.0625269063099719E-4 0.6955501929265966 -0.012540438971360358
0.0398107170553498 0.0 -0.0035928809190620193 2.325512387537471 2.325675095820228 -0.21172277348732974 1.065882226476259E-4 0.7038537434140728 -0.008900698102612061
0.0501187233627272 0.0 -0.005120533791623891 2.30338727129622 2.3035506471136613 -0.24077189197871948 1.0702157890550499E-4 0.714501142333371 -0.006336778049885506
0.06309573444801941 0.0 -0.007297721737241183 2.2783400448538575 2.2785042828254936 -0.27414513212863095 1.075812800414407E-4 0.728125848618319 -0.004528585978185335
0.0794328234724281 0.0 -0.01040061360606481 2.249984787303695 2.250150138790294 -0.31262635447483533 1.0830416185224336E-4 0.7455144426657747 -0.0032514390757309455
0.1 0.0 -0.014822797185441402 2.217884611867137 2.218051401513614 -0.3571906968798392 1.0923779961051894E-4 0.7676321111362623 -0.0023476099311486743
0.125892541179417 0.0 -0.021125200841889145 2.1815449358926093 2.181713582993997 -0.40913176904958426 1.10443639148119E-4 0.7956448060819058 -0.0017060695693549594
0.158489319246111 0.0 -0.030109519519089127 2.1403986598427527 2.140569705939405 -0.46985295601009097 1.1200104080362353E-4 0.8309319807963036 -0.001249756975270779
0.199526231496888 0.0 -0.04291278882722373 2.0938220301167787 2.093996174634963 -0.5414260821019992 1.1401250237064169E-4 0.8750805090816546 -9.235519196595547E-4
0.251188643150958 0.0 -0.061160961329057704 2.0410920907066306 2.0412702369901052 -0.6263078922144375 1.1661040490901606E-4 0.929846644453328 -6.892245637549663E-4
0.316227766016838 0.0 -0.08717030763958739 1.981395064144869 1.9815783789069645 -0.7276227506941395 1.199657250514551E-4 0.9970697391383684 -5.198480857584923E-4
0.398107170553497 0.0 -0.12424315516060996 1.9138090409254958 1.913999031034424 -0.8492517714477735 1.2429928765507738E-4 1.0785210872190456 -3.9651609379870955E-4
0.501187233627272 0.0 -0.17708837060083374 1.8372893144958553 1.8374879261467465 -0.9959256365475161 1.2989629899181585E-4 1.1756771245965714 -3.059552667301899E-4
0.6309573444801931 0.0 -0.25242180472382014 1.7506515665753737 1.7508613133759026 -1.1732624724991578 1.3712511708877895E-4 1.2894221817739504 -2.3884544799257146E-4
0.794328234724281 0.0 -0.35982414317535033 1.652552533614565 1.6527766620138744 -1.3877141882668618 1.464614947032501E-4 1.41971394433098 -1.8863587083805167E-4
1.0 0.0 -0.5129664085865093 1.541467804821168 1.5417105077695663 -1.6176779636596903 1.5851989006130334E-4 1.5652804040588915 -1.533853357346756E-4
1.11739012229022 0.0 -0.6086090359570056 1.4827781365766333 1.4830316398349546 -1.7485544975780971 1.6553133387697838E-4 1.6401701753733526 -1.3895850231481337E-4
1.24856068539176 0.0 -0.7207864656723986 1.4210010547678926 1.4210375633869652 -2.2971170453125063 -8.88640250189053E-5 2.384868521778262 7.389203741273769E-5
1.39512937693667 0.0 -0.8556805210531643 1.3547168987349396 1.3548491445753323 -2.198598393664093 9.037829524703986E-5 1.9999999997672635 -5.8929634959116106E-5
1.55890378510595 0.0 -1.0148577897852213 1.2846111650840233 1.2847014438094093 -2.3332587939112623 6.225752022828864E-5 1.9999999999565943 -3.423257679852392E-5
1.74190369107823 0.0 -1.2035753695850024 1.2101900454564678 1.210246954307038 -2.4755854090427833 3.963153344621229E-5 2.0000000004656235 -1.8380986608666838E-5
1.9463859783917 0.0 -1.4272130167579606 1.131195024144788 1.1312281043351549 -2.625375181599365 2.3223453106256096E-5 1.9999999997833873 -9.089425796602593E-6
2.17487246641908 0.0 -1.6919943506493014 1.0473618129469087 1.047379840561998 -2.781779936824249 1.2718839851281662E-5 1.9999999988828605 -4.204563624007008E-6
